Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP
No Match,None,unmatched,1416.0,4.548,17.278,133.39,211.0232,,,,0.0,0.0,0.0,134.999,0.0,0.0,184.999,0.0,0.0,294.999,0.0,0.0,154.999,0.0,0.0,6081.999,530.999,370.999,359.999,0.0,0.0,0.0,0.0,0.0,141.999,0.0,0.0,0.0,0.0,0.0,306.999,0.0,0.0,171.999,0.0,0.0,1616.999,321.999,95.999,144.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,3009.0,4.38,17.035,131.42,212.9421,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.999,0.0,0.0,281.999,0.0,0.0,555.999,0.0,0.0,969.999,173.999,0.0,182.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.999,0.0,0.0,0.0,0.0,0.0,112.999,0.0,0.0,148.999,0.0,0.0,105.999,0.0,0.0
No Match,None,unmatched,5021.0,4.919,16.89,130.35,213.0847,,,,154.999,0.0,0.0,0.0,0.0,0.0,125.999,0.0,0.0,321.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.999,0.0,0.0,95.999,0.0,0.0,138.999,0.0,0.0,130.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,3591.0,3.709,17.189,132.53,216.9636,,,,125.999,0.0,0.0,251.999,0.0,0.0,163.999,0.0,0.0,0.0,0.0,0.0,368.999,0.0,0.0,78.999,0.0,0.0,265.999,0.0,0.0,299.999,0.0,0.0,202.999,0.0,0.0,464.999,0.0,0.0,0.0,0.0,0.0,343.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,3121.0,6.339,17.484,134.77,218.0297,,,,0.0,0.0,0.0,451.999,0.0,0.0,408.999,0.0,0.0,648.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.999,0.0,0.0,486.999,0.0,380.999,0.0,0.0,0.0
No Match,None,unmatched,2453.0,6.351,16.694,128.59,220.8992,,,,260.999,0.0,0.0,257.999,0.0,0.0,337.999,0.0,0.0,760.999,130.999,0.0,328.999,0.0,0.0,397.999,0.0,0.0,0.0,0.0,0.0,377.999,0.0,0.0,340.999,0.0,0.0,381.999,102.999,0.0,278.999,0.0,0.0,500.999,0.0,0.0,284.999,0.0,0.0,263.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,635.0,5.918,17.049,131.28,220.9391,,,,841.999,0.0,0.0,1422.999,167.999,0.0,1783.999,205.999,0.0,2555.999,367.999,0.0,1330.999,218.999,0.0,1397.999,126.999,0.0,1653.999,293.999,106.999,1969.999,294.999,201.999,2302.999,327.999,0.0,2921.999,401.999,238.999,1218.999,0.0,0.0,2648.999,0.0,0.0,1860.999,234.999,71.999,1517.999,195.999,0.0,525.999,0.0,0.0
No Match,None,unmatched,988.0,6.842,17.054,131.29,221.9537,,,,753.999,0.0,0.0,349.999,0.0,0.0,609.999,0.0,0.0,1346.999,0.0,0.0,1152.999,0.0,0.0,530.999,0.0,0.0,2659.999,0.0,0.0,646.999,0.0,0.0,1556.999,0.0,0.0,2106.999,0.0,0.0,767.999,0.0,0.0,1947.999,0.0,0.0,780.999,0.0,0.0,403.999,0.0,0.0,2335.999,0.0,0.0
No Match,None,unmatched,1907.0,6.351,16.698,128.53,222.8972,,,,357.999,0.0,0.0,337.999,0.0,0.0,454.999,0.0,0.0,914.999,0.0,0.0,483.999,0.0,0.0,620.999,0.0,0.0,437.999,100.999,0.0,638.999,0.0,0.0,512.999,0.0,0.0,684.999,0.0,0.0,409.999,0.0,0.0,631.999,67.999,0.0,328.999,0.0,0.0,418.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,2315.0,6.842,17.06,131.36,223.9518,,,,0.0,0.0,0.0,343.999,0.0,0.0,595.999,0.0,0.0,1352.999,0.0,0.0,1299.999,0.0,0.0,721.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,4918.0,6.347,16.702,128.5,224.8942,,,,0.0,0.0,0.0,0.0,0.0,0.0,161.999,0.0,0.0,239.999,0.0,0.0,106.999,0.0,0.0,127.999,0.0,0.0,0.0,0.0,0.0,121.999,0.0,0.0,126.999,0.0,0.0,153.999,0.0,0.0,0.0,0.0,0.0,155.999,0.0,0.0,136.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,4671.0,5.913,17.081,131.38,224.9335,,,,0.0,0.0,0.0,157.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.999,0.0,0.0,318.999,0.0,0.0,127.999,0.0,0.0,261.999,0.0,0.0,170.999,0.0,0.0,135.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,3375.0,5.474,17.019,130.92,225.0683,,,,442.999,0.0,0.0,0.0,0.0,173.999,0.0,0.0,140.999,0.0,312.999,0.0,0.0,0.0,0.0,0.0,0.0,79.999,225.999,0.0,0.0,0.0,0.0,316.999,216.999,0.0,0.0,0.0,0.0,0.0,0.0,111.999,0.0,0.0,209.999,159.999,0.0,0.0,332.999,0.0,162.999,0.0,0.0,0.0,0.0
No Match,None,unmatched,4377.0,6.352,17.013,130.82,225.068,,,,0.0,0.0,0.0,0.0,0.0,0.0,94.999,0.0,0.0,0.0,0.0,0.0,108.999,0.0,0.0,159.999,0.0,0.0,262.999,0.0,0.0,137.999,0.0,0.0,123.999,0.0,0.0,0.0,99.999,0.0,0.0,0.0,0.0,123.999,0.0,0.0,165.999,0.0,0.0,121.999,147.999,66.999,123.999,0.0,0.0
No Match,None,unmatched,4970.0,3.643,17.093,131.32,231.0491,,,,95.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.999,0.0,0.0,212.999,0.0,0.0,0.0,0.0,0.0,0.0,122.999,0.0,0.0,0.0,0.0,202.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.999,0.0,0.0,144.999,0.0,0.0,0.0,0.0,0.0,235.999,0.0,0.0
No Match,None,unmatched,4399.0,5.266,17.245,132.42,232.076,,,,0.0,0.0,0.0,0.0,0.0,0.0,200.999,0.0,0.0,253.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.999,0.0,0.0,170.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.999,0.0,0.0,395.999,0.0,0.0
No Match,None,unmatched,3792.0,5.6,17.548,134.51,239.0845,,,,0.0,0.0,0.0,0.0,282.999,0.0,0.0,257.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.999,0.0,0.0,0.0,0.0,0.0,262.999,230.999,201.999,0.0,123.999,0.0,0.0,0.0,0.0,370.999,0.0,0.0,0.0,0.0,0.0,0.0,247.999,0.0
No Match,None,unmatched,4193.0,6.478,17.561999999999998,134.60500000000002,239.08429999999998,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.999,0.0,0.0,0.0,103.999,0.0,0.0,0.0,0.0,0.0,148.999,0.0,0.0,0.0,0.0,0.0,408.999,0.0,180.999,0.0,0.0,69.999,0.0,0.0,268.999,388.999,0.0,218.999,0.0,0.0,389.999,0.0,0.0,198.999,0.0,0.0
No Match,None,unmatched,38.0,6.39,17.857,136.74,244.9074,,,,21952.999,4816.999,2025.999,19938.999,2448.999,750.999,18223.999,2391.999,959.999,126896.999,22459.999,0.0,27117.999,4957.999,1754.999,90976.999,9062.999,6051.999,50342.999,11903.999,3605.999,40889.999,7678.999,4810.999,30079.999,4981.999,1299.999,29715.999,5609.999,2643.999,26686.999,2788.999,758.999,54918.999,5711.999,2511.999,46415.999,7547.999,2033.999,34505.999,5161.999,1904.999,10822.999,1499.999,769.999
