Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),01 A.d.DeMP, 01 B.d.DeMP, 01 C.d.DeMP
"4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-3-(methanesulfinyl)-2-methylbenzoic acid",External Targets,tentative,38936,9.441,22.5315,169.03,365.01245,10.05,N/A,N/A,97.82412405,0,115.245924
"N'-(Benzenesulfonyl)-2,2,3,3,4,4,4-heptafluorobutanimidohydrazide",External Targets,tentative,53454,6.523,21.877,163.73,366.0151,-0.45,N/A,N/A,0,304.1311,0
"2-{2-[(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)sulfanyl]ethoxy}ethan-1-ol",External Targets,tentative,49048,7.936,22.694,169.82,367.0403,-4.56,N/A,N/A,0,535.3632,0
"N'-[(2Z)-5,5,6,6,7,7,7-Heptafluoro-4-oxohept-2-en-2-yl]benzohydrazide",External Targets,tentative,38142,9.685,23.039,172.32,371.061,-6.99,N/A,N/A,0,0,1257.536
"1-(4-Bromophenyl)-4,4,4-trifluoro-2-methyl-3-(trifluoromethyl)butane-1,3-diol",External Targets,tentative,43729,6.679,19.11,143.41,378.9766,-2.06,N/A,N/A,890.1803,0,0
"2,2,3,3,4,4,4-Heptafluoro-N-[(4-sulfamoylphenyl)methyl]butanamide",External Targets,tentative,52308,9.918,21.511,161.34,381.0206,14.88,N/A,N/A,361.3129,0,0
"1,1,1,7,7,7-hexafluoro-4-methylidene-2,6-bis(trifluoromethyl)heptane-2,6-diol",External Targets,tentative,52560,7.059,23.647,176.6,387.0316,14.5,N/A,N/A,0,0,347.5971
"2-[(2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptyl)oxy]ethan-1-ol or 4,4,5,5,6,6,7,7,8,8,9,9,9-tridecafluorononane-1,2-diol",External Targets,tentative,54535,8.884,21.426,159.97,393.0199,8.48,N/A,N/A,0,232.2995,0
8H-Perfluorooctanoic acid,External Targets,tentative,48737,7.494,19.626,147.06,394.9721,-9.48,N/A,N/A,555.0951,0,0
"2-[(4-Methoxypyridin-2-yl)methanesulfinyl]-6-(1,1,2,2-tetrafluoroethoxy)-1H-benzimidazole or 3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-N-(prop-2-en-1-yl)octan-1-amine",External Targets,tentative,55173,9.002,23.403,174.57,402.0514,-6.7 or -4.69,N/A,N/A,0,0,163.2658
"3-methyl-4-(2,2,3,3,4,4,5,5,5-nonafluoropentyl)cyclopentane-1,1-dicarboxylic Acid",External Targets,tentative,49195,10.267,22.837,170.34,403.0541,-13.97,N/A,N/A,0,0,526.1541
"Butanamide, N-(2-bromo-4-nitrophenyl)-2,2,3,3,4,4,4-heptafluoro- or Propanamide, N-(2-bromo-4-nitrophenyl)-2,3,3,3-tetrafluoro-2-(trifluoromethyl)-",External Targets,tentative,7891,10.101,24.828,185.26,410.9172,-11.86,N/A,N/A,36818.249,5347.166,5441.984
Perfluorooctanamidine,External Targets,tentative,48891,9.7895,21.4545,160.51,410.9928,-13.6,N/A,N/A,544.4223,0,0
"2-Propanone, hexafluoro-, 2-(2,6-dinitro-4-(trifluoromethyl)phenyl)hydrazone",External Targets,tentative,49941,9.825,20.9055,156.395,412.9956,4.41,N/A,N/A,482.9262,0,0
"2-Propanone, hexafluoro-, 2-(2,6-dinitro-4-(trifluoromethyl)phenyl)hydrazone",External Targets,tentative,43508,10.17,21.214,158.7,412.992,-4.31,N/A,N/A,903.7329,0,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol or 3,3,4,4,5,5,6,6,7,8,8,8-Dodecafluoro-7-(trifluoromethyl)octan-1-ol or 7:2 sFluorotelomer alcohol",External Targets,tentative,49610,9.366,21.164,158.33,413.0059,7.49,N/A,N/A,501.5575,0,0
"2-(Tridecafluorohexyl)-5,6-dihydro-2H-pyran-2-ol",External Targets,tentative,40650,10.2125,22.31,166.525,417.0127,-9.27,N/A,N/A,336.2753,1080.072,0
"2-(Tridecafluorohexyl)-5,6-dihydro-2H-pyran-2-ol",External Targets,tentative,45783,10.015,22.717,169.56,417.0223,13.75,N/A,N/A,0,333.8408874,0
"5,5,6,6,7,7,8,8,9,9,10,10,10-Tridecafluoro-2-hydroxydecanoic acid",External Targets,tentative,52581,9.265,21.422,160.15,421.0069,-10.88,N/A,N/A,346.8756,0,0
"5,5,6,6,7,7,8,8,9,9,10,10,10-Tridecafluoro-2-hydroxydecanoic acid",External Targets,tentative,31003,10.094,21.922,163.88,421.0062,-12.54,N/A,N/A,746.2142609,0,0
"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoro-N-pyridin-2-ylheptanamide or 5,5,6,6,7,7,8,8,9,9,10,10,10-Tridecafluoro-2-hydroxydecanoic acid",External Targets,tentative,54348,8.865,21.138,158.04,421.0156,-14.18 or 9.79,N/A,N/A,246.2296,0,0
"2,2-bis(3-nitro-4-hydroxyphenyl)hexafluoropropane or 4,4'-(1,1,2,2,3,3-Hexafluoropropane-1,3-diyl)bis(2-nitrophenol) or Benzamide, 2,6-difluoro-N-(((2-fluoro-4-((1,1,2,2-tetrafluoroethyl)thio)phenyl)amino)carbonyl)-",External Targets,tentative,34993,9.919,22.484,168.02,425.0158,-13.12 or -9.92,N/A,N/A,180.0191934,0,0
"3-[5'-fluoro-2'-(2,2,3,3,3-pentafluoropropoxy)biphenyl-3-yl]-1H-1,2,4-triazole-5-carboxamide",External Targets,tentative,16089,9.449,23.791,177.4,429.0751,-9.47,N/A,N/A,1448.482494,0,3761.087494
5-(Pentadecafluoroheptyl)-1H-imidazole,External Targets,tentative,43104,10.069,21.389,159.75,434.9993,2.09,N/A,N/A,927.6105,0,0
"1,2-bis(Heptafluorobutyryl)hydrazine hydrazone",External Targets,tentative,45000,10.375,22.695,169.45,437.0029,-13.67,N/A,N/A,799.5957,0,0
"1,2-bis(Heptafluorobutyryl)hydrazine hydrazone",External Targets,tentative,49778,10.159,23.015,171.83,437.011,4.86,N/A,N/A,492.5412,0,0
"1-Propanol, 3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)thio]-",External Targets,tentative,44441,10.429,22.734,169.735,437.01935,-12.98,N/A,N/A,517.5943,0,0
"2-Chloro-N-{[4-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)phenyl]carbamoyl}benzamide",External Targets,tentative,48178,10.573,22.607,168.77,439.0289,-0.13,N/A,N/A,590.8474,0,0
"Ethanol, 2-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl)oxy]-",External Targets,tentative,53537,10.794,22.082,164.81,443.0079,-12.35,N/A,N/A,299.2398,0,0
"1H,1H-Perfluoro(3,5,5-trimethylhexan-1-ol) or 8:1 Fluorotelomer alcohol",External Targets,tentative,54223,9.614,22.294,166.33,448.987,6.76,N/A,N/A,255.8506,0,0
"3-(2-Chloroethyl)-1,1,1,7,7,7-hexafluoro-2,6-dihydroxy-2,6-bis(trifluoromethyl)heptan-4-one or N-[(5-bromo-2-propan-2-yloxyphenyl)methylideneamino]-2,2,3,3,4,4,4-heptafluorobutanamide",External Targets,tentative,52645,9.56,22.682,169.2,450.9939,-8.16 or 9.18,N/A,N/A,344.1959,0,0
"2,6-Difluoro-N-((2-fluoro-4-(1,1,2,2-tetrafluoroethylsulfonyl)phenyl)carbamoyl)benzamide or B-(3,5-bis(Perfluoro-1-methylethyl)phenyl)boronic acid",External Targets,tentative,50242,10.504,22.5455,167.82,457.0108,2.09 or 4.76,N/A,N/A,33.51144854,0,550.3467
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-Hexadecafluoro-2-methyldecan-2-ol",External Targets,tentative,51965,9.283,23.886,178.07,459.0181,-14.35,N/A,N/A,376.909,0,0
"1H,1H,10H,10H-Perfluorodecane-1,10-diol",External Targets,tentative,46061,10.549,22.484,167.62,461.0104,13.99,N/A,N/A,729.4004,0,0
6:2 Fluorotelomer sulfinyl propanoic acid,External Targets,tentative,51864,10.462,23.017,171.51,467.0056,13.7,N/A,N/A,382.1605,0,0
"N-(3-Aminopropyl)-2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanamide",External Targets,tentative,51894,10.598,25.729,190.98,469.034,-13.34,N/A,N/A,0,380.1837,0
