Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),01 A.d.DeMP, 01 B.d.DeMP, 01 C.d.DeMP
No Match,None,unmatched,34107,2.6975,19.6745,150.13,239.06055,,,,46071.979,2133.665,3314.141
No Match,None,unmatched,7813,2.457,20.242,154.63,239.0603,,,,38269.999,10255.279,0
No Match,None,unmatched,33587,2.215,20.043,152.84,239.0973,,,,0,0,1671.631
No Match,None,unmatched,47077,3.394,17.542,133.8,239.9538,,,,0,0,664.3244
No Match,None,unmatched,2148,2.04,18.902,144.43,239.9971,,,,67216.99952,0,0
No Match,None,unmatched,22630,2.227,19.71,150.81,240.0343,,,,3890.871,0,0
No Match,None,unmatched,19504,3.095,20.397,155.99,241.9912,,,,5596.9,0,0
No Match,None,unmatched,11434,2.616,19.973,152.75,242.05,,,,21609.129,0,0
No Match,None,unmatched,38520,6.485,20.475,156,243.1052,,,,0,0,1226.789
No Match,None,unmatched,15912,4.924,19.927,152.33,244.008,,,,9436.709,0,0
No Match,None,unmatched,39875,7.241,17.174,130.89,244.0236,,,,0,0,1131.123
No Match,None,unmatched,26906,5.373,18.929,144.22,244.0313,,,,0,0,2671.453
No Match,None,unmatched,11491,2.014,20.159,153.83,244.1071,,,,17511.089,3792.081,0
No Match,None,unmatched,16914,4.095,18.339,139.96,245.0255,,,,0,0,5778.695485
No Match,None,unmatched,28207,2.189,19.504,149.08,245.058,,,,2414.916,0,0
No Match,None,unmatched,16366,3.833,20.183,154.25,245.0899,,,,8774.342,0,0
No Match,None,unmatched,45721,3.82,20.191,153.78,245.0959,,,,0,751.5578,0
No Match,None,unmatched,5460,2.13,20.1555,153.73,245.10225,,,,60594.099,32508.699,7479.139
No Match,None,unmatched,18657,2.553,20.273,154.67,245.1037,,,,0,2242.313,0
No Match,None,unmatched,28097,2.527,19.717,150.67,246.0055,,,,2437.345,0,0
No Match,None,unmatched,16365,7.351,18.484,141.03,246.028,,,,1158.881814,0,0
No Match,None,unmatched,4170,2.387,20.41,155.55,247.029,,,,92750.729,31956.779,16966.069
No Match,None,unmatched,52275,4.537,20.638,157.1,247.1031,,,,0,0,362.9808
No Match,None,unmatched,22191,4.846,20.035,153,249.0324,,,,4099.15,0,0
No Match,None,unmatched,47013,3.369,20.402,155.25,249.0879,,,,0,668.5558,0
No Match,None,unmatched,52868,3.631,20.338,154.76,249.112,,,,0,0,334.6354
No Match,None,unmatched,46319,3.261,20.539,156.28,249.1167,,,,0,0,713.0276
No Match,None,unmatched,34371,3.13225,20.62075,157.29,250.07685,,,,14215.579,404.5742,0
No Match,None,unmatched,7648,3.695333333,20.59833333,157.04,250.0766,,,,191735.199,19585.049,6012.495
No Match,None,unmatched,14928,7.525,18.456,140.59,251.0077,,,,0,1175.851748,0
No Match,None,unmatched,8293,2.105,20.5895,156.975,251.09295,,,,30869.739,11563.829,4016.707
No Match,None,unmatched,15480,2.841,20.3845,155.28,251.0942,,,,33850.079,3588.581,388.119
No Match,None,unmatched,14371,6.206,18.349,139.84,251.9673,,,,11820.109,532.6292,0
No Match,None,unmatched,20732,2.763,20.635,157.47,252.035,,,,4812.127,0,0
No Match,None,unmatched,149,4.689,20.773,158.16,252.0712,,,,5961422.999,2039609.999,1825046.999
No Match,None,unmatched,43854,3.156,18.265,139.41,252.9004,,,,882.1366,0,0
No Match,None,unmatched,14834,6.71675,18.443,140.57,252.998775,,,,4403.5363,0,0
No Match,None,unmatched,1623,2.054,20.13,153.33,253.0612,,,,247189.9473,43534.34735,38860.01735
No Match,None,unmatched,19374,2.301666667,19.96566667,152.3533333,253.0719667,,,,10735.909,0,0
No Match,None,unmatched,11080,6.8395,20.3325,154.96,253.0839,,,,23196.039,5836.303,4506.433
No Match,None,unmatched,48567,6.792,20.388,155.01,253.089,,,,0,565.2171,0
No Match,None,unmatched,48747,3.46,20.824,158.32,253.1159,,,,0,352.7293,201.6555
No Match,None,unmatched,52045,6.202,18.274,138.96,253.9659,,,,0,0,373.6332
No Match,None,unmatched,49391,7.577,18.251,138.79,254.0018,,,,0,514.2305,0
No Match,None,unmatched,3245,2.927,20.558,156.46,254.05,,,,123593.899,47531.509,34092.939
No Match,None,unmatched,10210,5.49,19.346,147.24,254.9294,,,,23995.559,3351.809,408.4732
No Match,None,unmatched,28751,2.4315,20.2575,154.28,255.0875,,,,5440.791577,0,352.7287
No Match,None,unmatched,36634,2.701,20.059,152.46,255.0914,,,,0,1378.15,0
No Match,None,unmatched,27101,3.357,20.756,157.74,255.0947,,,,0,1529.515,1103.818
No Match,None,unmatched,18777,5.315,20.455,155.99,256.0412,,,,6151.426,0,0
No Match,None,unmatched,6669,3.3155,20.6825,157.39,256.0664,,,,56169.519,7488.954,2264.412
No Match,None,unmatched,10272,2.034,20.727,157.68,256.0778,,,,11302.229,5604.665,10457.959
No Match,None,unmatched,9779,2.794,20.575,156.35,256.1077,,,,0,30661.619,0
No Match,None,unmatched,49673,5.544,19.437,147.69,256.928,,,,0,497.4215,0
No Match,None,unmatched,12292,5.168,20.612,156.96,257.0824,,,,10765.61218,0,0
No Match,None,unmatched,1784,2.25,20.472,155.5933333,257.1044667,,,,246028.799,124764.599,79182.189
No Match,None,unmatched,23798,7.072,18.476,140.38,258.0433,,,,0,1712.519,1762.913
No Match,None,unmatched,42424,7.664,19.153,146.03,258.0435,,,,966.2632,0,0
No Match,None,unmatched,54681,3.131,18.578,141.65,258.0809,,,,221.161,0,0
No Match,None,unmatched,31133,3.294,20.672,157.57,258.0805,,,,1965.732,0,0
No Match,None,unmatched,5250,2.679,18.574,141.27,258.962,,,,66274.019,23040.209,10071.979
No Match,None,unmatched,9230,3.393,20.96,159.35,259.1167,,,,10435.279,11899.389,12793.719
No Match,None,unmatched,16411,2.614,19.939,151.94,260.0068,,,,8710.162,0,0
No Match,None,unmatched,34961,7.502,21,159.45,260.0792,,,,0,0,1530.85
No Match,None,unmatched,10088,2.067,20.382,155.28,261.0733,,,,26171.47833,0,0
No Match,None,unmatched,8559,3.013,20.52,155.96,261.071,,,,34936.499,3935.292,1945.892
No Match,None,unmatched,5928,2.067,20.222,153.71,261.0957,,,,39556.699,28964.629,12222.869
No Match,None,unmatched,50919,5.501,20.828,158.11,261.1146,,,,0,0,430.4858
No Match,None,unmatched,47961,6.062,19.82,150.45,262.0456,,,,0,605.6617,0
No Match,None,unmatched,36267,7.467,20.022,152.34,262.0563,,,,327.2665231,0,0
No Match,None,unmatched,54550,5.757,19.713,149.65,262.0656,,,,0,231.2258,0
No Match,None,unmatched,25204,6.768,19.103,145.02,262.087,,,,0,0,3073.401
No Match,None,unmatched,1747,5.731,20.555,156.27,263.0025,,,,277101.0168,12197.33683,0
No Match,None,unmatched,32350,6.154,20.423,155.27,263.0507,,,,0,0,1285.899
No Match,None,unmatched,35391,2.68,20.972,159.12,264.097,,,,0,1491.999,0
No Match,None,unmatched,11936,2.078,20.404,155.34,265.0744,,,,8215.305307,0,0
No Match,None,unmatched,39413,7.4,18.334,139.1,266.0091,,,,0,0,1162.791
No Match,None,unmatched,6807,2.471,20.524,155.95,268.0652333,,,,66225.18168,13667.53168,11243.18168
No Match,None,unmatched,9043,4.173,19.956,151.47,268.9704,,,,29760.479,6318.923,568.5818
No Match,None,unmatched,22100,3.423,20.811,158.32,268.9691,,,,4133.253,0,0
No Match,None,unmatched,36960,2.497,20.508,156.01,269.0226,,,,1352.283,0,0
No Match,None,unmatched,23178,3.109,21.203,161.29,269.0611,,,,3698.429,0,0
No Match,None,unmatched,25652,2.592,20.821,158.02,269.1032,,,,0,1181.616871,0
No Match,None,unmatched,48736,4.802,21.263,161.17,269.1196,,,,0,0,555.0953
No Match,None,unmatched,48442,2.986,20.062,152.07,269.962,,,,0,0,573.7879
No Match,None,unmatched,37641,7.095,21.158,160.92,270.0539,,,,1297.587,0,0
No Match,None,unmatched,8616,2.396,20.795,157.88,270.0808,,,,27932.449,12372.089,0
No Match,None,unmatched,33255,4.67,19.388,147.47,270.9258,,,,1708.812,0,0
No Match,None,unmatched,18584,3.694,21.209,161.28,271.0733,,,,6320.136,0,0
No Match,None,unmatched,22844,2.35,20.753,157.79,272.0946,,,,3804.056,0,0
No Match,None,unmatched,10362,4.118,20.341,154.28,273.0144,,,,20825.579,4307.324,1608.024
No Match,None,unmatched,3988,6.38,20.899,158.6,273.0228,,,,29828.5185,0,0
No Match,None,unmatched,7357,5.992,21.028,159.66,273.078,,,,14581.31939,0,0
No Match,None,unmatched,44082,3.403,20.858,158,273.0855,,,,0,866.7331,0
No Match,None,unmatched,32961,4.457,21.296,161.31,273.1194,,,,0,1742.58,0
No Match,None,unmatched,5209,3.347,20.677,156.8,274.0231,,,,86642.549,6642.42,7110.711
No Match,None,unmatched,33491,7.751,19.864,150.57,274.06245,,,,0,0,1683.427
No Match,None,unmatched,4840,2.5885,21.13,160.59,274.0749,,,,114048.899,0,0
No Match,None,unmatched,24794,5.01,21.342,162.2,274.114,,,,3187.813,0,0
No Match,None,unmatched,10227,5.551,21.366,162.35,275.0955,,,,27663.119,0,0
No Match,None,unmatched,48084,5.524,21.245,160.87,275.1042,,,,0,0,596.8725
No Match,None,unmatched,15281,3.2495,21.032,159.355,275.1107,,,,0,63098.73442,13813.87442
No Match,None,unmatched,9020,7.355,19.90125,150.975,276.053375,,,,15528.79345,769.9660798,0
No Match,None,unmatched,8287,8.01,18.5455,140.73,277.00235,,,,331.3139022,0,0
No Match,None,unmatched,4483,6.6845,21.2655,161.305,277.019,,,,64734.07769,0,0
No Match,None,unmatched,11187,5.578,21.122,160.45,277.0829,,,,22705.709,0,0
No Match,None,unmatched,10103,6.036,18.547,140.67,277.998,,,,0,0,17500.26787
No Match,None,unmatched,9111,4.9125,21.0105,159.11,278.05,,,,27108.769,5151.541,3858.039
No Match,None,unmatched,23312,3.688,21.11,160.34,278.0721,,,,3644.321,0,0
No Match,None,unmatched,34820,5.718,19.814,150.25,278.99605,,,,0,111.9170389,0
No Match,None,unmatched,2870,2.921,21.042,159.51,279.091,,,,72846.17916,0,0
No Match,None,unmatched,40681,4.452,19.792,149.77,280.0371,,,,0,1078.366,0
No Match,None,unmatched,16544,4.309,21.515,163.06,280.067,,,,7852.814,676.9258,0
No Match,None,unmatched,31588,3.366,21.362,161.62,280.1059,,,,0,1023.158,883.3681
No Match,None,unmatched,8114,6.792333333,19.87133333,150.8033333,281.0300667,,,,5812.98,0,0
No Match,None,unmatched,5691,2.781333333,21.16833333,160.46,281.1056333,,,,84215.71458,15343.89187,0
No Match,None,unmatched,52008,4.217,21.297,161.11,281.1115,,,,0,374.7666,0
No Match,None,unmatched,9639,4.03,21.446,162.585,282.10245,,,,31602.839,5806.417,7194.43
No Match,None,unmatched,40462,3.945,21.437,162.11,283.1186,,,,0,1091.562,0
No Match,None,unmatched,20289,4.081,21.617,163.66,283.1199,,,,0,1993.987474,0
No Match,None,unmatched,24215,2.813,21.212,160.36,285.1084,,,,0,2633.377,0
No Match,None,unmatched,47096,6.677,21.198,160.77,287.0017,,,,663.2208,0,0
No Match,None,unmatched,23021,2.838,21.189,160.71,287.0474,,,,3750.08,0,0
No Match,None,unmatched,55214,7.988,21.419,161.87,287.0577,,,,0,148.8538,0
No Match,None,unmatched,38384,8.064,21.721,164.72,287.0977,,,,1238.727,0,0
No Match,None,unmatched,55250,6.685,19.813,149.75,288.0509,,,,0,123.1059,0
No Match,None,unmatched,50366,7.637,18.944,143.19,288.0781,,,,0,0,458.776
No Match,None,unmatched,23795,3.264,21.6565,164.02,288.0913,,,,12696.519,4346.4,2664.792
No Match,None,unmatched,21284,6.242,18.862,142.55,289.035,,,,0,4532.604,0
No Match,None,unmatched,11798,6.451,21.293,161.28,289.1125,,,,2815.515537,0,0
No Match,None,unmatched,49611,6.674,20.456,155.09,290.0549,,,,501.5257,0,0
No Match,None,unmatched,53863,8.435,19.354,146.74,291.02,,,,281.5429,0,0
No Match,None,unmatched,19648,5.882,20.805,157.7,291.0532,,,,5506.191,0,0
No Match,None,unmatched,37357,4.939,21.203,160.71,291.0788,,,,1320.191,0,0
No Match,None,unmatched,23333,3.9,21.585,163.58,292.0856,,,,3635.942,0,0
No Match,None,unmatched,19248,7.937,19.471,147.23,293.011,,,,2504.422643,2583.252643,0
No Match,None,unmatched,54986,3.201,21.112,159.41,293.0768,,,,0,193.2246,0
No Match,None,unmatched,50433,3.304,21.516,162.46,293.0999,,,,0,455.3424,0
No Match,None,unmatched,33143,3.868,21.763,164.6,293.1063,,,,0,0,472.5409336
No Match,None,unmatched,32940,8.275,20.657,156.24,294.0483,,,,974.8363,770.2303,0
No Match,None,unmatched,26393,3.0895,21.77,164.315,295.11765,,,,0,2781.724,0
No Match,None,unmatched,15690,3.408,21.952,166.055,296.061,,,,22492.129,4581.272,2707.086
No Match,None,unmatched,46248,4.3565,20.183,152.82,298.92935,,,,716.9997,0,0
No Match,None,unmatched,27071,6.385,20.546,155.56,298.9756,,,,2638.731,0,0
No Match,None,unmatched,25153,5.326,21.792,164.97,299.0402,,,,3090.24,0,0
No Match,None,unmatched,48109,7.953,20.07,151.43,299.0648,,,,0,595.2436,0
No Match,None,unmatched,28309,7.961,21.544,163.1,299.073,,,,2396.395,0,0
No Match,None,unmatched,36791,3.631,21.966,165.69,299.1104,,,,0,0,1366.415
No Match,None,unmatched,24452,6.708,20.189,152.31,300.0599,,,,0,3279.846,0
No Match,None,unmatched,28376,6.378,20.579,155.75,301.9746,,,,2384.553,0,0
No Match,None,unmatched,50729,5.117,17.701,134.02,302.0949,,,,439.908,0,0
No Match,None,unmatched,36542,4.101,21.61,163.51,303.0979,,,,1387.084,0,0
No Match,None,unmatched,15889,4.231,21.625,163.23,303.1043,,,,6797.795,2161.706,513.4071
No Match,None,unmatched,24201,5.126,17.657,133.275,303.9515,,,,0,0,3349.628
No Match,None,unmatched,25482,6.42,20.575,155.1,304.9773,,,,0,1771.047,1232.397
No Match,None,unmatched,15280,4.44,21.7165,163.825,305.08015,,,,7738.134,2726.238,0
No Match,None,unmatched,13138,4.082,22.041,166.32,305.1115,,,,10606.249,4257.376,654.1891
No Match,None,unmatched,9472,8.251,20.672,156.36,306.0395,,,,8112.954748,0,0
No Match,None,unmatched,4328,8.391,20.596,155.79,306.0441,,,,134159.199,0,0
No Match,None,unmatched,14857,3.533,22.127,167.04,306.0859,,,,9397.563,1879.023,0
No Match,None,unmatched,25783,8.131,21.987,166.26,307.0279,,,,2927.485,0,0
No Match,None,unmatched,48527,7.669,20.565,155.47,310.0206,,,,567.9137,0,0
No Match,None,unmatched,45065,5.117,22.155,167.41,312.1187,,,,793.9244,0,0
No Match,None,unmatched,18610,6.4315,22.4175,168.93,314.11375,,,,15467.44455,0,6302.302
No Match,None,unmatched,51507,7.346,21.112,158.92,315.0723,,,,0,0,399.8851
No Match,None,unmatched,50227,8.257,21.045,158.96,316.0639,,,,466.7409,0,0
No Match,None,unmatched,27358,8.596,21.026,158.63,316.0676,,,,199.636506,0,787.468206
No Match,None,unmatched,46165,6.241,21.029,158.26,317.0601,,,,0,0,722.7216
No Match,None,unmatched,5336,4.418,21.946,165.43,317.0819,,,,55839.2578,25943.2778,10583.1678
No Match,None,unmatched,15378,7.174,21.423,161.36,318.0686,,,,0,0,2487.614835
No Match,None,unmatched,12257,8.734,21.465,161.665,320.05905,,,,0,0,968.4334939
No Match,None,unmatched,21421,7.869,21.497,161.71,320.0631,,,,0,0,4461.493
No Match,None,unmatched,49868,8.506,20.174,151.77,321.0105,,,,0,0,487.7883
No Match,None,unmatched,13031,8.1335,21.1235,159.295,321.0083,,,,0,14833.54831,0
No Match,None,unmatched,30343,8.694333333,21.14833333,159.4733333,321.0089,,,,2074.447,2088.80624,0
No Match,None,unmatched,48394,4.056,22.69,170.64,321.1101,,,,0,0,577.2314
No Match,None,unmatched,23379,4.174,21.513,162.36,321.9749,,,,3622.561,0,0
No Match,None,unmatched,16423,4.415,21.746,164.12,322.0533,,,,7869.264773,0,0
No Match,None,unmatched,54769,8.947,21.299,160.19,322.0662,,,,0,0,214.1394
No Match,None,unmatched,43400,4.209,21.876,164.52,322.0774,,,,0,0,911.2269
No Match,None,unmatched,53823,8.148,17.551,132.06,323.0017,,,,0,0,283.6839
No Match,None,unmatched,17471,7.663,22.717,171.4,323.0635,,,,7391.335,0,0
No Match,None,unmatched,47052,4.261,21.717,163.3,323.0696,,,,0,665.9883,0
No Match,None,unmatched,48315,7.661,21.371,161.24,325.0318,,,,581.3595,0,0
No Match,None,unmatched,44953,6.526,22.403,168.94,328.1067,,,,803.2067,0,0
No Match,None,unmatched,11898,8.545,21.264,159.96,330.0456,,,,0,0,9856.119964
No Match,None,unmatched,8550,9.136,21.318,160.46,330.0452,,,,0,0,6479.636973
No Match,None,unmatched,51544,6.83,22.09,165.92,332.0886,,,,0,0,397.8678
No Match,None,unmatched,15652,8.145,21.29,160.2,333.0323,,,,0,6391.032812,0
No Match,None,unmatched,16682,7.494,21.353,160.95,333.0356,,,,8363.752,0,0
No Match,None,unmatched,41912,8.279,22.098,166.54,333.0372,,,,997.3409,0,0
No Match,None,unmatched,15328,4.429,22.424,168.7,333.09265,,,,1374.636,10388.309,0
No Match,None,unmatched,51239,8.22,21.816,164.1,335.0228,,,,0,0,31.7858207
No Match,None,unmatched,14217,4.592,22.211,167.36,335.0847,,,,12689.929,0,0
No Match,None,unmatched,24147,4.591,22.762,171.5,335.0823,,,,3369.749,0,0
No Match,None,unmatched,50118,8.8435,20.706,155.85,336.01975,,,,825.9815,918.104,253.8249
No Match,None,unmatched,10215,5.098,23.022,173.13,336.0892,,,,24144.319,3565.412,0
No Match,None,unmatched,25555,8.861666667,21.85566667,164.3766667,337.0171667,,,,421.9065005,619.5660005,773.8610005
No Match,None,unmatched,52677,9.059,22.346,167.75,337.0601,,,,0,0,342.6762
No Match,None,unmatched,10754,4.8675,22.9665,172.8,339.049,,,,23615.129,1098.087,0
No Match,None,unmatched,36505,6.4,22.554,169.82,341.1047,,,,1390.248,0,0
No Match,None,unmatched,45411,5.3995,23.2305,174.59,341.11545,,,,12192.359,0,0
No Match,None,unmatched,23789,4.464333333,23.13733333,173.62,343.1184333,,,,7951.291,15426.389,21668.509
No Match,None,unmatched,53541,5.354,23.058,172.93,344.1197,,,,0,0,299.2044
No Match,None,unmatched,32407,8.789,21.131,159.06,344.8982,,,,1806.217,0,0
No Match,None,unmatched,16004,7.175,22.084,165.86,345.0617,,,,0,1670.543907,529.778907
No Match,None,unmatched,29355,8.441,19.113,143.87,347.9501,,,,2217.245,0,0
No Match,None,unmatched,11856,5.624,23.22,174.37,349.0866,,,,19096.009,620.9533,0
No Match,None,unmatched,40378,7.068,22.496,169.2,350.9903,,,,1096.64,0,0
No Match,None,unmatched,26670,5.369,22.994,172.94,351.0712,,,,2724.882,0,0
No Match,None,unmatched,33619,8.996,21.638,162.75,352.0307,,,,460.525599,0,0
No Match,None,unmatched,55198,9.044,22.946,172.45,358.0531,,,,154.7002,0,0
No Match,None,unmatched,12568,7.5405,23.55,176.825,358.10895,,,,48017.869,11447.669,0
No Match,None,unmatched,54668,8.579,21.781,163.13,359.045,,,,0,222.0799,0
No Match,None,unmatched,53467,9.134,22.562,168.96,359.044,,,,0,0,303.4883
No Match,None,unmatched,22006,5.805,23.106,173.64,359.09,,,,4177.438,0,0
No Match,None,unmatched,45565,9.002,22.844,171.05,360.0714,,,,0,396.1669,366.1242
No Match,None,unmatched,34783,5.224,23.76,177.9,360.089,,,,0,1549.24,0
No Match,None,unmatched,35047,8.583,22.99,172.32,363.0687,,,,0,75.0125199,0
No Match,None,unmatched,43987,9.259,22.917,171.63,363.06895,,,,0,873.7651,0
No Match,None,unmatched,6932,5.606,23.826,178.54,363.1036,,,,38530.929,20996.949,1999.831
No Match,None,unmatched,15337,6.208,23.889,178.78,364.101,,,,0,10369.989,0
No Match,None,unmatched,54124,5.435,22.461,168.11,364.9509,,,,0,262.9319,0
No Match,None,unmatched,17957,8.668,22.565,169.08,365.01465,,,,0,0,552.5913
No Match,None,unmatched,22926,8.6755,22.5555,169.08,365.0165,,,,611.4095,0,996.1349
No Match,None,unmatched,43362,9.623,22.675,169.71,365.0223,,,,0,0,912.7913
No Match,None,unmatched,7831,8.466,23.281,174.4,366.9005,,,,37731.919,5885.516,4661.278
No Match,None,unmatched,871,9.151,23.009,172.37,366.8995,,,,731158.899,182988.399,183242.999
No Match,None,unmatched,17434,5.186,23.956,179.86,367.0903,,,,7439.32,0,0
No Match,None,unmatched,7944,8.463,23.276,174.33,368.8973,,,,35638.369,6652.166,4672.894
No Match,None,unmatched,47330,8.426,22.535,168.59,369.0367,,,,0,0,646.6548
No Match,None,unmatched,37290,9.058,23,172.05,369.9014,,,,0,0,1326.214
No Match,None,unmatched,48497,7.826,22.285,166.67,373.0476,,,,0,0,570.1771
No Match,None,unmatched,54345,9.806,22.355,167.19,373.0715,,,,0,246.3753,0
No Match,None,unmatched,37144,9.353,22.532,168.66,374.061,,,,0,0,826.4704423
No Match,None,unmatched,18704,9.38,24.226,181.72,376.919,,,,6224.77,0,0
No Match,None,unmatched,36039,9.374,24.089,180.66,378.916,,,,1430.755,0,0
No Match,None,unmatched,52094,7.203,24.212,180.94,379.1126,,,,0,371.4656,0
No Match,None,unmatched,54477,8.254,23.294,174.08,380.0381,,,,0,0,236.3553
No Match,None,unmatched,25502,10.005,23.919,179.36,380.913,,,,2998.356,0,0
No Match,None,unmatched,49650,8.742,20.531,154.01,380.9818,,,,498.8684,0,0
No Match,None,unmatched,54156,9.119,21.983,164.87,381.0274,,,,260.7311,0,0
No Match,None,unmatched,31774,9.385,23.983,179.8,382.9133,,,,1885.256,0,0
No Match,None,unmatched,28789,9.999,23.942,179.49,382.9099,,,,2313.719,0,0
No Match,None,unmatched,45567,6.377,24.04,180.21,384.1172,,,,762.0364,0,0
No Match,None,unmatched,42687,6.404,23.543,175.86,385.1152,,,,0,513.881,436.7755
No Match,None,unmatched,51980,8.812,23.273,173.83,386.07,,,,0,0,375.9512
No Match,None,unmatched,52073,8.703,22.821,170.43,388.0476,,,,0,372.1711,0
No Match,None,unmatched,43681,9.477,20.225,151.59,390.9838,,,,470.4124481,0,0
No Match,None,unmatched,43221,9.379,21.159,158.57,390.9926,,,,920.186,0,0
No Match,None,unmatched,29969,7.593,24.625,184.46,392.0997,,,,2124.968,0,0
No Match,None,unmatched,15501,9.312,18.975,142.22,392.9725,,,,3717.714418,0,0
No Match,None,unmatched,47926,8.987,19.573,146.69,392.9706,,,,608.0516,0,0
No Match,None,unmatched,37197,9.498,21.221,159,392.9997,,,,1332.351,0,0
No Match,None,unmatched,49538,8.839,24.379,182.54,397.0697,,,,505.5913,0,0
No Match,None,unmatched,51419,6.376,24.579,184.04,397.1117,,,,404.4144,0,0
No Match,None,unmatched,34455,9.955,22.882,170.835,399.05285,,,,0,0,1054.717
No Match,None,unmatched,45110,9.735,20.311,152.12,399.9481,,,,790.6144,0,0
No Match,None,unmatched,10994,8.801,22.16925,165.88,400.049675,,,,3454.684,0,0
No Match,None,unmatched,17456,9.56,22.19,165.86,400.0499,,,,4101.367,0,3310.017
No Match,None,unmatched,40544,9.445,21.032,157.49,400.9887,,,,1086.248,0,0
No Match,None,unmatched,51450,8.137,22.771,170.48,401.0413,,,,403.1399,0,0
No Match,None,unmatched,31775,7.597,22.83,170.61,401.0472,,,,486.6034,1398.481,0
No Match,None,unmatched,32625,9.006,22.94,171.13,401.0494,,,,0,1778.897,0
No Match,None,unmatched,43866,9.711,23.907,178.54,401.0633,,,,0,0,188.8320903
No Match,None,unmatched,32079,7.5265,24.8175,185.36,402.11595,,,,17338.559,4189.416,921.6855
No Match,None,unmatched,52371,8.73,22.844,170.38,404.0419,,,,0,358.1087,0
No Match,None,unmatched,38925,7.609,24.843,185.9,404.1066,,,,1197.02,0,0
No Match,None,unmatched,55193,8.829,22.711,169.36,406.0342,,,,0,156.4865,0
No Match,None,unmatched,33926,7.074,24.923,186.14,406.1065,,,,969.8849,665.9782,0
No Match,None,unmatched,8056,10.121,24.8435,185.29,408.92165,,,,36898.089,2354.708,7188.987
No Match,None,unmatched,52933,7.031,24.941,186.56,409.1062,,,,331.3276,0,0
No Match,None,unmatched,51804,7.09,24.731,184.97,410.9836,,,,385.0285,0,0
No Match,None,unmatched,14116,8.659,24.343,182.06,411.9483,,,,12937.349,0,0
No Match,None,unmatched,16261,10.097,24.878,186.04,412.9117,,,,8932.965,0,0
No Match,None,unmatched,53995,10.338,21.861,162.95,413.0268,,,,0,0,272.1045
No Match,None,unmatched,23796,8.656,24.445,182.79,413.9486,,,,3476.404,0,0
No Match,None,unmatched,12830,9.499,22.888,170.86,415.0561,,,,11963.479,0,4500.456
No Match,None,unmatched,21304,10.022,23.886,178.18,415.0614,,,,610.7727,987.1375,2923.818
No Match,None,unmatched,50444,9.293,22.718,169.27,417.0024,,,,0,0,454.6789
No Match,None,unmatched,21360,10.287,22.757,169.91,417.0048,,,,489.1934708,0,0
No Match,None,unmatched,43553,9.831,22.756,169.7,417.0092,,,,382.7135,673.6199,0
No Match,None,unmatched,49414,9.551,21.626,161.7,419.0051,,,,513.1443,0,0
No Match,None,unmatched,53842,9.595,21.736,162.51,419.0149,,,,282.4208,0,0
No Match,None,unmatched,33081,9.923,23.612,176.04,419.0432,,,,0,37.58360782,294.5199078
No Match,None,unmatched,52368,10.345,23.898,178.56,425.0416,,,,358.1458,0,0
No Match,None,unmatched,24846,8.362,25.051,187.13,427.0855,,,,3171.197,0,0
No Match,None,unmatched,33171,9.246,22.555,167.9,429.9781,,,,0,0,1717.78
No Match,None,unmatched,24107,10.511,23.698,176.69,430.0737,,,,0,0,86.48171478
No Match,None,unmatched,15871,10.344,23.667,176.36,430.0759,,,,727.9904,983.7885,7788.264
No Match,None,unmatched,31642,9.577,20.689,154.02,431.9787,,,,0,1412.249,488.6863
No Match,None,unmatched,39994,9.9445,22.64,169.085,433.00985,,,,97.13393434,0,0
No Match,None,unmatched,52603,10.344,21.358,159.51,434.9828,,,,346.3151,0,0
No Match,None,unmatched,43816,9.721,22.597,168.74,435.007,,,,883.7749,0,0
No Match,None,unmatched,37127,9.95,24.786,184.67,439.0698,,,,0,0,1167.994763
No Match,None,unmatched,37885,7.535,23.486,175.29,440.8911,,,,1278.948,0,0
No Match,None,unmatched,15275,7.97,21.821,162.89,440.9542,,,,10470.209,0,0
No Match,None,unmatched,54719,9.701,22.279,166.015,441.0048,,,,1001.655,217.7082,0
No Match,None,unmatched,42336,10.321,24.641,183.23,443.0613,,,,0,0,971.7661
No Match,None,unmatched,51744,10.82,24.367,181.17,445.0729,,,,0,0,387.9193
No Match,None,unmatched,55057,9.096,22.702,169.38,446.9847,,,,186.0583,0,0
No Match,None,unmatched,46366,10.3135,22.1235,165.085,447.00225,,,,1286.943,0,0
No Match,None,unmatched,53622,9.951,23.314,173.28,451.0456,,,,0,294.9242,0
No Match,None,unmatched,51120,10.161,22.162,165.3,453.0281,,,,420.2982,0,0
No Match,None,unmatched,47896,10.124,23.187,172.93,453.0225,,,,609.7572,0,0
No Match,None,unmatched,50284,9.996666667,25.61833333,190.3766667,454.0806333,,,,0,0,2942.357
No Match,None,unmatched,52395,10.372,22.251,165.94,455.0198,,,,356.5361,0,0
No Match,None,unmatched,53607,9.793,23.236,173.27,455.0255,,,,295.4916,0,0
No Match,None,unmatched,51598,9.368,22.598,168.51,457.0196,,,,395.2146,0,0
No Match,None,unmatched,48176,10.003,22.742,169.57,457.01725,,,,1505.753,0,0
No Match,None,unmatched,47562,8.086,25.539,189.72,457.0573,,,,0,632.2651,0
No Match,None,unmatched,53779,9.434,23.078,172.05,459.0104,,,,285.8424,0,0
