ID,RT,DT,CCS,m/z,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP
4421,13.541,32.995,264.58,116.972,0.0,143.999,0.0,0.0,0.0,93.999,91.999,135.999
4571,13.7695,34.3565,275.755,116.97120000000001,0.0,88.999,0.0,0.0,76.999,135.999,98.999,59.999
7074,14.445,34.894,279.85,116.9719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5595,14.479,39.451,316.34,116.9718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9034,4.327,50.732,408.06,116.9719,51.999,0.0,0.0,0.0,53.999,0.0,0.0,0.0
8877,13.677,53.396,428.95,116.971,0.0,52.999,0.0,65.999,0.0,0.0,0.0,0.0
8039,11.931,54.868,439.23,116.9717,0.0,77.999,0.0,0.0,0.0,0.0,0.0,80.999
9062,9.795,4.154,34.03,116.9728,0.0,0.0,0.0,0.0,10.751939169793317,0.0,0.0,0.0
5869,5.703,7.055,57.04,116.9728,168.999,55.999,74.999,0.0,0.0,0.0,0.0,0.0
7328,13.364,7.097,57.55,116.9724,0.0,62.999,0.0,0.0,133.999,0.0,0.0,0.0
7566,7.795,7.231,58.47,116.9725,126.999,0.0,0.0,0.0,0.0,0.0,56.999,0.0
8899,11.852,8.024,65.06,116.9722,0.0,0.0,0.0,0.0,63.999,52.999,0.0,0.0
7955,9.571,8.454,68.39,116.9728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6810,10.175,22.407,180.04,116.9726,0.0,43.961074788297225,0.0,0.0,0.0,0.0,0.0,0.0
4098,12.66,22.402,179.77,116.9723,0.0,277.999,0.0,0.0,0.0,0.0,239.999,0.0
4182,2.563,24.324,195.89,116.973,205.999,0.0,0.0,0.0,299.999,0.0,0.0,0.0
5733,2.952,25.826,208.26,116.9727,111.999,0.0,90.999,109.999,0.0,0.0,0.0,0.0
7316,6.542,27.244,218.73,116.9726,0.0,0.0,0.0,0.0,0.0,97.999,0.0,98.999
6894,7.833,26.902,216.42,116.9726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7810,9.254,26.838,215.99,116.9727,12.043735237293944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3963,11.447,26.7,214.88,116.9723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4520,2.971,27.42,220.53,116.9729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6485,9.243,28.255,227.04,116.9728,0.0,0.0,0.0,0.0,0.0,40.91850231579281,0.0,0.0
4636,14.457,28.036,225.31,116.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4979,13.503,30.36,243.9,116.9726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5526,13.34,32.07,257.73,116.9732,0.0,69.999,89.999,0.0,68.999,104.999,0.0,0.0
5110,14.278,32.337,259.48,116.9722,0.0,101.999,0.0,0.0,86.999,121.999,68.999,0.0
5411,14.603,34.306,275.34,116.9727,0.0,0.0,0.0,0.0,161.999,79.999,103.999,0.0
6102,3.072,35.011,281.34,116.9729,55.999,163.999,0.0,0.0,60.999,0.0,0.0,0.0
8613,8.588,35.54,285.66,116.9727,0.0,0.0,0.0,0.0,0.0,27.71060894529495,0.0,0.0
5099,14.555,35.808,287.62,116.9724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5499,14.605,36.77,295.15,116.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8244,13.627,39.437,315.9,116.9731,0.0,66.999,0.0,0.0,0.0,0.0,80.999,0.0
8780,14.141,40.46,324.47,116.9728,0.0,0.0,0.0,0.0,55.999,0.0,0.0,66.999
7438,13.805,41.575,333.29,116.9722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8329,13.507,47.547,381.91,116.9732,0.0,0.0,0.0,0.0,0.0,26.835841866796073,0.0,0.0
7284,13.511,52.343,420.73,116.9728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8434,7.966,56.246,452.36,116.9726,0.0,0.0,53.999,0.0,84.999,0.0,0.0,0.0
7417,13.219,56.537,454.16,116.9731,0.0,0.0,0.0,104.999,0.0,0.0,0.0,86.999
