ID,RT,DT,CCS,m/z, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP
66,15.065,30.405,225.88,508.3414,11921.0,11088.0,11268.0,10584.0,0.001,0.001,28338.0,30193.0,25478.0,28598.0,28800.0,28828.0
67,14.325,32.462,240.15,599.3216,0.001,0.001,0.001,0.001,0.001,0.001,36253.0,29329.0,30809.0,46266.0,39464.0,30048.0
68,11.615,21.784,165.91,265.1482,9242.0,5252.0,5267.0,6758.0,2598.0,7730.0,25346.0,22943.0,48513.0,20741.0,44339.0,12867.0
69,14.256,28.232,210.47,452.2785,2817.0,0.001,2658.0,2376.0,1862.0,1732.0,43587.0,35335.0,36168.0,10811.0,50349.0,23561.0
70,16.394,27.733,207.6,397.3691,0.001,0.001,0.001,673.0,657.0,923.0,0.001,0.001,0.001,80554.0,61701.0,63720.0
71,10.452,27.148,203.07,407.2806,5289.0,4889.0,4999.0,4948.0,4274.0,4014.0,33206.0,21155.0,26521.0,39399.0,27919.0,30271.0
72,15.235,23.942,181.31,297.2803,9272.0,8612.0,8714.0,7325.0,5847.0,6544.0,55601.0,60258.0,44221.0,0.001,0.001,0.001
73,11.864,22.867,170.11,505.9717,5654.0,5086.0,5055.0,5349.0,4574.0,3761.0,29773.0,26593.0,23801.0,37587.0,28055.0,27918.0
74,12.996,21.053,161.64,227.2013,3374.0,3396.0,3351.0,3390.0,2608.0,2673.0,28010.0,25599.0,26677.0,34306.0,32061.0,29722.0
75,8.498,17.533,132.56,321.9895,5054.0,4748.0,4890.0,5546.0,4291.0,3839.0,31735.0,23316.0,24166.0,34790.0,26417.0,25710.0
