SampleName,Compound,Combination,Isotope_Label,Normalized_Intensity_exp,Normalized_Intensity_ref,Intensity_Diff,Avg_Diff,Predicted_F_per_C,Peak_mz_1,Max_Carbons,Max_Fluorines,CF_Avg_Diff,CF_Combination
NIST SRM-1957 8.d.DeMP,40,Cl1_Br0,M+1,0.06591828742983945,0.0,0.06591828742983945,0.1042160035554492,2.03,398.93283,7,14,0.02685442306195613,C7_F14
NIST SRM-1957 8.d.DeMP,40,Cl1_Br0,M+2,0.07322803811512857,0.3199577613516367,0.24672972323650816,0.1042160035554492,2.03,398.93283,7,14,0.02685442306195613,C7_F14
NIST SRM-1957 8.d.DeMP,42,Cl1_Br0,M+0,1.0,1.0,0.0,0.1177622050001133,2.23,498.92516,9,20,0.01993380725326916,C9_F20
NIST SRM-1957 8.d.DeMP,42,Cl1_Br0,M+1,0.08278457196613359,0.0,0.08278457196613359,0.1177622050001133,2.23,498.92516,9,20,0.01993380725326916,C9_F20
NIST SRM-1957 8.d.DeMP,42,Cl1_Br0,M+2,0.04945571831743045,0.3199577613516367,0.2705020430342063,0.1177622050001133,2.23,498.92516,9,20,0.01993380725326916,C9_F20
NIST SRM-1957 8.d.DeMP,75,Cl0_Br1,M+0,1.0,1.0,0.0,0.028098134711391175,1.02,244.90591,7,7,0.22675443921409702,C7_F7
NIST SRM-1957 8.d.DeMP,75,Cl0_Br1,M+1,0.07825874296894106,0.0,0.07825874296894106,0.028098134711391175,1.02,244.90591,7,7,0.22675443921409702,C7_F7
NIST SRM-1957 8.d.DeMP,75,Cl0_Br1,M+2,0.9667400342382001,0.9727756954034326,0.006035661165232464,0.028098134711391175,1.02,244.90591,7,7,0.22675443921409702,C7_F7
NIST SRM-1957 8.d.DeMP,101,Cl0_Br1,M+0,1.0,1.0,0.0,0.028804347826086957,2.42,368.97161,6,14,0.00364283705210975,C6_F14
NIST SRM-1957 8.d.DeMP,101,Cl0_Br1,M+1,0.057608695652173914,0.0,0.057608695652173914,0.028804347826086957,2.42,368.97161,6,14,0.00364283705210975,C6_F14
NIST SRM-1957 9.d.DeMP,12,Cl1_Br0,M+0,1.0,1.0,0.0,0.11839552625027372,2.38,498.92438,8,19,0.016007189848203884,C8_F19
NIST SRM-1957 9.d.DeMP,12,Cl1_Br0,M+1,0.07906660625283189,0.0,0.07906660625283189,0.11839552625027372,2.38,498.92438,8,19,0.016007189848203884,C8_F19
NIST SRM-1957 9.d.DeMP,12,Cl1_Br0,M+2,0.04383778885364749,0.3199577613516367,0.27611997249798925,0.11839552625027372,2.38,498.92438,8,19,0.016007189848203884,C8_F19
NIST SRM-1957 9.d.DeMP,39,Cl1_Br0,M+0,1.0,1.0,0.0,0.09976986684737314,2.5,398.932,6,15,0.02792927696279253,C6_F15
NIST SRM-1957 9.d.DeMP,39,Cl1_Br0,M+1,0.05360317243265418,0.0,0.05360317243265418,0.09976986684737314,2.5,398.932,6,15,0.02792927696279253,C6_F15
NIST SRM-1957 9.d.DeMP,39,Cl1_Br0,M+2,0.07425133324217148,0.3199577613516367,0.24570642810946525,0.09976986684737314,2.5,398.932,6,15,0.02792927696279253,C6_F15
NIST SRM-1957 9.d.DeMP,40,Cl1_Br0,M+0,1.0,1.0,0.0,0.12207519451633626,2.23,498.92461,9,20,0.015620817737046171,C9_F20
NIST SRM-1957 9.d.DeMP,40,Cl1_Br0,M+1,0.08344981828347778,0.0,0.08344981828347778,0.12207519451633626,2.23,498.92461,9,20,0.015620817737046171,C9_F20
NIST SRM-1957 9.d.DeMP,40,Cl1_Br0,M+2,0.03718199608610567,0.3199577613516367,0.28277576526553105,0.12207519451633626,2.23,498.92461,9,20,0.015620817737046171,C9_F20
NIST SRM-1957 9.d.DeMP,74,Cl0_Br1,M+0,1.0,1.0,0.0,0.02697635732387975,1.06,244.90552,7,7,0.267700618500262,C7_F7
NIST SRM-1957 9.d.DeMP,74,Cl0_Br1,M+1,0.07725445146467548,0.0,0.07725445146467548,0.02697635732387975,1.06,244.90552,7,7,0.267700618500262,C7_F7
NIST SRM-1957 9.d.DeMP,74,Cl0_Br1,M+2,0.9764503159103963,0.9727756954034326,0.003674620506963766,0.02697635732387975,1.06,244.90552,7,7,0.267700618500262,C7_F7
NIST SRM-1957 9.d.DeMP,101,Cl0_Br1,M+0,1.0,1.0,0.0,0.028503126149319602,2.17,368.97143,6,13,0.003944058728877105,C6_F13
NIST SRM-1957 9.d.DeMP,101,Cl0_Br1,M+1,0.057006252298639204,0.0,0.057006252298639204,0.028503126149319602,2.17,368.97143,6,13,0.003944058728877105,C6_F13
