Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP
No Match,None,unmatched,3465.0,12.167000000000002,17.418,133.345,244.02685,,,,0.0,0.0,309.999,0.0,0.0,218.999,0.0,0.0,0.0,218.999,0.0,0.0,0.0,0.0,221.999,0.0
No Match,None,unmatched,927.0,12.969333333333333,17.426,133.47,244.0263,,,,82.999,297.999,395.999,0.0,366.999,492.999,301.999,476.999,0.0,487.999,462.999,472.999,463.999,480.999,485.999,0.0
No Match,None,unmatched,137.0,6.41,17.861,136.72,244.907,,,,2025.999,750.999,959.999,0.0,1754.999,6051.999,3605.999,4810.999,1299.999,2643.999,758.999,2511.999,2033.999,1904.999,769.999,10427.999
No Match,None,unmatched,2731.0,5.439,17.578,134.63,245.066,,,,106.999,0.0,0.0,0.0,129.999,0.0,90.999,0.0,120.999,165.999,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,2103.0,4.374,17.553,134.45,246.0748,,,,0.0,576.999,212.999,0.0,0.0,109.999,0.0,0.0,0.0,0.0,161.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,476.0,6.395,17.862,136.71,246.9037,,,,1822.999,774.999,0.0,0.0,0.0,0.0,0.0,0.0,1234.999,0.0,874.999,0.0,2198.999,2022.999,703.999,0.0
No Match,None,unmatched,1126.0,6.398,17.876,136.8,248.9005,,,,540.999,191.999,252.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.999,727.999,538.999,482.999,195.999,0.0
No Match,None,unmatched,2280.0,12.108,18.934,144.4,261.0406,,,,0.0,0.0,0.0,0.0,0.0,0.0,358.999,0.0,206.999,0.0,0.0,0.0,318.999,0.0,0.0,0.0
No Match,None,unmatched,2617.0,11.763,18.5905,141.705,264.03245,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.999,236.999,0.0,0.0,211.999,0.0,0.0,0.0
No Match,None,unmatched,2454.0,12.955,19.831000000000003,150.8,275.05555000000004,,,,0.0,0.0,0.0,0.0,73.999,93.999,72.999,0.0,73.999,90.999,59.999,78.999,64.999,0.0,0.0,146.999
No Match,None,unmatched,1125.0,12.7865,19.1265,145.32999999999998,286.03959999999995,,,,0.0,401.999,429.999,0.0,316.999,0.0,409.999,0.0,456.999,0.0,407.999,0.0,0.0,0.0,411.999,0.0
No Match,None,unmatched,3936.0,13.381,20.086,152.42,302.0482,,,,51.999,75.999,0.0,0.0,0.0,0.0,0.0,0.0,121.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,1686.0,13.06775,20.5075,155.39249999999998,305.04684999999995,,,,282.999,309.999,298.999,0.0,290.999,0.0,0.0,311.999,0.0,0.0,317.999,308.999,288.999,344.999,0.0,1029.999
No Match,None,unmatched,1694.0,12.525,20.517,155.3,306.0434,,,,0.0,0.0,340.999,0.0,0.0,185.999,0.0,422.999,0.0,0.0,0.0,0.0,0.0,0.0,206.999,430.999
No Match,None,unmatched,2545.0,12.188,20.985,159.05,307.0077,,,,0.0,0.0,264.999,0.0,92.999,0.0,66.999,0.0,0.0,0.0,0.0,0.0,273.999,0.0,0.0,0.0
No Match,None,unmatched,2727.0,12.772,21.175,159.93,331.0435,,,,0.0,200.999,0.0,0.0,0.0,0.0,206.999,0.0,208.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,3496.0,10.791,20.711,156.42,333.0355,,,,0.0,71.999,64.999,0.0,0.0,0.0,0.0,59.999,0.0,0.0,0.0,68.999,82.999,0.0,0.0,0.0
No Match,None,unmatched,3645.0,10.231,21.182,160.08,333.0365,,,,105.999,106.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.999,0.0,0.0,0.0
No Match,None,unmatched,3427.0,11.175,21.182,159.81,333.0368,,,,0.0,0.0,0.0,0.0,0.0,138.999,0.0,117.999,0.0,0.0,0.0,0.0,110.999,0.0,0.0,0.0
