Match,Match Source,Classification Type,Confidence Level,Notes,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP, DBS 2184.d.DeMP
No Match,None,unmatched,,,3810,3.795,17.163,132.86,202.9964,,,,0,0,0,97.999,0,0,153.999,0,0,0,0,0,401.999,0,0,0,0,0,0,0,0,210.999,0,0,0,0,0,0,0,0,243.999,0,0,481.999,0,0,0,0,0,146.999,0,0,0,0,0,0
No Match,None,unmatched,,,2091,5.572,16.802,129.95,204.9446,,,,0,0,0,346.999,0,0,989.999,0,0,78.999,0,0,223.999,0,0,366.999,0,0,150.999,0,0,0,0,0,135.999,0,0,427.999,0,0,0,0,0,1131.999,74.999,0,420.999,0,0,132.999,0,0,496.999,83.999,0,0
No Match,None,unmatched,,,1687,3.319,16.763,129.62,205.9404,,,,310.999,0,0,364.999,0,0,278.999,0,0,404.999,0,0,227.999,0,0,400.999,0,0,587.999,145.999,0,379.999,0,0,237.999,0,0,1666.999,218.999,131.999,0,0,0,1192.999,0,0,0,0,0,271.999,0,0,289.999,0,0,0
No Match,None,unmatched,,,3003,5.573,16.808,129.91,206.9419,,,,0,0,0,300.999,0,0,0,92.999,0,0,0,0,136.999,0,0,262.999,0,0,0,0,0,0,0,0,119.999,0,0,327.999,0,0,97.999,0,0,711.999,89.999,0,321.999,0,0,0,0,0,291.999,0,0,0
No Match,None,unmatched,,,2161,3.321,16.775,129.63,207.9373,,,,215.999,0,0,246.999,0,0,158.999,0,0,202.999,0,0,224.999,0,0,316.999,0,0,445.999,79.999,0,270.999,0,0,157.999,0,0,1084.999,183.999,83.999,61.999,0,0,777.999,0,0,0,0,0,135.999,0,0,174.999,0,0,0
No Match,None,unmatched,,,1796,4.379,17.02,131.36,210.9451,,,,0,0,0,0,0,0,0,0,0,1027.999,0,0,444.999,0,0,899.999,0,0,1488.999,226.999,0,250.999,0,0,0,0,0,148.999,0,0,629.999,0,0,786.999,0,0,190.999,0,0,215.999,0,0,188.999,0,0,0
No Match,None,unmatched,,,1169,4.559,17.286,133.41,211.0232,,,,0,0,0,134.999,0,0,184.999,0,0,294.999,0,0,154.999,0,0,6081.999,530.999,370.999,359.999,0,0,0,0,0,141.999,0,0,0,0,0,306.999,0,0,171.999,0,0,1616.999,321.999,95.999,144.999,0,0,0,0,0,306.999
No Match,None,unmatched,,,2604,4.38,17.035,131.42,212.9421,,,,0,0,0,0,0,0,0,0,0,682.999,0,0,281.999,0,0,555.999,0,0,969.999,173.999,0,182.999,0,0,0,0,0,0,0,0,352.999,0,0,0,0,0,112.999,0,0,148.999,0,0,105.999,0,0,0
No Match,None,unmatched,,,4373,4.919,16.89,130.35,213.0847,,,,154.999,0,0,0,0,0,125.999,0,0,321.999,0,0,0,0,0,0,0,0,144.999,0,0,95.999,0,0,138.999,0,0,130.999,0,0,0,0,0,0,0,0,147.999,0,0,0,0,0,0,0,0,0
No Match,None,unmatched,,,3253,13.0405,17.4895,134.85,216.03755,,,,0,0,0,0,0,58.33344444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.3334444,0,0,0,0,113.3334444,101.3334444,0,39.33344444,0,168.3334444,0,0,0,0,0,0,0,0,0,0,48.33344444,0
No Match,None,unmatched,,,3104,3.709,17.189,132.53,216.9636,,,,125.999,0,0,251.999,0,0,163.999,0,0,0,0,0,368.999,0,0,78.999,0,0,265.999,0,0,299.999,0,0,202.999,0,0,464.999,0,0,0,0,0,343.999,0,0,0,0,0,0,0,0,0,0,0,0
No Match,None,unmatched,,,2103,6.351,16.694,128.59,220.8992,,,,260.999,0,0,257.999,0,0,337.999,0,0,760.999,130.999,0,328.999,0,0,397.999,0,0,0,0,0,377.999,0,0,340.999,0,0,381.999,102.999,0,278.999,0,0,500.999,0,0,284.999,0,0,263.999,0,0,0,0,0,0
No Match,None,unmatched,,,528,5.925,17.052,131.28,220.9391,,,,841.999,0,0,1422.999,167.999,0,1783.999,205.999,0,2555.999,367.999,0,1330.999,218.999,0,1397.999,126.999,0,1653.999,293.999,106.999,1969.999,294.999,201.999,2302.999,327.999,0,2921.999,401.999,238.999,1218.999,0,0,2648.999,0,0,1860.999,234.999,71.999,1517.999,195.999,0,525.999,0,0,931.999
No Match,None,unmatched,,,839,6.843,17.054,131.33,221.9536,,,,474.7515607,0,0,70.75156074,0,0,330.7515607,0,0,1067.751561,0,0,873.7515607,0,0,251.7515607,0,0,2380.751561,0,0,367.7515607,0,0,1277.751561,0,0,1827.751561,0,0,488.7515607,0,0,1668.751561,0,0,501.7515607,0,0,124.7515607,0,0,2056.751561,0,0,0
No Match,None,unmatched,,,1633,6.351,16.698,128.53,222.8972,,,,357.999,0,0,337.999,0,0,454.999,0,0,914.999,0,0,483.999,0,0,620.999,0,0,437.999,100.999,0,638.999,0,0,512.999,0,0,684.999,0,0,409.999,0,0,631.999,67.999,0,328.999,0,0,418.999,0,0,0,0,0,0
No Match,None,unmatched,,,1983,6.844,17.058,131.38,223.9518,,,,0,0,0,91.81593985,0,0,343.8159398,0,0,1100.81594,0,0,1047.81594,0,0,469.8159398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.8159398,0,0,0,0,0,0,0,0,211.8159398,0,0,0,0,0,0
No Match,None,unmatched,,,4270,6.347,16.702,128.5,224.8942,,,,0,0,0,0,0,0,161.999,0,0,239.999,0,0,106.999,0,0,127.999,0,0,0,0,0,121.999,0,0,126.999,0,0,153.999,0,0,0,0,0,155.999,0,0,136.999,0,0,0,0,0,0,0,0,0
No Match,None,unmatched,,,4058,5.913,17.081,131.38,224.9335,,,,0,0,0,157.999,0,0,0,0,0,0,0,0,102.999,0,0,0,0,0,0,0,0,0,0,0,234.999,0,0,318.999,0,0,127.999,0,0,261.999,0,0,170.999,0,0,135.999,0,0,0,0,0,0
No Match,None,unmatched,,,2933,5.474,17.019,130.92,225.0683,,,,442.999,0,0,0,0,173.999,0,0,140.999,0,312.999,0,0,0,0,0,0,79.999,225.999,0,0,0,0,316.999,216.999,0,0,0,0,0,0,111.999,0,0,209.999,159.999,0,0,332.999,0,162.999,0,0,0,0,0
No Match,None,unmatched,,,3806,6.352,17.013,130.82,225.068,,,,0,0,0,0,0,0,94.999,0,0,0,0,0,108.999,0,0,159.999,0,0,262.999,0,0,137.999,0,0,123.999,0,0,0,99.999,0,0,0,0,123.999,0,0,165.999,0,0,121.999,147.999,66.999,123.999,0,0,0
No Match,None,unmatched,,,3824,5.266,17.245,132.42,232.076,,,,0,0,0,0,0,0,200.999,0,0,253.999,0,0,0,0,0,0,0,0,277.999,0,0,170.999,0,0,0,0,0,0,0,0,113.999,0,0,0,0,0,0,0,0,309.999,0,0,395.999,0,0,0
No Match,None,unmatched,,,3757,14.247,17.803,136.68,232.9562,,,,0,0,0,0,0,0,0,0,0,0,387.999,0,0,161.999,97.999,0,0,0,0,0,84.999,0,0,89.999,0,0,0,0,0,90.999,0,0,0,0,0,0,0,93.999,252.999,0,278.999,0,0,242.999,0,0
No Match,None,unmatched,,,3272,5.6,17.548,134.51,239.0845,,,,0,0,0,0,282.999,0,0,257.999,0,0,0,0,0,0,0,0,0,0,0,0,0,344.999,0,0,0,0,0,262.999,230.999,201.999,0,123.999,0,0,0,0,370.999,0,0,0,0,0,0,247.999,0,0
No Match,None,unmatched,,,3657,6.478,17.562,134.605,239.0843,,,,0,0,0,0,0,0,0,0,0,283.999,0,0,0,103.999,0,0,0,0,0,148.999,0,0,0,0,0,408.999,0,180.999,0,0,69.999,0,0,268.999,388.999,0,218.999,0,0,389.999,0,0,198.999,0,0,0
No Match,None,unmatched,,,3847,12.4905,17.432,133.505,244.0263,,,,168.999,0,0,0,0,0,0,15.77788889,329.999,0,0,0,0,0,0,0,0,218.999,0,48.77788889,0,0,0,25.77788889,0,201.999,0,0,46.77788889,218.999,0,0,0,0,333.999,0,0,37.77788889,0,0,0,0,0,17.77788889,221.999,0
No Match,None,unmatched,,,36,6.395,17.859,136.74,244.9074,,,,21424.67321,4288.673206,1497.673206,19410.67321,1920.673206,222.6732065,17695.67321,1863.673206,431.6732065,126368.6732,21931.67321,0,26589.67321,4429.673206,1226.673206,90448.67321,8534.673206,5523.673206,49814.67321,11375.67321,3077.673206,40361.67321,7150.673206,4282.673206,29551.67321,4453.673206,771.6732065,29187.67321,5081.673206,2115.673206,26158.67321,2260.673206,230.6732065,54390.67321,5183.673206,1983.673206,45887.67321,7019.673206,1505.673206,33977.67321,4633.673206,1376.673206,10294.67321,971.6732065,241.6732065,9899.673206
No Match,None,unmatched,,,1172,6.408,17.865,136.69,246.9039,,,,0,0,1339.565487,0,0,291.5654868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.5654868,0,0,0,0,0,391.5654868,0,0,0,0,0,1715.565487,0,0,1539.565487,0,986.5654868,220.5654868,0
No Match,None,unmatched,,,4647,9.125,17.8205,136.32,248.07905,,,,0,0,0,0,61.999,61.999,0,0,0,0,0,0,0,0,0,0,125.999,160.999,0,0,85.999,0,84.999,0,0,86.999,0,0,135.999,115.999,0,57.999,0,0,69.999,87.999,0,0,0,0,0,95.999,0,111.999,0,0
No Match,None,unmatched,,,4264,9.955,18.194,139.18,248.079,,,,0,111.999,0,0,0,0,0,109.999,0,0,0,0,0,0,0,0,0,112.999,0,123.999,0,0,0,0,0,115.999,0,0,126.999,123.999,0,0,0,0,117.999,0,0,0,0,0,136.999,112.999,0,143.999,0,0
No Match,None,unmatched,,,3344,2.881,17.488,133.66,254.071,,,,250.999,0,0,0,0,0,0,0,0,211.999,0,0,195.999,0,0,0,0,0,218.999,0,0,87.999,0,0,343.999,0,0,377.999,0,0,80.999,0,0,0,0,0,158.999,0,0,295.999,0,0,0,0,0,0
No Match,None,unmatched,,,3571,3.146,17.757,135.59,259.0092,,,,265.999,0,0,0,0,0,191.999,140.999,116.999,0,279.999,0,0,0,0,0,0,0,0,0,0,0,180.999,0,186.999,0,0,0,0,0,324.999,0,0,0,122.999,0,60.999,0,0,0,0,0,0,0,0,106.999
No Match,None,unmatched,,,2950,13.27733333,18.962,144.67,260.0426667,,,,0,0,0,0,0,27.77788889,0,0,0,0,0,0,0,36.77788889,0,0,83.77788889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.77788889,0,0,0,0,0,0,0,0,0,0,129.7778889,64.77788889,0,444.7778889
No Match,None,unmatched,,,3008,12.0565,18.9475,144.61,261.03945,,,,331.999,0,0,158.999,0,0,0,0,395.999,347.999,0,0,0,0,0,0,0,0,0,0,419.999,0,612.999,0,0,0,0,0,519.999,399.999,0,0,0,0,0,0,495.999,0,318.999,0,0,0,509.999,627.999,0,0
No Match,None,unmatched,,,1470,12.86325,18.95725,144.6875,261.03945,,,,331.999,0,0,158.999,0,0,0,0,395.999,347.999,0,0,0,0,0,0,0,0,0,0,419.999,0,612.999,0,0,0,0,0,519.999,399.999,0,0,0,0,0,0,495.999,0,318.999,0,0,0,509.999,627.999,0,0
No Match,None,unmatched,,,3913,5.324,18.298,139.52,267.056,,,,91.999,0,0,105.999,0,0,0,0,0,88.999,0,0,0,0,0,0,0,0,254.999,0,0,233.999,0,0,278.999,0,0,265.999,0,0,0,0,0,149.999,0,0,0,0,0,166.999,0,0,0,0,0,0
