Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP,Detection Frequency (%),Average Abundance
Heptadecafluoro-N-methylisooctanesulphonamide or N-Methylperfluorooctanesulfonamide,Suspects Library,tentative,5432.0,12.6,23.35,173.8,511.9606,-2.44,N/A,N/A,0.0,0.0,0.0,0.0,131.999,0.0,0.0,0.0,0.0,0.0,119.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.999,0.0,0.0,196.999,0.0,549.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.999,0.0,0.0,118.999,0.0,0.0,0.0,0.0,15.6,35.0
Perfluorooctaneamide betaine,Suspects Library,tentative,15059.0,14.4,27.56,204.8,555.0717,-9.61,N/A,N/A,0.0,194.999,0.0,0.0,263.999,0.0,0.0,205.999,251.999,0.0,245.999,0.0,0.0,229.999,0.0,0.0,162.999,112.999,0.0,224.999,0.0,0.0,375.999,0.0,0.0,598.999,0.0,0.0,205.999,158.999,0.0,184.999,0.0,0.0,0.0,193.999,0.0,464.999,363.999,0.0,350.999,138.999,0.0,163.999,214.999,46.7,116.0
"3-methyl-4-(2,2,3,3,4,4,5,5,5-nonafluoropentyl)cyclopentane-1,1-dicarboxylic Acid",Suspects Library,tentative,5200.0,11.5,23.95,179.6,403.0638,10.09,N/A,N/A,0.0,0.0,102.999,0.0,127.999,0.0,0.0,108.999,208.999,0.0,147.999,0.0,0.0,0.0,102.999,0.0,0.0,0.0,0.0,120.999,0.0,0.0,0.0,0.0,0.0,115.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.999,0.0,140.999,131.999,0.0,0.0,0.0,0.0,105.999,0.0,26.7,34.0
"5-[1,1,2-Trifluoro-2-(heptafluoropropoxy)ethoxy]benzene-1,3-dicarboxylic acid",Suspects Library,tentative,238.0,1.5,24.51,183.2,446.9932,0.02,N/A,N/A,19760.999,1022.999,418.999,3132.999,0.0,0.0,1966.999,0.0,0.0,5663.999,0.0,0.0,1476.999,0.0,0.0,5356.999,0.0,0.0,11064.999,237.999,0.0,2326.999,0.0,0.0,13752.999,263.999,0.0,333.999,0.0,0.0,9575.999,0.0,0.0,12500.999,0.0,0.0,5350.999,0.0,0.0,919.999,0.0,0.0,8436.999,195.999,105.999,46.7,2259.0
"4-[(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)oxy]phenol or 4-[1,1,2-Trifluoro-2-(heptafluoropropoxy)ethoxy]butan-1-ol",Suspects Library,tentative,4684.0,13.3,22.82,171.8,355.0413,4.38 or 7.6,N/A,N/A,0.0,0.0,0.0,0.0,168.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.999,0.0,0.0,184.999,0.0,0.0,244.999,0.0,0.0,134.999,131.999,0.0,0.0,0.0,0.0,138.999,140.999,0.0,262.999,208.999,0.0,159.999,104.999,0.0,0.0,0.0,26.7,46.0
"1-Ethoxy-3,3,4,4,5,5,6,6,6-nonafluorohexan-2-ol or 2-[(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)oxy]ethan-1-ol or 4-(2,2,3,3,4,4,5,5-Octafluoropentyl)phenol",Suspects Library,tentative,10697.0,12.5,20.48,155.3,307.0397,3.71 or 7.43,N/A,N/A,272.999,0.0,206.999,0.0,205.999,0.0,195.999,0.0,183.999,209.999,229.999,0.0,226.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.999,0.0,0.0,0.0,0.0,153.999,133.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,50.0
No Match,None,unmatched,9046.0,1.8,13.57,106.2,172.8291,,,,231.999,0.0,0.0,191.999,0.0,0.0,131.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.999,0.0,0.0,185.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.999,0.0,0.0,231.999,0.0,0.0,126.999,0.0,0.0,136.999,0.0,0.0,102.999,0.0,0.0,0.0,0.0,0.0,22.2,35.0
No Match,None,unmatched,12797.0,1.4,15.13,120.4,137.0229,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.999,1046.999,613.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.999,406.999,240.999,15.6,124.0
No Match,None,unmatched,601.0,2.0,15.39,121.5,153.0183,,,,994.999,204.999,105.999,2984.999,556.999,198.999,0.0,0.0,0.0,1249.999,257.999,0.0,885.999,168.999,0.0,1817.999,138.999,0.0,4123.999,915.999,205.999,756.999,167.999,0.0,734.999,0.0,0.0,141.999,0.0,0.0,7967.999,1763.999,537.999,3909.999,519.999,0.0,722.999,0.0,0.0,885.999,124.999,0.0,988.999,186.999,0.0,64.4,745.0
No Match,None,unmatched,3366.0,1.9,15.9,126.2,142.0657,,,,882.999,180.999,0.0,510.999,176.999,0.0,1182.999,354.999,182.999,892.999,678.999,0.0,910.999,349.999,139.999,1238.999,776.999,816.999,1228.999,413.999,255.999,830.999,0.0,0.0,728.999,0.0,0.0,2143.999,445.999,0.0,386.999,694.999,494.999,856.999,853.999,779.999,1095.999,277.999,0.0,925.999,692.999,629.999,689.999,0.0,253.999,77.8,523.0
No Match,None,unmatched,8973.0,1.7,15.93,125.8,151.0393,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.999,0.0,0.0,602.999,0.0,0.0,0.0,0.0,0.0,934.999,293.999,104.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.999,0.0,0.0,463.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,67.0
No Match,None,unmatched,1944.0,2.6,16.38,129.4,151.0394,,,,611.999,0.0,0.0,706.999,0.0,0.0,0.0,0.0,0.0,510.999,0.0,0.0,331.999,0.0,0.0,948.999,0.0,0.0,632.999,203.999,0.0,105.999,0.0,0.0,2371.999,717.999,137.999,123.999,0.0,0.0,409.999,0.0,0.0,359.999,0.0,0.0,0.0,0.0,0.0,106.999,0.0,0.0,0.0,0.0,0.0,33.3,181.0
No Match,None,unmatched,2967.0,1.6,18.48,143.0,203.0815,,,,211.999,0.0,0.0,212.999,0.0,0.0,420.999,0.0,0.0,275.999,0.0,0.0,301.999,0.0,0.0,495.999,0.0,0.0,387.999,0.0,0.0,313.999,0.0,0.0,0.0,0.0,0.0,690.999,0.0,0.0,166.999,0.0,0.0,271.999,0.0,0.0,391.999,0.0,0.0,286.999,0.0,0.0,180.999,0.0,0.0,31.1,101.0
No Match,None,unmatched,14502.0,1.3,14.75,114.5,197.8064,,,,481.999,0.0,0.0,0.0,0.0,0.0,105.999,0.0,0.0,136.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.999,0.0,0.0,0.0,0.0,0.0,100.999,0.0,0.0,272.999,0.0,0.0,284.999,0.0,0.0,107.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,35.0
No Match,None,unmatched,3872.0,2.4,14.74,114.4,197.8062,,,,857.999,0.0,0.0,682.999,0.0,0.0,187.999,0.0,0.0,371.999,0.0,0.0,0.0,0.0,0.0,260.999,0.0,0.0,136.999,0.0,0.0,0.0,0.0,0.0,157.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.999,0.0,0.0,17.8,61.0
No Match,None,unmatched,2200.0,3.3,16.76,129.6,205.9404,,,,310.999,0.0,0.0,364.999,0.0,0.0,278.999,0.0,0.0,404.999,0.0,0.0,227.999,0.0,0.0,400.999,0.0,0.0,587.999,145.999,0.0,379.999,0.0,0.0,237.999,0.0,0.0,1666.999,218.999,131.999,0.0,0.0,0.0,1192.999,0.0,0.0,0.0,0.0,0.0,271.999,0.0,0.0,289.999,0.0,0.0,35.6,155.0
No Match,None,unmatched,11455.0,14.1,18.38,142.0,206.9963,,,,0.0,208.999,0.0,0.0,552.999,0.0,0.0,369.999,106.999,0.0,579.999,0.0,0.0,234.999,0.0,0.0,385.999,0.0,0.0,554.999,0.0,0.0,570.999,0.0,0.0,273.999,0.0,0.0,422.999,129.999,0.0,289.999,0.0,0.0,609.999,0.0,0.0,599.999,144.999,0.0,455.999,0.0,0.0,443.999,0.0,40.0,152.0
No Match,None,unmatched,2871.0,3.3,16.77,129.6,207.9373,,,,215.999,0.0,0.0,246.999,0.0,0.0,158.999,0.0,0.0,202.999,0.0,0.0,224.999,0.0,0.0,316.999,0.0,0.0,445.999,0.0,0.0,270.999,0.0,0.0,157.999,0.0,0.0,1084.999,183.999,0.0,0.0,0.0,0.0,777.999,0.0,0.0,0.0,0.0,0.0,135.999,0.0,0.0,174.999,0.0,0.0,31.1,101.0
No Match,None,unmatched,2356.0,4.4,17.02,131.4,210.9451,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.999,0.0,0.0,444.999,0.0,0.0,899.999,0.0,0.0,1488.999,226.999,0.0,250.999,0.0,0.0,0.0,0.0,0.0,148.999,0.0,0.0,629.999,0.0,0.0,786.999,0.0,0.0,190.999,0.0,0.0,215.999,0.0,0.0,188.999,0.0,0.0,26.7,142.0
No Match,None,unmatched,2776.0,5.6,16.8,130.0,204.9446,,,,0.0,0.0,0.0,346.999,0.0,0.0,989.999,0.0,0.0,0.0,0.0,0.0,223.999,0.0,0.0,366.999,0.0,0.0,150.999,0.0,0.0,0.0,0.0,0.0,135.999,0.0,0.0,427.999,0.0,0.0,0.0,0.0,0.0,1131.999,0.0,0.0,420.999,0.0,0.0,132.999,0.0,0.0,496.999,0.0,0.0,24.4,105.0
No Match,None,unmatched,1566.0,4.5,17.28,133.4,211.0232,,,,0.0,0.0,0.0,134.999,0.0,0.0,184.999,0.0,0.0,294.999,0.0,0.0,154.999,0.0,0.0,6081.999,530.999,370.999,359.999,0.0,0.0,0.0,0.0,0.0,141.999,0.0,0.0,0.0,0.0,0.0,306.999,0.0,0.0,171.999,0.0,0.0,1616.999,321.999,0.0,144.999,0.0,0.0,0.0,0.0,0.0,31.1,236.0
