ID,RT,DT,CCS,m/z,SD,Abundance,37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
479,13.286,20.838,157.81,309.039,0.0004,598,516,458,1184,0.001,436,223,399,463,441,881,621,1153,1632,581,579,0.001,0.001,0.001,0.001
480,15.308,30.176,225.17,465.3555,0.0006,597,555,641,399,0.001,658,429,0.001,735,735,425,877,753,626,448,703,1570,0.001,0.001,0.001
481,15.316,38.569,285.38,651.4485,0.0009,597,303,348,519,0.001,453,495,323,398,476,465,473,590,852,335,413,3106,0.001,0.001,0.001
482,12.521,30.181,224.45,523.3093,0.001,596,361,533,0.001,0.001,446,611,778,1150,1259,513,490,1411,396,495,642,444,0.001,0.001,0.001
483,13.785,25.027,188.96,329.2476,0.0004,595,250,512,1111,0.001,1003,1179,337,468,258,362,170,323,0.001,220,565,2765,0.001,0.001,0.001
484,15.311,31.272,232.4,541.3724,0.0008,594,366,436,399,0.001,579,462,400,766,569,618,860,770,596,456,741,1493,0.001,0.001,0.001
485,14.933,29.464,219.61,483.349,0.0008,594,489,550,460,0.001,668,637,595,615,815,596,860,749,632,539,683,622,0.001,0.001,0.001
486,9.923,15.772,124.45,152.9835,0.0003,594,635,497,1013,0.001,656,421,505,614,619,753,585,850,1035,733,589,0.001,149,0.001,86
487,12.715,19.097,145.04,289.0297,0.0003,593,0.001,782,745,0.001,692,0.001,787,836,880,794,804,779,827,803,764,0.001,316,0.001,0.001
488,14.676,23.207,174.25,387.0329,0.0004,588,428,527,1087,0.001,440,500,526,409,428,742,488,820,1671,489,845,0.001,0.001,0.001,0.001
489,9.422,18.463,144.53,168.9883,0.0002,587,689,537,687,0.001,623,960,445,601,848,1134,583,437,436,532,595,279,492,449,435
490,15.312,30.47,226.77,511.3798,0.0007,586,472,456,417,0.001,522,766,714,689,867,701,655,672,590,548,738,575,0.001,0.001,0.001
491,13.227,30.654,227.67,554.3152,0.001,585,483,516,423,0.001,618,744,752,732,740,789,606,675,613,680,701,290,92,0.001,0.001
492,14.389,27.841,208.1,439.308,0.0007,582,487,677,783,0.001,698,517,286,622,511,612,753,984,823,350,635,571,0.001,0.001,0.001
493,12.828,25.678,194.45,307.2999,0.0005,581,612,483,459,0.001,567,581,654,695,791,753,687,938,552,669,862,0.001,0.001,0.001,0.001
494,12.6,18.964,144.57,262.0362,0.0008,580,0.001,1552,0.001,0.001,0.001,1902,0.001,1716,0.001,0.001,0.001,0.001,0.001,0.001,1739,2373,628,0.001,0.001
495,14.028,30.118,223.96,527.3554,0.001,580,482,493,653,0.001,584,593,643,641,731,678,627,591,792,565,698,509,316,56,121
496,15.006,23.349,177.41,283.2637,0.0006,579,334,196,181,0.001,419,445,400,459,445,544,405,200,332,308,514,4089,0.001,289,0.001
497,15.31,35.972,266.1,661.4392,0.0012,578,595,387,1060,0.001,649,770,0.001,626,428,419,481,1221,1059,607,262,690,0.001,0.001,0.001
498,5.819,27.799,207.34,478.2321,0.0006,577,294,334,356,0.001,436,832,505,1589,440,681,596,912,751,758,744,0.001,0.001,0.001,0.001
499,11.817,25.198,189.98,341.2688,0.0005,576,523,449,484,0.001,505,625,520,696,575,897,471,782,392,646,759,885,0.001,0.001,0.001
500,5.423,26.544,198.52,434.2049,0.0007,573,310,378,386,0.001,378,876,503,1618,559,638,592,795,709,744,684,0.001,149,63,0.001
501,11.915,23.482,178.05,297.2429,0.0005,573,0.001,1744,428,0.001,366,472,0.001,0.001,0.001,372,0.001,1924,391,0.001,0.001,3467,0.001,128,0.001
502,13.225,25.481,191.86,353.2866,0.0006,568,495,516,393,0.001,567,651,661,660,765,748,595,770,542,700,823,203,0.001,0.001,0.001
503,10.323,32.786,242.64,645.3357,0.0027,567,392,568,656,0.001,0.001,663,0.001,1049,347,760,744,1106,977,850,0.001,957,0.001,0.001,117
504,6.169,29.035,216.02,523.2557,0.0005,566,318,363,375,0.001,328,844,436,1736,402,484,597,930,864,714,663,0.001,164,0.001,0.001
505,15.354,29.578,221.56,409.3109,0.0008,565,4418,161,599,0.001,237,281,0.001,193,502,184,217,910,735,337,138,121,0.001,0.001,0.001
506,12.462,30.169,224.33,529.3047,0.001,563,394,969,443,0.001,401,954,0.001,554,544,703,457,905,446,891,882,469,0.001,140,212
507,12.643,17.5,134.77,217.0343,0.0003,562,0.001,468,0.001,0.001,0.001,1493,1456,1542,0.001,0.001,0.001,1076,606,318,1266,769,0.001,0.001,0.001
508,9.859,23.736,179.23,311.2223,0.0002,562,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3224,5765,0.001,0.001,0.001
509,13.848,17.51,134.69,219.0273,0.0005,559,0.001,0.001,0.001,0.001,0.001,1311,601,2155,0.001,0.001,0.001,0.001,0.001,0.001,961,3918,0.001,0.001,0.001
