ID,RT,DT,CCS,m/z,SD,Abundance,37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
1,14.028,25.935,195.22,355.3229,0.0004,246420,233076,219190,282730,0.001,255787,272673,281730,241242,288466,282949,261098,250575,331434,215431,301981,224350,64215,16527,29738
2,13.924,30.655,228.6,473.2842,0.0006,183728,185930,144889,200557,0.001,215399,259373,150857,240228,158588,187742,151096,262934,207276,200245,153545,220983,29450,51343,29214
3,14.463,23.36,177.48,283.2651,0.0004,89923,63222,77060,89702,0.001,82528,102371,63610,88281,90605,83020,63650,90089,111789,53261,99675,279898,11163,4741,4941
4,13.644,22.18,169.36,255.2333,0.0003,86456,74365,76182,84516,0.001,80555,86964,63945,79313,68665,76635,60092,76426,87507,58963,87510,321662,28643,23192,27403
5,13.899,23.166,176.07,281.2491,0.0003,80416,45182,108267,97527,0.001,74326,113257,54908,79485,26021,47836,45759,59455,85265,23839,105755,319778,2467,1852,1817
6,12.854,26.418,198.57,369.3013,0.0006,79287,77067,65472,54929,0.001,76785,70458,85513,87539,95584,96089,81352,115343,66238,83199,114882,98144,798,363,710
7,15.47,25.651,193.42,339.3278,0.0004,78740,63166,74040,76439,0.001,82554,92843,71897,87015,94125,85797,91823,93139,107294,60415,100881,78415,2382,640,830
8,15.307,27.193,204.13,383.354,0.0005,75748,56243,66253,62485,0.001,75755,94465,67507,93608,100162,80243,86181,92516,100408,60029,99898,76211,724,395,0.001
9,13.352,23.124,175.82,279.2333,0.0004,62009,33442,51890,66008,0.001,55405,87939,43834,69339,28274,40033,42654,43667,56485,21080,98841,253246,0.001,0.001,0.001
10,14.664,26.903,201.96,383.3537,0.0005,55648,46020,33612,72307,0.001,54071,64259,64246,47430,67360,65022,53497,43877,127328,29390,78745,43210,7074,680,1290
11,14.931,26.093,196.42,355.3225,0.0005,44802,30839,37815,36716,0.001,43789,57332,39403,52366,58283,48885,48719,54941,54462,36225,54459,62605,398,0.001,0.001
12,13.222,24.792,187.21,327.2904,0.0003,41826,36135,37451,31791,0.001,39066,45254,48319,43690,52890,53604,45027,53552,40035,50388,56306,35714,7418,4966,7215
13,15.733,28.203,211.21,411.3851,0.0007,40061,32058,35774,40270,0.001,44227,47641,32542,50886,52662,45172,48582,52808,68546,29708,57435,2661,235,164,144
14,12.614,25.735,194.37,325.1849,0.0007,39060,40931,49306,36457,0.001,95,66157,36819,47501,41859,47100,46731,53133,41036,45998,41615,30228,47648,1738,57430
15,15.943,26.659,200.47,367.3584,0.0006,36541,32752,33437,35778,0.001,36952,45916,33012,44124,44057,45437,48458,48916,56247,28229,51335,0.001,1200,802,840
16,13.408,24.1,182.57,303.2331,0.0005,33310,23131,24598,49759,0.001,49937,43009,19599,34527,376,27900,9784,17468,18285,13491,35306,165783,0.001,0.001,0.001
17,13.689,27.539,206.48,397.3333,0.0008,30588,25597,20480,24967,0.001,27909,26361,36930,30605,47954,36372,31277,34800,41899,26347,44177,33732,292,97,170
18,12.501,24.388,184.22,325.1846,0.0004,29751,24681,31208,26758,0.001,28582,53445,26398,34405,29997,33524,32596,34862,30924,34049,29401,25189,0.001,0.001,10783
19,12.463,35.188,260.2,674.1865,0.0012,27232,30653,28112,25182,0.001,27724,17937,29399,30692,25699,32410,28334,40304,32606,27814,34875,23973,0.001,0.001,0.001
20,9.941,21.279,160.68,329.0474,0.0003,27068,23102,19272,36013,0.001,23872,17230,21686,23254,25791,30480,23824,34378,33957,29544,23950,66731,5383,2100,3089
21,14.027,27.716,207.77,399.3303,0.0006,26848,22053,20749,25574,0.001,23256,24417,25636,22278,26843,25333,24635,23015,29896,20828,27658,87391,5631,1203,2079
22,13.521,29.174,217.25,500.28,0.0007,26723,6227,9181,24233,0.001,17637,52002,24868,33069,9657,78914,15461,54818,21443,38041,36153,5856,0.001,0.001,0.001
23,9.421,18.554,139.53,368.9762,0.0005,25442,28007,25192,26954,0.001,24896,41759,18420,26270,35562,52227,28054,21679,18385,22298,24455,12916,19544,18506,16212
24,12.527,27.604,206.58,421.2278,0.0005,22138,20336,19969,15872,0.001,20805,34081,14095,23504,22223,27456,17250,23552,18627,26251,43780,26410,1850,1230,4026
25,15.515,27.712,207.79,397.37,0.0005,20487,15098,17600,17665,0.001,21527,27694,16971,24524,26469,22141,24031,24681,29049,15086,27879,17377,0.001,0.001,0.001
26,12.464,34.655,256.48,646.1909,0.001,20082,23936,21180,18451,0.001,20217,13601,20892,21876,19424,24661,20671,30900,23670,19692,25596,16552,0.001,0.001,0.001
27,13.105,25.756,194.19,339.2007,0.0004,19510,0.001,23272,18184,0.001,19528,32843,17491,26036,21263,24077,22783,28007,22678,21001,20940,14057,0.001,0.001,0.001
28,15.127,26.651,200.34,369.3376,0.0004,18402,12662,15153,14269,0.001,18296,24097,15350,23483,25465,20026,20684,23355,23309,14166,23934,20184,0.001,0.001,0.001
29,7.504,26.142,196.56,367.1588,0.0007,16769,8964,14474,10646,0.001,26573,5614,25921,40027,18301,48367,2032,21786,8172,16819,14919,5687,0.001,0.001,0.001
30,11.471,24.482,185.6,297.1529,0.0006,16056,18591,21123,15366,0.001,0.001,39540,0.001,26480,21055,0.001,21988,24844,18696,26571,21716,923,32651,0.001,0.001
31,13.546,30.201,224.29,557.2982,0.0013,15767,8419,20024,20205,0.001,12615,14227,19603,12331,8023,18293,22497,26347,24098,20549,20126,4917,0.001,0.001,0.001
32,13.75,29.337,218.77,480.3114,0.0006,13472,14375,13916,11672,0.001,14179,13542,15221,17369,14455,17655,10127,18082,24188,9753,21021,0.001,0.001,0.001,0.001
33,13.537,28.761,214.01,513.2709,0.001,13402,0.001,18592,17408,0.001,11663,11926,17756,11065,0.001,16095,21052,25162,22227,18040,18699,4741,0.001,0.001,0.001
34,15.018,24.511,185.47,311.2953,0.0004,13163,10576,12271,13956,0.001,14798,16385,12313,13820,16153,15391,15834,16077,20330,10416,18142,4141,802,356,358
35,12.857,27.373,205.35,391.2836,0.0009,12354,12754,12055,9820,0.001,13319,11183,14225,13538,15626,14338,14005,17218,12289,13597,16391,7300,216,107,0.001
36,13.557,31.58,234.1,601.3259,0.0014,12326,6885,15390,15740,0.001,9833,10631,14659,10344,6034,13836,16668,22041,19767,15893,15824,3675,0.001,0.001,0.001
37,13.02,26.353,198.66,339.1999,0.0009,11857,0.001,26213,0.001,0.001,1385,37279,20267,1763,566,26795,1630,31508,24487,1478,0.001,16335,0.001,26491,0.001
38,2.433,17.622,137.02,187.0069,0.0004,11747,16126,9391,4670,0.001,3450,6156,6594,3051,10380,3386,3169,4606,4490,5113,11511,95866,0.001,0.001,0.001
39,12.437,24.02,182.27,291.2,0.0004,11491,11645,12339,13639,0.001,12370,12340,13832,14109,14622,12771,13812,11360,13798,14338,12381,495,2238,1932,1949
40,15.725,26.171,197.05,353.343,0.0004,10332,9195,9797,11181,0.001,10725,10417,7998,12366,11546,11636,12957,14091,15489,7269,13186,7462,0.001,0.001,0.001
41,4.866,16.98,253.87,224.0609,0.0005,10157,4287,10565,1723,0.001,6463,0.001,31290,10336,6970,43449,447,2334,2652,20207,21048,746,0.001,0.001,0.001
42,14.964,32.109,239.56,465.3054,0.0007,9933,6452,10206,3567,0.001,10463,14072,6858,21362,11586,12012,12738,17362,5422,9822,11873,5127,0.001,0.001,0.001
43,0.244,20.33,154.31,291.0832,0.0004,9751,12120,4486,8800,0.001,6226,6727,8566,15404,5931,13303,3180,8514,4847,5204,8073,44628,0.001,0.001,0.001
44,12.208,25.955,193.45,485.0694,0.0006,9070,7519,4374,26045,0.001,8204,3015,4410,5951,7678,7124,6044,12524,20511,7423,4145,20160,4833,721,1602
45,12.69,25.847,194.01,385.2399,0.0005,8463,7966,6804,11047,0.001,9141,11588,7289,10136,6669,11469,6517,9698,9222,7956,10730,9175,1195,619,1055
46,13.567,32.94,243.8,645.3526,0.0018,8366,3698,9915,10969,0.001,6132,7958,10440,7342,3972,9798,11658,14649,13383,11122,10514,2301,0.001,0.001,0.001
47,15.647,36.156,267.09,716.5258,0.0015,8346,2608,1403,3112,0.001,12125,37746,15869,3789,3543,19646,5389,4692,626,13767,9223,0.001,216,0.001,0.001
48,15.236,36.475,269.41,722.5157,0.0015,7856,2643,1886,3494,0.001,10833,33015,11557,8674,11085,17735,2599,3564,759,9408,8445,0.001,1161,0.001,0.001
49,15.309,27.769,208.02,409.3509,0.0006,7553,6530,8175,6038,0.001,7846,8469,8247,9093,11573,8136,9167,10136,9148,7014,9972,1300,0.001,0.001,0.001
50,16.195,27.13,203.71,381.3745,0.0005,7397,7267,7447,8687,0.001,7917,7644,6316,7643,7864,8421,8671,10116,13779,5538,10483,561,0.001,0.001,0.001
51,14.368,26.425,198.63,369.3374,0.0006,7391,5692,3719,8573,0.001,6566,8537,9093,5949,10033,8862,7187,5540,18296,4214,11339,4652,943,0.001,197
52,14.932,26.722,200.65,381.3187,0.0004,7330,6402,7722,6897,0.001,8631,7991,6884,8879,9516,7857,9838,9595,9495,7192,9006,1381,0.001,0.001,0.001
53,14.422,24.903,188.06,327.2901,0.0007,7292,5825,6133,7521,0.001,8526,127,7969,8498,9803,9125,9158,8634,12935,6926,169,15329,0.001,0.001,0.001
54,13.513,28.469,212.29,476.2783,0.0009,7248,1577,2521,6720,0.001,3686,8516,6854,7022,3180,17886,8583,19932,6887,8619,12400,1585,0.001,0.001,0.001
55,16.15,34.853,257.83,671.468,0.0016,7066,1384,1038,3618,0.001,8390,37591,4225,27165,9581,4927,1645,665,0.001,3197,9627,0.001,0.001,0.001,0.001
56,15.306,29.935,222.95,497.3663,0.0007,6861,4328,6299,4774,0.001,7319,7798,5256,9071,8070,8182,9556,9373,6580,5760,9784,7623,0.001,0.001,0.001
57,16.223,29.158,217.99,439.4168,0.0005,6774,5655,5079,8786,0.001,7762,7336,4855,7344,7935,7766,7795,8296,15996,4029,9755,0.001,0.001,0.001,0.001
58,14.826,28.985,216.29,464.3157,0.0007,6733,3887,8698,2147,0.001,7467,7997,5235,12862,7620,8567,6787,14108,4251,6754,9064,2289,0.001,0.001,0.001
59,14.666,28.728,214.9,427.3608,0.0005,6572,5152,3861,8882,0.001,6309,4732,5293,5284,6258,6444,6283,5252,13423,2868,8493,16621,696,0.001,0.001
60,12.493,22.874,173.54,293.1785,0.0004,6570,8131,10465,8274,0.001,7285,6374,3535,5506,6453,6688,3567,8105,6901,6864,8064,8909,2223,3131,9282
61,14.932,28.893,215.54,469.3344,0.0005,6385,4854,5994,5251,0.001,7103,7988,5739,7433,7469,6637,8063,7739,7196,5928,7374,7386,0.001,0.001,0.001
62,13.981,29.531,220.24,473.2837,0.0007,6346,5547,3882,7737,0.001,6782,8158,4740,9150,6265,6337,4907,12403,7433,8031,4764,5396,0.001,353,0.001
63,13.386,19.557,150.46,223.0281,0.0003,6167,5763,4901,11515,0.001,5383,3925,5932,5674,3992,10660,6326,10209,10018,7808,6563,0.001,581,0.001,187
64,12.966,21.984,167.96,253.2172,0.0005,6045,1722,6520,3833,0.001,5350,15517,3419,3305,321,1756,0.001,3033,2127,0.001,7395,42417,0.001,0.001,0.001
65,14.028,29.022,216.31,483.35,0.0007,5821,5811,5860,6648,0.001,6198,6648,6558,6010,7095,6736,6665,5843,7662,5989,6665,2754,2236,321,576
66,11.225,23.51,178.2,295.2281,0.0002,5608,0.001,0.001,0.001,0.001,7876,3644,0.001,5068,0.001,0.001,0.001,0.001,0.001,0.001,9128,64016,0.001,0.001,0.001
67,14.028,27.716,207.79,398.3329,0.0006,5605,4467,3957,5274,0.001,4838,5109,5422,4691,5764,5196,4769,4881,6038,4008,5494,19777,1048,180,0.001
68,14.552,30.299,225.53,508.3415,0.0011,5523,5801,6000,4517,0.001,6091,6927,2906,8566,5892,6185,3973,10194,8574,2460,9619,655,0.001,0.001,0.001
69,12.535,24.106,182.13,325.1846,0.0003,5480,8012,0.001,10245,0.001,0.001,20546,7624,8988,8095,0.001,0.001,13018,0.001,11146,0.001,0.001,0.001,0.001,0.001
70,13.649,25.376,191.3,341.3064,0.0005,5456,4714,4394,4691,0.001,5010,5645,6743,5696,7864,6907,5942,5888,7218,5252,6960,4367,822,283,441
71,12.69,25.84,193.97,384.2426,0.0005,5434,5023,4200,6938,0.001,5800,7652,4504,6640,4324,7460,3906,6247,5866,5454,6819,6116,790,410,596
72,13.313,21.287,160.75,329.0469,0.0003,5365,4274,4226,9716,0.001,3664,1823,3157,3927,3541,6796,5323,8894,12972,4880,5095,7550,0.001,0.001,0.001
73,10.046,27.146,202.51,469.2478,0.0005,5145,3058,5038,5516,0.001,4181,4848,3562,8257,2298,5131,6300,10105,7224,7261,5412,4131,1104,671,663
74,13.454,29.678,221.02,504.311,0.0007,5136,4498,1680,4320,0.001,4414,5237,5168,7181,5730,10401,5976,9427,6826,4211,7105,0.001,0.001,0.001,0.001
75,16.453,38.716,285.35,810.5327,0.0019,5131,551,0.001,949,0.001,10053,29236,2904,6759,6310,8337,1865,1240,0.001,6721,7173,0.001,0.001,0.001,0.001
76,14.213,25.946,193.4,485.0692,0.0006,5072,2862,4290,8954,0.001,3199,3571,3793,3354,2528,5532,3419,5770,10653,3259,6829,13141,0.001,0.001,0.001
77,16.438,36.364,269.15,646.6166,0.001,5062,0.001,2519,4811,0.001,1859,0.001,25769,6427,8900,10158,0.001,8843,7137,0.001,4569,0.001,1985,1387,1109
78,14.388,27.838,208.05,441.3029,0.0005,5058,4236,5893,7088,0.001,6764,4293,2785,5073,4022,4836,6157,8021,7269,3588,5591,5319,0.001,0.001,0.001
79,14.55,29.171,217.48,480.3106,0.0008,5006,2660,4686,1112,0.001,4106,8108,4238,6912,6885,6796,5313,10515,2039,4896,8987,2847,0.001,0.001,0.001
80,15.251,25.086,189.48,325.3114,0.0004,4974,4059,4558,5196,0.001,5333,5124,4252,4969,5509,5191,5615,5816,7422,3658,5969,6905,216,122,0.001
81,9.943,25.7,192.29,425.2215,0.0005,4967,3009,4744,4678,0.001,3957,5015,3870,7748,2426,5332,5922,9053,6739,7016,5545,4422,1053,794,695
82,13.006,24.925,187.87,339.1997,0.0006,4798,0.001,6611,0.001,0.001,0.001,11091,0.001,7762,0.001,7825,6258,8226,6741,0.001,6090,16160,0.001,0.001,6675
83,8.619,26.023,195.69,369.1741,0.0007,4764,310,1447,1391,0.001,15278,2784,9614,7187,7468,3151,376,7096,5206,4017,10891,0.001,0.001,0.001,0.001
84,13.797,28.188,210.45,452.279,0.0008,4722,0.001,4912,0.001,0.001,4093,8076,3570,9239,0.001,7133,0.001,10897,6191,5992,11226,4222,0.001,0.001,0.001
85,14.092,19.57,150.53,223.0281,0.0003,4701,2863,2806,5897,0.001,2360,3944,5233,4020,3302,7683,4120,6369,8493,5710,5052,7362,250,0.001,0.001
86,13.903,32.398,240.18,599.3211,0.0009,4601,4364,8613,2724,0.001,3973,3617,3090,7325,3485,3794,2958,7015,8706,2224,7039,4696,0.001,0.001,0.001
87,12.208,23.211,174.22,387.0337,0.0006,4559,4529,2602,15590,0.001,4857,1555,2390,3093,4229,3744,3279,7355,12731,4166,2349,477,2545,401,924
88,12.464,34.292,253.91,632.1736,0.001,4487,5424,4673,4281,0.001,4655,3079,4675,5017,4190,5336,4384,6652,5150,4346,5657,4268,0.001,0.001,0.001
89,12.859,25.728,193.76,351.2906,0.0006,4459,4260,3752,2902,0.001,4399,4237,5534,5181,6157,6146,4668,7455,3977,5247,7162,270,0.001,0.001,0.001
90,15.309,25.616,193.21,337.3476,0.0006,4412,3434,4245,3976,0.001,4790,5791,4096,5748,6296,5112,5592,5521,6014,3650,6185,147,0.001,0.001,0.001
91,0.68,20.815,158.61,267.0718,0.0005,4344,3247,6801,2284,0.001,4988,1283,247,6329,3482,302,6257,1933,1283,115,3861,27097,0.001,0.001,0.001
92,13.537,32.671,242.82,537.4167,0.0009,4309,921,1708,4901,0.001,2604,1185,2407,9271,662,14968,3088,5214,5007,8299,2716,5988,0.001,0.001,0.001
93,15.277,27.928,209.7,381.3166,0.0005,4286,2941,7038,1350,0.001,3537,3029,3499,6453,4662,3673,7770,10462,1652,3182,7090,2243,0.001,0.001,0.001
94,12.859,23.896,180.93,307.3004,0.0005,4275,4513,3813,3101,0.001,4367,4000,4915,4935,5696,5725,4478,7132,3782,5041,6808,100,0.001,0.001,0.001
95,15.263,29.916,222.82,496.3684,0.0011,4213,2609,3998,183,0.001,4827,4668,3206,5871,5418,5038,5914,6113,4280,3672,6683,4925,0.001,0.001,0.001
96,15.687,28.727,214.8,437.3819,0.0005,4187,3516,4039,4001,0.001,5226,4312,3429,5094,6048,4372,4690,5641,7169,3154,6305,0.001,0.001,0.001,0.001
97,14.932,28.894,215.56,468.3369,0.0006,4187,3179,3938,3459,0.001,4737,5049,3494,4893,5025,4402,5263,5283,4903,3868,4936,4558,0.001,0.001,0.001
98,14.212,21.285,160.74,329.0468,0.0004,4137,2374,3210,6653,0.001,2522,2872,3224,2932,2171,4578,2798,4807,8744,2627,5760,10924,0.001,0.001,0.001
99,14.084,25.136,189.73,331.2641,0.0005,4098,2642,4079,8877,0.001,7360,6238,2230,4302,1747,3616,1062,2541,2809,2384,5591,10086,0.001,0.001,0.001
100,13.547,34.248,253.17,689.3782,0.0009,4086,0.001,5041,5926,0.001,2779,3591,5045,3531,1787,5140,6004,8257,7347,5884,5046,0.001,0.001,0.001,0.001
101,13.221,26.497,199.13,371.2975,0.0005,4044,2431,2552,2085,0.001,2620,3262,3572,3229,3834,4145,3097,4065,2791,3779,4425,18822,448,269,385
102,10.14,28.689,213.49,513.2732,0.0006,4017,2378,3729,4379,0.001,3115,3953,2880,6256,1800,4130,4673,7904,5898,5663,4479,3036,851,442,518
103,13.745,24.158,182.96,305.2481,0.0005,3913,2248,2014,4831,0.001,6373,5939,3204,3894,1354,1587,0.001,1703,1638,1183,5802,20840,0.001,0.001,0.001
104,14.015,28.846,215.08,478.2942,0.0008,3906,1754,2928,2581,0.001,2360,8744,2876,6005,2329,5921,3650,7508,4909,3666,5469,1798,0.001,0.001,0.001
105,5.362,17.52,261.47,238.0771,0.0005,3833,4269,1959,1428,0.001,6525,0.001,8583,6626,6150,9056,575,3701,1376,6094,4023,968,0.001,0.001,0.001
106,13.521,29.777,221.47,524.2792,0.0011,3818,607,1560,2948,0.001,1447,9370,4207,6328,921,9446,2793,5739,3358,4841,6423,1098,0.001,0.001,0.001
107,14.028,26.572,199.51,381.318,0.0005,3794,3729,3726,4083,0.001,4179,4482,4726,4138,4766,4377,4624,4152,4863,3840,4507,519,1161,200,345
108,14.028,29.02,216.31,482.3524,0.0007,3734,3608,3840,4167,0.001,3807,4271,4234,3826,4567,4207,4149,3968,5039,3834,4437,1783,1409,174,385
109,8.737,27.631,207.18,397.2053,0.0009,3691,2137,788,1433,0.001,7763,938,2983,10415,4316,11810,596,7514,1660,2830,2850,1029,0.001,0.001,0.001
110,6.921,26.378,198.3,369.1734,0.0008,3679,583,1652,415,0.001,1729,215,2004,3955,1145,40322,0.001,1016,431,1286,3867,245,0.001,0.001,0.001
111,14.029,28.457,212.72,437.3243,0.0005,3656,3215,3304,3647,0.001,3766,3082,3838,3452,4135,3663,3800,3291,3841,3110,3914,8442,1948,864,1685
112,14.906,24.463,185.22,309.3159,0.0004,3638,2679,3651,3344,0.001,3925,5113,3333,4330,5069,4075,4513,5035,5007,3211,4921,0.001,0.001,0.001,0.001
113,13.338,24.999,188.79,327.2324,0.0006,3480,1484,2608,4340,0.001,3805,5170,2297,4756,1398,2063,1143,1020,1683,895,3580,19430,0.001,0.001,0.001
114,13.694,28.531,213.56,419.3139,0.0006,3458,3105,2683,2926,0.001,3350,2626,4061,3201,5331,3819,4206,4690,5672,3015,5297,1347,0.001,0.001,0.001
115,9.827,24.38,183.07,381.1945,0.0004,3428,2201,3087,3146,0.001,2686,3564,2382,5830,1584,3515,3868,6211,4424,4604,3503,4242,736,536,521
116,13.298,26.987,202.61,383.3166,0.0005,3366,2771,2256,2156,0.001,2646,3120,4230,3707,5102,4660,3325,4579,3345,3228,5101,3634,0.001,0.001,0.001
117,3.892,15.714,124.56,144.0452,0.0003,3339,3572,3852,3129,0.001,2537,7703,2570,5982,3188,6326,1371,2221,1704,3644,2541,3085,0.001,0.001,0.001
118,14.011,22.716,172.67,283.1097,0.0004,3329,0.001,4842,3787,0.001,3109,3786,2043,4691,0.001,3109,0.001,20676,0.001,4725,2500,0.001,0.001,0.001,0.001
119,13.943,30.657,228.01,524.2997,0.0007,3274,1436,4079,1628,0.001,2125,5061,1566,6251,1426,2925,3017,7618,2340,2249,5031,5639,0.001,0.001,0.001
120,12.559,21.028,161.56,227.2006,0.0005,3252,2030,1839,2354,0.001,2257,2561,1524,1888,1190,1580,924,2759,1598,913,2781,25834,205,251,264
121,14.215,28.153,209.09,557.1086,0.001,3204,2036,2859,6083,0.001,2133,2708,2662,2468,1729,3652,2638,4338,7956,2339,5093,2564,0.001,0.001,0.001
122,14.028,30.311,225.26,539.3378,0.001,3148,2701,2543,3906,0.001,3080,3174,3570,3148,3971,3872,3484,3037,6001,2754,4636,488,1534,174,412
123,14.028,30.322,225.35,538.3401,0.0012,3120,2803,2437,3794,0.001,3201,3226,3593,3039,3914,3753,3423,3221,6019,2492,4593,410,1482,192,469
124,14.389,27.839,208.07,440.3054,0.0005,3105,2542,3684,4540,0.001,4175,2687,1681,3162,2664,2986,3594,4763,4398,2042,3385,3378,0.001,0.001,0.001
125,9.929,20.817,157.6,309.0394,0.0004,3000,3122,2420,4844,0.001,3065,2074,2846,3011,3422,4150,3011,4597,4488,3768,2935,249,589,237,338
126,13.647,32.871,244.34,533.4569,0.0008,2990,3283,3715,4367,0.001,3641,3571,2001,2989,2565,2993,2139,3252,4006,1684,3890,3742,603,451,568
127,12.641,25.844,195.17,325.184,0.0009,2974,0.001,0.001,92,0.001,41667,0.001,0.001,0.001,0.001,0.001,2043,0.001,1966,0.001,0.001,1815,0.001,0.001,1988
128,15.936,28.676,214.61,425.3997,0.0005,2967,2068,2229,2936,0.001,3071,4008,2107,3594,4033,3587,3307,3392,6574,1722,4849,0.001,0.001,0.001,0.001
129,14.183,23.195,174.16,387.0337,0.0005,2967,2079,3069,6322,0.001,2251,2425,2487,2349,1779,3588,2416,4029,7689,2288,4697,0.001,0.001,0.001,0.001
130,14.172,27.984,209.21,436.2837,0.0008,2957,1632,3196,1289,0.001,2765,3408,2469,5687,2881,4567,2050,5885,3274,2773,4357,1084,0.001,0.001,0.001
131,16.411,35.073,259.3,673.4838,0.0016,2812,0.001,0.001,0.001,0.001,1768,23581,1166,9602,2286,2246,0.001,373,0.001,1133,2833,0.001,1639,0.001,0.001
132,14.081,22.753,173.3,269.2472,0.0004,2767,1946,1926,3868,0.001,2470,6281,2325,2954,2444,3748,1713,2996,4145,1679,3154,2624,0.001,0.001,0.001
133,2.432,24.289,182.16,397.0027,0.0007,2759,6712,3413,637,0.001,399,1070,1762,210,4392,256,243,587,576,914,4841,18131,0.001,0.001,0.001
134,0.372,23.05,173.31,367.1046,0.0005,2738,3370,6780,0.001,0.001,2491,3732,4316,5621,3202,2147,1773,1694,2212,1340,3311,1824,0.001,0.001,0.001
135,15.079,27.914,209.27,399.3481,0.0005,2718,1728,2312,2001,0.001,2863,3727,2112,3146,3749,2943,3223,3557,3786,2147,3607,2594,0.001,0.001,0.001
136,14.619,24.276,183.75,309.2793,0.0004,2681,1490,3508,3675,0.001,3315,4291,1723,2488,882,1212,1772,1354,3420,942,3992,8839,0.001,0.001,0.001
137,6.41,17.861,136.72,244.907,0.0004,2645,2026,751,960,0.001,1755,6052,3606,4811,1300,2644,759,2512,2034,1905,770,10428,0.001,0.001,0.001
138,14.347,34.338,254.55,595.4947,0.0011,2641,0.001,79,1596,0.001,1823,0.001,2020,7211,1454,8665,3891,2257,1723,2637,2277,6617,0.001,0.001,0.001
139,8.943,19.555,150.41,223.0278,0.0002,2597,3212,1816,4134,0.001,1717,1648,1864,2614,2800,4113,2747,4429,4967,3170,1797,516,2818,484,721
140,14.388,25.634,193.01,353.2873,0.0004,2502,2152,2480,2864,0.001,3188,2925,1845,2583,2888,2608,3268,3395,4071,2006,3273,487,0.001,0.001,0.001
141,10.046,28.954,215.46,513.2554,0.0006,2494,1430,2176,2276,0.001,1916,2448,1925,4079,1361,2618,2957,4373,3256,3337,2485,3265,598,428,447
142,14.03,29.37,218.74,497.3651,0.0008,2433,2286,2243,2722,0.001,2588,2476,2639,2537,3017,2823,2796,2565,3523,2362,2948,1407,817,0.001,207
143,10.229,30.179,224.12,557.2992,0.0009,2357,1277,2071,2551,0.001,1486,2223,1641,3601,1165,2583,2836,4910,3523,3608,2444,1800,0.001,0.001,0.001
144,11.273,23.415,177.59,295.2275,0.0004,2357,6055,4826,2926,0.001,704,907,5329,800,1265,1694,914,3008,5889,1495,700,1198,0.001,0.001,0.001
145,13.849,22.739,172.84,283.1094,0.0004,2349,3293,1948,1617,0.001,1556,2880,1547,3314,3683,3002,3131,4576,2815,2354,1870,0.001,0.001,0.001,0.001
146,9.599,19.684,147.3,430.9721,0.0004,2345,6804,6644,5596,0.001,4562,1050,961,1072,1009,1014,1798,2007,1789,1616,1590,0.001,1031,937,1034
147,13.313,24.5,184.98,329.0454,0.0004,2276,1897,1947,4869,0.001,1539,582,1152,1451,1263,2569,2269,4029,5976,2038,2197,2639,0.001,0.001,0.001
148,14.046,29.358,218.75,489.2779,0.0006,2260,1677,1871,2266,0.001,2025,1755,975,2350,1519,1309,1390,8030,1794,2307,1036,5861,185,0.001,294
149,14.4,19.567,150.51,223.0278,0.0004,2259,1595,2335,3060,0.001,1539,1444,2502,2448,2580,3191,2349,3761,1154,2889,3302,1988,0.001,0.001,0.001
150,9.942,27.562,205.61,469.2288,0.0005,2244,1418,1972,1992,0.001,1727,2223,1669,3545,1143,2471,2542,3582,2860,3204,2565,2991,612,441,408
151,15.981,33.901,251.71,564.5372,0.001,2241,960,1113,1130,0.001,3204,8872,3617,1303,1925,3727,1381,2525,780,1889,3433,0.001,647,0.001,0.001
152,16.096,35.448,262.03,695.4685,0.0014,2164,0.001,0.001,1769,0.001,2971,15400,0.001,7602,2434,2159,0.001,0.001,0.001,0.001,2287,0.001,0.001,0.001,0.001
153,15.134,29.401,219.15,483.3497,0.0007,2122,1288,1790,1434,0.001,2034,3026,1768,2604,2570,2485,2422,3129,2295,1583,2941,2588,0.001,0.001,0.001
154,15.128,27.241,204.3,395.3345,0.0005,2116,1649,2073,1716,0.001,2348,2519,1804,2789,3251,2333,2555,3071,2765,1688,2870,418,0.001,0.001,0.001
155,13.493,27.293,203.7,469.2465,0.0004,2105,0.001,0.001,0.001,0.001,7806,8484,0.001,0.001,0.001,0.001,0.001,17385,0.001,0.001,0.001,0.001,0.001,0.001,0.001
156,14.002,30.021,223.48,506.3255,0.0008,2099,2538,1320,1912,0.001,1916,2553,1909,2715,1985,3271,2063,3903,3480,1367,2317,335,0.001,0.001,0.001
157,13.644,25.335,191.08,337.2364,0.0004,2074,1254,1401,1419,0.001,1464,1334,969,1265,1158,1043,996,1225,1500,960,1360,15831,782,959,972
158,13.971,25.768,194.01,353.3059,0.0004,2056,1924,1472,1922,0.001,1724,1728,2626,1704,2945,2430,2244,2490,3134,1609,3438,1505,293,0.001,102
