ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 130 B2 7523.d.DeMP
24915,3.445,31.219,231.5,560.3397,-1,1,3,90.2,,False,126.999
24918,0.272,17.665,134.1,268.8033,-1,1,3,52.5,,False,108.999
24927,0.742,23.491,687.2,306.9366,-4,2,3,79.6,,False,77.999
24928,1.666,23.507,179.75,237.1105,-1,1,3,97.8,,False,251.999
24944,2.635,19.26,148.13,211.0633,-1,1,4,76.8,,False,120.999
24955,0.604,20.674,157.5,253.0189,-1,1,3,81.5,,False,301.999
24964,4.539,29.227,217.25,505.2771,-1,1,3,86.4,,False,141.11122222222224
24966,0.905,28.743,215.71,369.1768,-1,1,4,62.5,,False,167.999
24968,2.217,30.127,223.52,546.2871,-1,2,3,48.2,,False,195.999
24972,0.808,27.222,201.37,614.9078,-1,1,3,60.7,,False,102.999
24973,4.01,36.303,267.83,725.1188,-1,1,5,54.7,,False,161.0699998519621
24975,0.287,27.385,202.15,680.8027,-1,1,3,66.3,,False,228.999
24977,0.443,16.768,128.75,215.0354,-1,1,5,73.4,,False,66.999
25000,2.138,27.465,205.15,424.3157,-1,1,3,60.7,,False,215.999
25011,0.279,25.384,187.74,614.6485,-1,1,3,63.5,,False,266.999
25019,0.458,28.455,210.18,662.9124,-1,1,3,49.9,,False,58.33344444444444
25021,1.63,26.476,198.14,399.309,-1,1,3,69.3,,False,230.999
25036,0.784,35.772,294.69,94.9254,-1,1,5,78.6,,False,24.111222222222224
25054,3.982,34.594,255.6,668.3966,-1,1,4,59.9,,False,152.999
25058,4.293,43.945,323.11,902.865,-1,2,5,77.5,,False,5.995027265580262
25059,4.542,37.194,274.11,766.838,-1,1,3,47.8,,False,18.777888888888924
25063,1.646,30.295,225.37,493.3183,-1,1,4,65.5,,False,50.999
25070,0.719,3.51,28.46,92.9273,-1,1,4,92.6,,False,241.15227702793504
25089,1.733,21.379,161.92,287.0444,-1,1,5,97.7,,False,30.33344444444444
25100,3.763,29.096,216.88,457.373,-1,1,3,50.9,,False,133.999
25108,0.632,27.921,209.53,369.1756,-1,1,3,82.4,,False,121.999
25113,0.287,28.714,211.28,818.4681,-1,1,3,77.6,,False,50.999
25114,0.581,32.207,265.91,92.9301,-1,1,4,59.7,,False,185.999
25117,3.297,31.571,233.84,589.3442,-1,2,3,69.9,,False,118.999
25121,2.319,32.311,239.05,622.1951,-1,1,3,66.7,,False,196.999
25135,2.471,33.48,247.86,605.2438,-1,2,3,78.2,,False,378.2223333333333
25137,2.894,22.828,173.63,263.238,-1,1,3,97.3,,False,175.999
25156,0.244,23.311,174.2,412.9021,-1,1,6,58.1,,False,29.22021342287576
25161,3.272,29.789,222.07,457.3319,-1,1,3,41.0,,False,191.999
25166,1.948,30.96,229.38,583.2107,-1,1,3,96.5,,False,359.999
25194,1.799,45.324,373.54,94.9245,-1,1,4,95.9,,False,58.999
25195,1.657,32.027,237.24,588.3855,-1,2,3,66.6,,False,237.999
25216,1.317,28.808,214.25,495.2975,-1,1,3,88.4,,False,207.999
25219,2.252,24.841,186.66,353.1614,-1,1,3,66.1,,False,247.999
25243,1.242,25.031,187.68,375.1869,-1,2,3,96.8,,False,111.999
25256,3.548,34.317,253.65,654.384,-1,1,3,53.8,,False,58.999
25264,2.748,41.95,308.22,940.5828,-1,1,3,95.5,,False,188.0001111111111
25266,1.285,11.791,96.75,94.9248,-1,1,4,75.4,,False,153.999
25272,1.852,24.876,187.03,347.2234,-1,1,3,70.9,,False,251.999
25283,2.208,32.001,237.16,576.3692,-1,1,3,90.9,,False,139.999
25285,2.297,24.949,187.69,342.2728,-1,1,4,73.6,,False,141.0001111111111
25290,3.214,27.96,214.4,227.2033,-1,1,4,73.3,,False,144.999
25291,1.432,45.035,372.05,92.9277,-1,1,5,82.4,,False,117.999
25298,0.326,24.806,184.23,514.8114,-1,1,5,95.4,,False,51.111222222222224
25299,2.206,32.764,242.5,613.4159,-1,1,3,97.4,,False,243.999
25300,0.297,27.118,213.82,148.9797,-1,1,3,79.3,,False,379.999
25305,1.817,27.078,201.99,443.2503,-1,1,4,81.7,,False,135.999
25311,0.778,28.043,206.76,728.8032,-1,1,4,96.7,,False,159.999
25331,2.125,30.326,225.21,526.3481,-1,1,3,48.3,,False,169.999
25339,0.451,27.72,204.79,654.8424,-1,1,5,86.7,,False,62.66677777777778
25350,0.827,23.053,178.62,189.042,-1,1,4,78.4,,False,82.999
25356,3.151,42.165,309.74,964.452,-1,2,3,90.6,,False,105.999
25357,1.637,29.113,216.56,492.2833,-1,1,3,75.1,,False,186.999
25368,0.905,28.55,212.12,513.2797,-1,1,3,80.8,,False,65.999
25374,2.033,31.984,237.14,565.3765,-1,1,3,59.9,,False,112.999
25383,3.159,33.701,249.14,648.3922,-1,2,3,41.4,,False,158.999
25391,1.148,17.361,135.41,169.0663,-1,1,3,92.8,,False,89.999
25401,4.419,36.764,271.11,742.0693,-1,1,4,47.5,,False,88.999
25409,1.259,35.679,262.81,791.3859,-1,1,4,62.6,,False,81.999
25412,1.603,20.472,157.67,207.1399,-1,1,4,83.0,,False,47.111222222222224
25417,0.296,19.186,147.65,208.8428,-1,1,4,87.1,,False,143.999
25446,3.864,47.057,345.13,1091.8547,-1,2,3,77.1,,False,152.999
25452,1.324,18.07,141.08,167.0211,-1,1,4,85.1,,False,105.999
25455,1.142,22.069,167.11,289.1822,-1,1,3,72.0,,False,89.999
