SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,RT,DT,CCS,Peak_mz,m/z,Peak_intensity
NIST SRM-1957 2.d.DeMP,12.0,No,0.00032295611022447316,0.004447658176912819,-0.00032295270732529517,2.06,10.508,22.7211627960205,169.15200300337,498.92787,498.92787,28090.0
NIST SRM-1957 2.d.DeMP,12.0,No,0.00032295611022447316,0.004447658176912819,-0.00032295270732529517,2.06,10.508,22.7211627960205,169.15200300337,499.93027,498.92787,2466.0
NIST SRM-1957 2.d.DeMP,12.0,No,0.00032295611022447316,0.004447658176912819,-0.00032295270732529517,2.06,10.508,22.7211627960205,169.15200300337,500.92405,498.92787,1294.0
NIST SRM-1957 2.d.DeMP,41.0,No,0.00025299177057311323,0.006078619781001273,-0.0002529836565166978,2.03,8.584,20.1797924041748,151.243709921123,398.93477,398.93477,9300.0
NIST SRM-1957 2.d.DeMP,41.0,No,0.00025299177057311323,0.006078619781001273,-0.0002529836565166978,2.03,8.584,20.1797924041748,151.243709921123,399.93634,398.93477,606.0
NIST SRM-1957 2.d.DeMP,41.0,No,0.00025299177057311323,0.006078619781001273,-0.0002529836565166978,2.03,8.584,20.1797924041748,151.243709921123,400.93531,398.93477,702.0
NIST SRM-1957 2.d.DeMP,43.0,No,0.0008819210147919268,0.0037755252104215327,-0.000881920116840647,1.99,10.283,22.4313201904297,166.995805660057,498.92789,498.92789,8966.0
NIST SRM-1957 2.d.DeMP,43.0,No,0.0008819210147919268,0.0037755252104215327,-0.000881920116840647,1.99,10.283,22.4313201904297,166.995805660057,499.92726,498.92789,813.0
NIST SRM-1957 2.d.DeMP,43.0,No,0.0008819210147919268,0.0037755252104215327,-0.000881920116840647,1.99,10.283,22.4313201904297,166.995805660057,500.92446,498.92789,339.0
NIST SRM-1957 2.d.DeMP,77.0,Cl0_Br1,0.016764408371809064,-0.007008558950175119,-0.016764408209030683,0.89,6.477,17.9224700927734,137.08269365532,244.9065,244.9065,5254.0
NIST SRM-1957 2.d.DeMP,77.0,Cl0_Br1,0.016764408371809064,-0.007008558950175119,-0.016764408209030683,0.89,6.477,17.9224700927734,137.08269365532,245.90884,244.9065,495.0
NIST SRM-1957 2.d.DeMP,77.0,Cl0_Br1,0.016764408371809064,-0.007008558950175119,-0.016764408209030683,0.89,6.477,17.9224700927734,137.08269365532,246.90393,244.9065,5138.0
NIST SRM-1957 2.d.DeMP,77.0,Cl0_Br1,0.016764408371809064,-0.007008558950175119,-0.016764408209030683,0.89,6.477,17.9224700927734,137.08269365532,247.90612,244.9065,485.0
NIST SRM-1957 2.d.DeMP,77.0,Cl0_Br1,0.016764408371809064,-0.007008558950175119,-0.016764408209030683,0.89,6.477,17.9224700927734,137.08269365532,248.89992,244.9065,1591.0
NIST SRM-1957 2.d.DeMP,77.0,Cl0_Br1,0.016764408371809064,-0.007008558950175119,-0.016764408209030683,0.89,6.477,17.9224700927734,137.08269365532,249.90458,244.9065,139.0
NIST SRM-1957 2.d.DeMP,77.0,Cl0_Br1,0.016764408371809064,-0.007008558950175119,-0.016764408209030683,0.89,6.477,17.9224700927734,137.08269365532,250.89812,244.9065,142.0
NIST SRM-1957 2.d.DeMP,104.0,No,0.0033111350092918553,0.003453443615610153,0.003311134809188045,1.93,9.579,18.6189098358154,139.926080618402,368.97395,368.97395,4506.0
NIST SRM-1957 2.d.DeMP,104.0,No,0.0033111350092918553,0.003453443615610153,0.003311134809188045,1.93,9.579,18.6189098358154,139.926080618402,369.97646,368.97395,307.0
NIST SRM-1957 3.d.DeMP,41.0,No,0.0014302273992866563,0.007887366413246527,0.0014302249827866445,2.06,8.579,20.1035709381104,150.67290023821,398.93626,398.93626,8913.0
NIST SRM-1957 3.d.DeMP,41.0,No,0.0014302273992866563,0.007887366413246527,0.0014302249827866445,2.06,8.579,20.1035709381104,150.67290023821,399.93778,398.93626,538.0
NIST SRM-1957 3.d.DeMP,41.0,No,0.0014302273992866563,0.007887366413246527,0.0014302249827866445,2.06,8.579,20.1035709381104,150.67290023821,400.93777,398.93626,648.0
NIST SRM-1957 3.d.DeMP,43.0,No,4.24775732064716e-05,0.0045437356530317035,-4.245056274449106e-05,2.06,10.25,22.260591506958,165.725707140555,498.92944,498.92944,8090.0
NIST SRM-1957 3.d.DeMP,43.0,No,4.24775732064716e-05,0.0045437356530317035,-4.245056274449106e-05,2.06,10.25,22.260591506958,165.725707140555,499.9315,498.92944,707.0
NIST SRM-1957 3.d.DeMP,43.0,No,4.24775732064716e-05,0.0045437356530317035,-4.245056274449106e-05,2.06,10.25,22.260591506958,165.725707140555,500.92369,498.92944,416.0
NIST SRM-1957 3.d.DeMP,77.0,Cl3_Br0,0.016407916726177856,-0.005266675063411678,-0.01640791663226023,1.02,6.467,17.8459186553955,136.497696625595,244.90751,244.90751,4598.0
NIST SRM-1957 3.d.DeMP,77.0,Cl3_Br0,0.016407916726177856,-0.005266675063411678,-0.01640791663226023,1.02,6.467,17.8459186553955,136.497696625595,245.9098,244.90751,367.0
NIST SRM-1957 3.d.DeMP,77.0,Cl3_Br0,0.016407916726177856,-0.005266675063411678,-0.01640791663226023,1.02,6.467,17.8459186553955,136.497696625595,246.90447,244.90751,4417.0
NIST SRM-1957 3.d.DeMP,77.0,Cl3_Br0,0.016407916726177856,-0.005266675063411678,-0.01640791663226023,1.02,6.467,17.8459186553955,136.497696625595,247.90793,244.90751,366.0
NIST SRM-1957 3.d.DeMP,77.0,Cl3_Br0,0.016407916726177856,-0.005266675063411678,-0.01640791663226023,1.02,6.467,17.8459186553955,136.497696625595,248.90125,244.90751,1387.0
NIST SRM-1957 3.d.DeMP,105.0,No,0.005772866291659881,0.0056089568043284285,0.005772865988898694,2.46,9.572,18.5253143310547,139.223304770709,368.97496,368.97496,4030.0
NIST SRM-1957 3.d.DeMP,105.0,No,0.005772866291659881,0.0056089568043284285,0.005772865988898694,2.46,9.572,18.5253143310547,139.223304770709,369.97803,368.97496,248.0
NIST SRM-1957 6.d.DeMP,12.0,No,0.0010274611045930208,0.003671582546105148,-0.0010274603756915074,1.96,10.487,22.6919364929199,168.502203849925,498.92741,498.92741,27650.0
NIST SRM-1957 6.d.DeMP,12.0,No,0.0010274611045930208,0.003671582546105148,-0.0010274603756915074,1.96,10.487,22.6919364929199,168.502203849925,499.92845,498.92741,2520.0
