m/C,MD/C
67.69532201585096,-0.0052048457104935855
67.50674682287924,-0.005042479452351339
67.44632288395565,-0.004991440149220707
67.31282878431213,-0.004880113194209093
67.1817446619196,-0.004773526144898734
67.11191273619671,-0.004717746936066847
66.91716643988352,-0.004566346940040876
66.9027456085802,-0.0045553806779246
66.6853690329456,-0.004393014419782354
66.65258821784747,-0.004369041002773282
66.45725226530134,-0.004230648161640108
66.3880099958114,-0.004182849648133622
66.21623968292468,-0.004068281903497862
66.12343177377534,-0.004007921885493873
65.96086819142305,-0.0039059156453556156
65.85885355173927,-0.0038434048334931767
65.68990541143957,-0.003743549387213368
65.59427532970321,-0.0036882400270639134
65.40253174692879,-0.0035811831290711235
65.32969710766716,-0.0035412876926929834
65.09849047012807,-0.0034188168709288758
