Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 38 2182 - Serum.d.DeMP, 41 2187 - Serum.d.DeMP, 44 2854 - Serum.d.DeMP, 47 2911 - Serum.d.DeMP, 125 1777 - Serum.d.DeMP, 128 1821 - Serum.d.DeMP, 131 1673 - Serum.d.DeMP, 134 1894 - Serum.d.DeMP, 137 3330 - Serum.d.DeMP, 80 2003 - Serum.d.DeMP, 83 2095 - Serum.d.DeMP, 86 2046 - Serum.d.DeMP, 89 2889 - Serum.d.DeMP, 92 3021 - Serum.d.DeMP
No Match,None,unmatched,891,4.546,17.28,133.43,211.0233,,,,0,134.999,184.999,294.999,154.999,6081.999,359.999,0,141.999,0,306.999,171.999,1616.999,144.999,0
No Match,None,unmatched,1911,4.379,17.037,131.44,212.9421,,,,0,0,0,682.999,281.999,555.999,969.999,182.999,0,0,352.999,0,112.999,148.999,105.999
No Match,None,unmatched,3456,4.919,16.89,130.35,213.0847,,,,154.999,0,125.999,321.999,0,0,144.999,95.999,138.999,130.999,0,0,147.999,0,0
No Match,None,unmatched,2288,3.709,17.189,132.53,216.9636,,,,125.999,251.999,163.999,0,368.999,78.999,265.999,299.999,202.999,464.999,0,343.999,0,0,0
No Match,None,unmatched,2101,6.5565,17.508,134.95,218.02965,,,,0,451.999,408.999,648.999,0,0,618.999,0,0,0,0,0,355.999,486.999,0
No Match,None,unmatched,5657,3.342,17.158,132.17,219.9098,,,,209.999,0,0,0,0,0,98.999,0,0,0,0,0,0,132.999,0
No Match,None,unmatched,1528,6.35,16.688,128.54,220.8993,,,,260.999,257.999,337.999,760.999,328.999,397.999,0,377.999,340.999,381.999,278.999,500.999,284.999,263.999,0
No Match,None,unmatched,421,5.914,17.053,131.32,220.9391,,,,841.999,1422.999,1783.999,2555.999,1330.999,1397.999,1653.999,1969.999,2302.999,2921.999,1218.999,2648.999,1860.999,1517.999,525.999
No Match,None,unmatched,3346,3.795,17.606,135.51,221.0077,,,,0,0,0,0,330.999,255.999,0,159.999,0,0,152.999,326.999,0,109.999,0
No Match,None,unmatched,555,6.842,17.054,131.29,221.9537,,,,753.999,349.999,609.999,1346.999,1152.999,530.999,2659.999,646.999,1556.999,2106.999,767.999,1947.999,780.999,403.999,2335.999
