SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,RT,DT,CCS,Peak_mz,m/z,Peak_intensity
134 1894 - Serum.d.DeMP,250.0,No,0.00042333369839911216,0.0047433123745058625,-0.0004233307457650777,2.13,9.464,21.3678436279297,159.737197875977,448.93267,448.93267,1887.0
134 1894 - Serum.d.DeMP,250.0,No,0.00042333369839911216,0.0047433123745058625,-0.0004233307457650777,2.13,9.464,21.3678436279297,159.737197875977,449.93402,448.93267,147.0
134 1894 - Serum.d.DeMP,250.0,No,0.00042333369839911216,0.0047433123745058625,-0.0004233307457650777,2.13,9.464,21.3678436279297,159.737197875977,450.93035,448.93267,70.0
134 1894 - Serum.d.DeMP,367.0,Cl2_Br0,0.01288906482022205,-0.00527837893187036,-0.012889064700131948,1.02,5.914,17.052677154541,131.322280883789,220.93933,220.93933,2303.0
134 1894 - Serum.d.DeMP,367.0,Cl2_Br0,0.01288906482022205,-0.00527837893187036,-0.012889064700131948,1.02,5.914,17.052677154541,131.322280883789,221.94102,220.93933,166.0
134 1894 - Serum.d.DeMP,367.0,Cl2_Br0,0.01288906482022205,-0.00527837893187036,-0.012889064700131948,1.02,5.914,17.052677154541,131.322280883789,222.93643,220.93933,1540.0
137 3330 - Serum.d.DeMP,19.0,Cl0_Br1,0.016293395009805003,-0.005160649971812814,-0.016293394918996874,1.02,6.382,17.8609657287598,136.77685546875,244.90822,244.90822,29716.0
137 3330 - Serum.d.DeMP,19.0,Cl0_Br1,0.016293395009805003,-0.005160649971812814,-0.016293394918996874,1.02,6.382,17.8609657287598,136.77685546875,245.91044,244.90822,2350.0
137 3330 - Serum.d.DeMP,19.0,Cl0_Br1,0.016293395009805003,-0.005160649971812814,-0.016293394918996874,1.02,6.382,17.8609657287598,136.77685546875,246.90538,244.90822,29287.0
137 3330 - Serum.d.DeMP,19.0,Cl0_Br1,0.016293395009805003,-0.005160649971812814,-0.016293394918996874,1.02,6.382,17.8609657287598,136.77685546875,247.90772,244.90822,2332.0
137 3330 - Serum.d.DeMP,19.0,Cl0_Br1,0.016293395009805003,-0.005160649971812814,-0.016293394918996874,1.02,6.382,17.8609657287598,136.77685546875,248.90214,244.90822,8255.0
137 3330 - Serum.d.DeMP,19.0,Cl0_Br1,0.016293395009805003,-0.005160649971812814,-0.016293394918996874,1.02,6.382,17.8609657287598,136.77685546875,249.90463,244.90822,589.0
137 3330 - Serum.d.DeMP,19.0,Cl0_Br1,0.016293395009805003,-0.005160649971812814,-0.016293394918996874,1.02,6.382,17.8609657287598,136.77685546875,250.89864,244.90822,711.0
137 3330 - Serum.d.DeMP,51.0,No,0.003392018247612169,0.00846279500170879,0.0033920170746148167,2.2,10.029,22.1778259277344,165.274383544922,498.93026,498.93026,2969.0
137 3330 - Serum.d.DeMP,51.0,No,0.003392018247612169,0.00846279500170879,0.0033920170746148167,2.2,10.029,22.1778259277344,165.274383544922,499.93262,498.93026,219.0
137 3330 - Serum.d.DeMP,387.0,Cl2_Br0,0.011453913749940809,-0.0021301495538436984,-0.01145391372793214,1.35,5.914,17.052677154541,131.322280883789,220.9395,220.9395,2922.0
137 3330 - Serum.d.DeMP,387.0,Cl2_Br0,0.011453913749940809,-0.0021301495538436984,-0.01145391372793214,1.35,5.914,17.052677154541,131.322280883789,221.94258,220.9395,165.0
137 3330 - Serum.d.DeMP,387.0,Cl2_Br0,0.011453913749940809,-0.0021301495538436984,-0.01145391372793214,1.35,5.914,17.052677154541,131.322280883789,222.93645,220.9395,1894.0
35 2286 - Serum.d.DeMP,18.0,Cl3_Br0,0.016101416263885067,-0.0035681770341372855,-0.01610141621995557,1.13,6.382,17.8609657287598,136.77685546875,244.90798,244.90798,21953.0
35 2286 - Serum.d.DeMP,18.0,Cl3_Br0,0.016101416263885067,-0.0035681770341372855,-0.01610141621995557,1.13,6.382,17.8609657287598,136.77685546875,245.90992,244.90798,1525.0
35 2286 - Serum.d.DeMP,18.0,Cl3_Br0,0.016101416263885067,-0.0035681770341372855,-0.01610141621995557,1.13,6.382,17.8609657287598,136.77685546875,246.90506,244.90798,20872.0
35 2286 - Serum.d.DeMP,18.0,Cl3_Br0,0.016101416263885067,-0.0035681770341372855,-0.01610141621995557,1.13,6.382,17.8609657287598,136.77685546875,247.90729,244.90798,1540.0
35 2286 - Serum.d.DeMP,18.0,Cl3_Br0,0.016101416263885067,-0.0035681770341372855,-0.01610141621995557,1.13,6.382,17.8609657287598,136.77685546875,248.90177,244.90798,6580.0
35 2286 - Serum.d.DeMP,18.0,Cl3_Br0,0.016101416263885067,-0.0035681770341372855,-0.01610141621995557,1.13,6.382,17.8609657287598,136.77685546875,249.90384,244.90798,484.0
35 2286 - Serum.d.DeMP,18.0,Cl3_Br0,0.016101416263885067,-0.0035681770341372855,-0.01610141621995557,1.13,6.382,17.8609657287598,136.77685546875,250.8984,244.90798,562.0
35 2286 - Serum.d.DeMP,47.0,No,0.005774602083587961,0.01145803739847465,0.0057746008205222365,2.64,10.029,22.1778259277344,165.274383544922,498.9293,498.9293,3945.0
35 2286 - Serum.d.DeMP,47.0,No,0.005774602083587961,0.01145803739847465,0.0057746008205222365,2.64,10.029,22.1778259277344,165.274383544922,499.93129,498.9293,260.0
35 2286 - Serum.d.DeMP,47.0,No,0.005774602083587961,0.01145803739847465,0.0057746008205222365,2.64,10.029,22.1778259277344,165.274383544922,500.92645,498.9293,143.0
35 2286 - Serum.d.DeMP,838.0,No,0.003459944255289743,0.012440961625560415,0.0034599417700605286,2.5,7.14,18.852481842041,142.156143188477,348.93799,348.93799,1931.0
35 2286 - Serum.d.DeMP,838.0,No,0.003459944255289743,0.012440961625560415,0.0034599417700605286,2.5,7.14,18.852481842041,142.156143188477,349.9399,348.93799,86.0
38 2182 - Serum.d.DeMP,19.0,Cl3_Br0,0.016020754076353668,-0.002963814871856281,-0.016020754045892493,1.18,6.382,17.8609657287598,136.77685546875,244.90795,244.90795,19939.0
38 2182 - Serum.d.DeMP,19.0,Cl3_Br0,0.016020754076353668,-0.002963814871856281,-0.016020754045892493,1.18,6.382,17.8609657287598,136.77685546875,245.90995,244.90795,1324.0
38 2182 - Serum.d.DeMP,19.0,Cl3_Br0,0.016020754076353668,-0.002963814871856281,-0.016020754045892493,1.18,6.382,17.8609657287598,136.77685546875,246.90518,244.90795,18528.0
38 2182 - Serum.d.DeMP,19.0,Cl3_Br0,0.016020754076353668,-0.002963814871856281,-0.016020754045892493,1.18,6.382,17.8609657287598,136.77685546875,247.90693,244.90795,1299.0
38 2182 - Serum.d.DeMP,19.0,Cl3_Br0,0.016020754076353668,-0.002963814871856281,-0.016020754045892493,1.18,6.382,17.8609657287598,136.77685546875,248.90167,244.90795,5751.0
