ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 41 B1 218.d.DeMP
29412,0.352,20.287,153.85,278.0802,-1,1,5,95.8,,FALSE,251.999
29425,2.742,25.928,194.45,373.3007,-1,1,3,50.5,,FALSE,168.999
29462,1.967,24.087,181.94,308.2227,-1,1,3,85.7,,FALSE,259.999
29470,2.811,29.812,221.38,526.5795,-1,1,3,67.6,,FALSE,117.999
29471,4.683,37.313,275.17,739.5879,-1,1,4,97.9,,FALSE,265.999
29474,3.805,39.696,292.29,817.2053,-1,1,6,60.9,,FALSE,69.11122222222224
29475,0.92,25.638,190.47,508.9425,-1,1,6,66.1,,FALSE,165.999
29478,0.695,17.75,145.94,94.9258,-1,1,6,96.8,,FALSE,81.66677777777778
29486,3.231,20.369,155.45,244.0328,-1,1,5,89.7,,FALSE,242.999
29495,4.046,30.493,227.58,439.324,-1,1,4,95.3,,FALSE,101.999
29500,1.461,18.362,140.55,228.9647,-1,1,7,99.1,,FALSE,133.999
29527,3.55,25.173,189.25,348.2254,-1,1,5,74.6,,FALSE,168.999
29534,0.539,26.019,194.83,391.1767,-1,2,3,62.3,,FALSE,251.999
29539,0.705,27.562,203.51,670.8398,-1,1,6,92.4,,FALSE,110.999
29542,2.501,31.245,231.93,537.1794,-1,1,6,74.1,,FALSE,192.999
29545,1.954,32.523,268.5,92.927,-1,1,5,82.1,,FALSE,202.999
29546,1.931,39.287,311.38,141.018,-1,1,7,75.7,,FALSE,110.999
29568,1.925,31.164,230.86,583.2597,-1,1,3,63.7,,FALSE,260.999
29571,1.108,32.986,244.49,573.3329,-1,1,6,97.9,,FALSE,128.999
29580,2.906,29.66,225.11,279.2348,-1,1,6,85.5,,FALSE,146.999
29582,0.733,54.4,448.4,94.9275,-1,1,6,81.8,,FALSE,171.999
29584,0.584,23.918,210.03,59.0147,-1,1,3,71.7,,FALSE,300.999
29591,3.321,37.331,275.53,710.5098,-1,1,7,59.4,,FALSE,148.999
29603,1.278,21.541,163.84,262.1558,-1,1,4,98.3,,FALSE,216.999
