,Name,Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%)
80,"(2,3,3,5,5,6,6-Heptafluoro-1,4-dioxan-2-yl)methanol or (Heptafluoropropoxy)acetic acid",tentative,150.41,3.622,242.9904,85293.0,100.0,100.0
81,5-fluoro-2-methyl-6-(pentafluoroethyl)pyrimidin-4(1h)-one,tentative,155.34,2.944,245.0148,70369.0,100.0,100.0
82,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol",tentative,125.83,11.874,246.98,82175.0,100.0,100.0
83,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol or 1H,1H,5H-Perfluoropentane-1-thiol",tentative,147.56,3.89,246.9831,94575.0,100.0,100.0
84,"5-Fluoro-6-(pentafluoroethyl)pyrimidine-2,4(1H,3H)-dione",tentative,148.37,2.359,246.9945,91287.0,100.0,100.0
85,"1-Chloro-1,1,3,3,3-pentafluoro-2-(trifluoromethyl)propan-2-ol",tentative,137.56,6.852,250.9534,95506.0,100.0,100.0
86,6-fluoro-2-(pentafluoroethyl)-1h-benzimidazole,tentative,148.42666666666665,1.7203333333333333,253.0222666666667,63917.0,100.0,100.0
87,"2-{[2-(Dimethylamino)ethyl]amino}-1,1,1,3,3,3-hexafluoropropan-2-ol",tentative,154.78,3.156,253.0765,94240.0,100.0,100.0
88,"2-{[2-(Dimethylamino)ethyl]amino}-1,1,1,3,3,3-hexafluoropropan-2-ol",tentative,151.52,1.461,253.0783,63033.0,100.0,100.0
89,"2-{[2-(Dimethylamino)ethyl]amino}-1,1,1,3,3,3-hexafluoropropan-2-ol",tentative,158.315,1.241,253.0806,66681.0,100.0,100.0
90,ST075949,tentative,149.36636363636362,1.0832727272727274,255.0373727272727,72899.0,100.0,100.0
91,"1-Ethoxy-2,2,3,3-tetrafluorospiro[3.5]nonan-1-ol",tentative,158.07666666666665,12.06,255.10041666666663,53296.0,100.0,100.0
92,"1-Ethoxy-2,2,3,3-tetrafluorospiro[3.5]nonan-1-ol",tentative,158.04999999999998,11.813333333333333,255.1009333333333,7908.0,100.0,100.0
93,"1-Ethoxy-2,2,3,3-tetrafluorospiro[3.5]nonan-1-ol",tentative,158.42,6.41,255.1005,42461.0,100.0,100.0
94,"2-[(1,2,3,3,4,4,4-Heptafluorobut-1-en-1-yl)sulfanyl]ethan-1-ol",tentative,145.8,1.637,256.9866,51494.0,100.0,100.0
95,"2-(2-aminophenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol or 2-(3-Aminophenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol or 2-(4-Aminophenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol or 2-[(1,1,1,3,3,3-Hexafluoropropan-2-yl)amino]phenol or 4-(1,1,2,3,3,3-Hexafluoropropoxy)aniline",tentative,145.07,8.695,258.0348,89747.0,100.0,100.0
96,"2(1H)-Quinoxalinone, 3-(pentafluoroethyl)-",tentative,155.58,0.548,263.024,25062.0,100.0,100.0
97,"1H-Benzimidazole, 5,6-dimethyl-2-(pentafluoroethyl)-",tentative,160.07500000000002,6.833833333333334,263.06019999999995,89204.0,100.0,100.0
98,"1H-Benzimidazole, 5,6-dimethyl-2-(pentafluoroethyl)-",tentative,154.9425,3.1630000000000003,263.0601375,44924.0,100.0,100.0
99,"1H-Benzimidazole, 5,6-dimethyl-2-(pentafluoroethyl)-",tentative,159.89333333333337,5.110666666666666,263.0605,14836.0,100.0,100.0
100,"1H-Benzimidazole, 5,6-dimethyl-2-(pentafluoroethyl)-",tentative,153.19,2.137,263.0602,31258.0,100.0,100.0
101,"1H-Benzimidazole, 5,6-dimethyl-2-(pentafluoroethyl)-",tentative,155.39,10.106,263.0612,81699.0,100.0,100.0
102,"2-(1,1,2,2,3,3-Hexafluoropropyl)-1H-benzimidazole",tentative,156.11,2.987,267.0369,24128.0,100.0,100.0
103,"2,2,3-Trifluoro-1-methyl-3-(trifluoromethyl)-2,3-dihydro-1H-inden-1-ol or 2-(4-Ethenylphenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol or 3,3,4-Trifluoro-4-(trifluoromethyl)-1,2,3,4-tetrahydronaphthalen-2-ol",tentative,158.44,12.506,269.0414,94025.0,100.0,100.0
104,"(Dichloromethyl)[3-(1,2,2,2-tetrafluoroethoxy)propyl]silane",tentative,153.47,5.128,270.97535,8497.0,100.0,100.0
