ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
56,15.477,37.205,303.83,748.5316,29010,-1,6,2,100,x,FALSE,15.477,37.205,303.83,748.5316,29010,0.88,2,,,,,0,,0,,,,,16,up,88.069,0.001,39607,47423,0.001,0.001,0.001
57,11.353,26.018,222.55,572.9867,28983,-1,4,3,100,x,FALSE,11.353,26.018,222.55,572.9867,28983,0.37,3,,,,,0,,0,,,,,16,up,99.068,31908,37901,17141,0.001,0.001,0.001
58,1.128,16.637,160.06,188.9855,28519,-1,4,3,100,x,FALSE,1.128,16.637,160.06,188.9855,28519,0.15,3,,,,,0,,0,,,,,16,up,99.964,25387,26633,33537,0.001,0.001,0.001
59,10.688,26.799,229.81,448.3069,28289,-1,4,3,100,x,FALSE,10.688,26.799,229.81,448.3069,28289,0.83,3,,,,,0,,0,,,,,16,up,89.525,49688,31938,3242,0.001,0.001,0.001
60,7.852,26.193,226.7,369.174,28283,-1,4,3,100,x,FALSE,7.852,26.193,226.7,369.174,28283,0.41,3,,,,,0,,0,,,,,16,up,98.663,40221,27534,17095,0.001,0.001,0.001
61,11.685,26.531,226.2,589.0146,27800,-1,4,3,98,x,FALSE,11.685,26.531,226.2,589.0146,27800,0.25,3,,,,,0,,0,,,,,16,up,99.768,28251,34550,20600,0.001,0.001,0.001
62,15.882,39.062,316.94,833.5222,27783,-1,5,3,100,x,FALSE,15.882,39.062,316.94,833.5222,27783,0.41,3,,,,,0,,0,,,,,16,up,98.681,32675,35844,14829,0.001,0.001,0.001
63,1.42,16.539,160.24,172.9905,27671,-1,4,3,100,x,FALSE,1.42,16.539,160.24,172.9905,27671,0.3,3,,,,,0,,0,,,,,16,up,99.547,18288,30526,34198,0.001,0.001,0.001
64,9.401,18.529,169.03,375.9988,27634,-1,1,2,96.5,x,FALSE,9.401,18.529,169.03,375.9988,27634,0.87,2,,,,,0,,0,,,,,16,up,88.378,40794,42107,0.001,0.001,0.001,0.001
65,12.149,23.784,209.97,311.1684,27440,-1,4,3,72.5,x,FALSE,12.149,23.784,209.97,311.1684,27440,0.16,3,,,,,0,,0,,,,,16,up,99.954,26485,23488,32347,0.001,0.001,0.001
66,13.503,32.737,272.79,537.4172,27288,-1,2,3,100,x,FALSE,13.503,32.737,272.79,537.4172,27288,0.23,3,,,,,0,,0,,,,,16,up,99.824,34081,21444,26340,0.001,0.001,0.001
67,12.048,25.134,220.18,311.1683,27258,-1,4,3,89.6,x,FALSE,12.048,25.134,220.18,311.1683,27258,0.08,3,,,,,0,,0,,,,,16,up,99.998,25911,26170,29692,0.001,0.001,0.001
68,8.804,26.899,230.56,448.3066,26474,-1,4,3,100,x,FALSE,8.804,26.899,230.56,448.3066,26474,0.79,3,,,,,0,,0,,,,,16,up,90.69,34710,41983,2728,0.001,0.001,0.001
69,16.036,37.638,306.89,766.5421,25829,-1,5,3,99.3,x,FALSE,16.036,37.638,306.89,766.5421,25829,0.72,3,,,,,0,,0,,,,,16,up,92.62,9083,22576,45827,0.001,0.001,0.001
