ID,RT,DT,CCS,m/z,Abundance,RSD, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
68,11.615,21.784,165.91,265.1482,17633,0.87,9242,5252,5267,6758,2598,7730,25346,22943,48513,20741,44339,12867,0,0,0
69,14.256,28.232,210.47,452.2785,17605,1.08,2817,0.001,2658,2376,1862,1732,43587,35335,36168,10811,50349,23561,0,0,0
70,16.394,27.733,207.6,397.3691,17352,1.8,0.001,0.001,0.001,673,657,923,0.001,0.001,0.001,80554,61701,63720,0,0,0
71,10.452,27.148,203.07,407.2806,17240,0.8,5289,4889,4999,4948,4274,4014,33206,21155,26521,39399,27919,30271,0,0,0
72,15.235,23.942,181.31,297.2803,17200,1.3,9272,8612,8714,7325,5847,6544,55601,60258,44221,0.001,0.001,0.001,0,0,0
73,11.864,22.867,170.11,505.9717,16934,0.76,5654,5086,5055,5349,4574,3761,29773,26593,23801,37587,28055,27918,0,0,0
74,12.996,21.053,161.64,227.2013,16264,0.85,3374,3396,3351,3390,2608,2673,28010,25599,26677,34306,32061,29722,0,0,0
75,8.498,17.533,132.56,321.9895,16209,0.76,5054,4748,4890,5546,4291,3839,31735,23316,24166,34790,26417,25710,0,0,0
76,13.812,25.882,194.43,361.2369,15907,0.1,17323,17644,17718,17420,16330,16693,16018,15505,15819,13895,13500,13013,0,0,0
77,14.052,25.325,190.67,341.307,15593,1.4,0.001,0.001,0.001,11795,11694,11309,0.001,0.001,57,48801,48372,55091,0,0,0
78,14.298,29.406,218.82,480.3105,15331,0.52,8718,8298,7928,8140,7142,7282,26513,24392,23548,22069,20908,19035,0,0,0
79,12.983,35.24,259.98,674.1843,15018,0.87,3321,3407,3660,2575,2264,2013,30201,30922,31458,28542,19936,21913,0,0,0
80,15.905,25.126,189.53,325.3112,13774,1.25,1462,1332,1280,6187,5999,4638,5561,7224,6043,49212,38688,37661,0,0,0
81,13,24.259,183.02,325.1843,13549,1.61,0.001,1838,1944,779,0.001,0.001,0.001,29624,37993,22836,0.001,67572,0,0,0
82,11.944,23.543,178.3,297.153,13478,1.06,3915,2996,3576,2285,1503,1670,27504,26130,34813,34387,0.001,22959,0,0,0
83,6.248,20.935,160.19,242.1752,13352,1.29,4296,4047,2074,7113,5110,4027,7933,31308,13900,61964,6405,12047,0,0,0
84,14.548,27.781,207.94,398.3336,13328,1.05,0.001,0.001,0.001,26389,28831,28799,0.001,0.001,0.001,24296,25992,25630,0,0,0
85,13.143,25.896,194.11,385.2394,12856,1.31,923,780,786,4439,3479,3443,5690,6329,6848,43447,38112,39995,0,0,0
86,0.243,22.431,168.66,359.0431,12610,0.24,14613,11146,12508,10874,11216,7375,19205,13802,15356,14199,10302,10718,0,0,0
87,15.68,25.365,191.05,337.3115,12398,0.97,4010,3685,3143,2113,1593,1333,28444,32100,30991,16186,13418,11756,0,0,0
88,13.279,23.064,175.24,277.2171,12345,0.8,3707,3543,3254,2845,2514,2316,21423,19513,19131,25703,22127,22061,0,0,0
89,13.806,25.142,189.6,327.2332,12151,0.31,9430,9416,9455,8091,7732,7429,15924,14470,15687,16107,15953,16121,0,0,0
90,15.207,29.004,215.86,478.3306,12087,0.95,1527,1572,1819,1943,1180,1501,32065,21068,22657,23031,18366,18311,0,0,0
91,11.39,25.097,186.4,528.9677,12063,0.82,3180,2838,2921,3221,2685,2189,22828,18408,17814,27543,21286,19844,0,0,0
92,15.427,28.886,215.1,469.334,11961,1.25,0.001,0.001,0.001,12346,11596,11742,1106,980,0.001,38165,33868,33723,0,0,0
93,13.828,30.215,224.31,522.2839,11884,0.97,2213,2281,2131,0.001,0.001,0.001,26009,17969,20565,27037,21707,22695,0,0,0
94,13.938,23.696,179.62,291.2332,11762,0.83,2918,2659,2529,2491,1929,1916,21653,19584,19869,22445,21998,21158,0,0,0
95,13.861,26.441,198.17,385.2361,11741,0.1,12254,12039,11555,10878,9996,9957,13209,13922,12933,11935,11333,10883,0,0,0
96,13.312,24.008,181.71,301.2172,11687,0.79,3505,3386,3541,2742,2260,2145,21711,17834,18439,23911,20567,20207,0,0,0
97,14.162,28.195,210.19,452.2784,11626,1.83,0.001,2579,0.001,0.001,0.001,0.001,2133,1919,1788,61586,20790,48720,0,0,0
