ID,RT,DT,CCS,m/z,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
4261,13.894,26.516,229.14,368.3157,301,411,270,0.001,0.001,0.001
4262,13.641,33.954,281.63,553.4101,471,235,275,0.001,0.001,0.001
4263,6.928,26.002,224.82,391.2115,981,0.001,0.001,0.001,0.001,0.001
4264,11.417,30.594,257.58,483.3681,729,252,0.001,0.001,0.001,0.001
4265,13.303,27.686,236.35,453.2645,248,364,369,0.001,0.001,0.001
4266,14.444,37.516,306.3,725.5561,565,0.001,416,0.001,0.001,0.001
4267,11.299,27.659,237.57,375.2898,0.001,0.001,980,0.001,0.001,0.001
4268,14.806,28.069,239.53,433.367,795,0.001,185,0.001,0.001,0.001
4269,6.607,18.897,174.4,261.0403,0.001,979,0.001,0.001,0.001,0.001
4270,4.435,24.598,214.61,375.1185,979,0.001,0.001,0.001,0.001,0.001
4271,4.646,19.522,182.82,183.1015,511,266,202,0.001,0.001,0.001
4272,12.957,31.011,261.33,443.3164,819,0.001,159,0.001,0.001,0.001
4273,8.725,22.863,203.4,297.2055,477,501,0.001,0.001,0.001,0.001
4274,7.96,25.434,220.47,396.1464,660,318,0.001,0.001,0.001,0.001
4275,7.867,20.266,185.11,253.1432,0.001,0.001,978,0.001,0.001,0.001
4276,13.861,35.878,294.61,675.5215,378,395,204,0.001,0.001,0.001
4277,14.914,25.988,225.47,355.3204,388,349,240,0.001,0.001,0.001
4278,12.144,17.418,164.77,216.0371,0.001,976,0.001,0.001,0.001,0.001
4279,15.324,40.608,328.21,850.5996,0.001,487,488,0.001,0.001,0.001
4280,8.721,26.131,225.74,393.2272,975,0.001,0.001,0.001,0.001,0.001
4281,3.812,32.973,273.09,683.2541,0.001,975,0.001,0.001,0.001,0.001
4282,2.346,25.398,217.33,652.2473,0.001,0.001,975,0.001,0.001,0.001
4283,7.239,36.276,296.72,786.3722,0.001,0.001,974,0.001,0.001,0.001
4284,14.834,25.299,220.62,341.3049,974,0.001,0.001,0.001,0.001,0.001
4285,8.413,24.974,217.51,371.1701,0.001,0.001,974,0.001,0.001,0.001
4286,12.745,28.823,244.66,465.2839,613,360,0.001,0.001,0.001,0.001
4287,13.99,44.248,354.16,999.6441,634,339,0.001,0.001,0.001,0.001
4288,14.938,28.779,244.57,449.3639,607,366,0.001,0.001,0.001,0.001
4289,1.843,20.18,184.45,253.1176,460,0.001,513,0.001,0.001,0.001
4290,11.344,20.414,184.63,306.0434,973,0.001,0.001,0.001,0.001,0.001
4291,13.566,30.468,256.61,485.2822,404,569,0.001,0.001,0.001,0.001
4292,12.584,25.913,224.66,366.2635,477,495,0.001,0.001,0.001,0.001
4293,11.778,28.9,245.02,479.2607,970,0.001,0.001,0.001,0.001,0.001
4294,3.456,31.652,264.01,603.3226,332,308,330,0.001,0.001,0.001
4295,15.808,27.14,233.59,379.3573,970,0.001,0.001,0.001,0.001,0.001
4296,11.395,33.353,276.7,594.3421,969,0.001,0.001,0.001,0.001,0.001
4297,13.858,28.464,241.75,481.2807,969,0.001,0.001,0.001,0.001,0.001
4298,12.002,18.267,170.58,233.042,969,0.001,0.001,0.001,0.001,0.001
4299,10.12,27.921,238.89,407.2806,968,0.001,0.001,0.001,0.001,0.001
4300,7.176,29.649,249.59,561.2324,270,0.001,698,0.001,0.001,0.001
4301,2.298,22.487,199.84,324.082,0.001,968,0.001,0.001,0.001,0.001
4302,14.614,28.746,244.69,427.3779,476,491,0.001,0.001,0.001,0.001
4303,16.273,40.128,324.55,873.552,478,489,0.001,0.001,0.001,0.001
4304,11.269,29.849,252.09,479.336,660,0.001,307,0.001,0.001,0.001
4305,3.915,30.033,252.88,523.1559,0.001,0.001,967,0.001,0.001,0.001
4306,12.201,25.148,221.25,281.2262,967,0.001,0.001,0.001,0.001,0.001
4307,10.016,22.091,198.44,269.2101,323,199,444,0.001,0.001,0.001
4308,10.947,20.429,184.74,306.044,966,0.001,0.001,0.001,0.001,0.001
4309,13.815,31.211,261.47,536.3366,966,0.001,0.001,0.001,0.001,0.001
4310,8.935,23.955,211.27,311.2207,515,451,0.001,0.001,0.001,0.001
4311,9.647,32.067,267.28,584.3453,0.001,0.001,966,0.001,0.001,0.001
4312,9.99,33.365,276.28,647.35,330,366,269,0.001,0.001,0.001
4313,16.104,23.373,207.33,295.2267,965,0.001,0.001,0.001,0.001,0.001
4314,2.1,18.989,177.34,206.0809,406,353,206,0.001,0.001,0.001
4315,13.71,37.853,308.32,788.5311,0.001,0.001,964,0.001,0.001,0.001
4316,10.204,27.889,238.65,407.2789,426,0.001,538,0.001,0.001,0.001
4317,12.689,29.395,249.23,445.33,503,247,213,0.001,0.001,0.001
4318,12.202,24.883,236.29,101.024,963,0.001,0.001,0.001,0.001,0.001
4319,13.739,27.364,234.45,422.2665,271,281,410,0.001,0.001,0.001
4320,10.86,19.765,180.5,277.0489,291,0.001,671,0.001,0.001,0.001
4321,7.146,27.107,232.94,399.1837,360,0.001,601,0.001,0.001,0.001
4322,8.012,37.056,302.26,818.425,0.001,523,438,0.001,0.001,0.001
4323,13.557,29.247,248.3,435.3469,672,288,0.001,0.001,0.001,0.001
4324,11.853,20.425,184.69,307.0406,0.001,0.001,960,0.001,0.001,0.001
4325,8.349,22.847,203.28,297.2055,253,364,343,0.001,0.001,0.001
4326,16.442,37.141,303.59,717.5328,959,0.001,0.001,0.001,0.001,0.001
4327,10.676,38.683,318.51,448.3056,959,0.001,0.001,0.001,0.001,0.001
4328,11.058,26.877,231.97,363.2533,959,0.001,0.001,0.001,0.001,0.001
4329,10.038,27.804,237.49,437.2153,0.001,0.001,958,0.001,0.001,0.001
4330,10.681,28.986,244.94,536.3203,763,194,0.001,0.001,0.001,0.001
4331,7.19,29.954,252.07,541.2648,0.001,957,0.001,0.001,0.001,0.001
4332,3.244,24.862,216.2,395.1705,0.001,0.001,957,0.001,0.001,0.001
4333,15.631,23.066,205.45,281.2474,956,0.001,0.001,0.001,0.001,0.001
4334,13.603,22.195,1527.25,255.9464,0.001,0.001,956,0.001,0.001,0.001
4335,11.329,12.987,129.67,248.9704,956,0.001,0.001,0.001,0.001,0.001
4336,9.355,23.231,206.08,301.2365,0.001,227,729,0.001,0.001,0.001
4337,3.808,25.488,220.25,433.1294,0.001,955,0.001,0.001,0.001,0.001
4338,6.756,17.421,164.79,216.0369,0.001,472,483,0.001,0.001,0.001
4339,11.725,28.444,241.67,476.2496,955,0.001,0.001,0.001,0.001,0.001
4340,9.951,17.018,161.48,221.0219,954,0.001,0.001,0.001,0.001,0.001
4341,7.242,36.31,296.96,787.3679,0.001,0.001,954,0.001,0.001,0.001
4342,12.635,30.291,255.57,467.3737,0.001,462,492,0.001,0.001,0.001
4343,10.366,20.427,184.73,306.0438,954,0.001,0.001,0.001,0.001,0.001
4344,10.016,24.306,213.7,319.2265,954,0.001,0.001,0.001,0.001,0.001
4345,12.45,29.203,247.9,439.3413,0.001,633,321,0.001,0.001,0.001
4346,10.547,25.009,218.15,353.2499,953,0.001,0.001,0.001,0.001,0.001
4347,16.326,40.561,327.65,887.1981,953,0.001,0.001,0.001,0.001,0.001
4348,10.429,18.907,174.5,260.0436,952,0.001,0.001,0.001,0.001,0.001
4349,3.966,21.423,193.3,271.0604,0.001,952,0.001,0.001,0.001,0.001
4350,7.919,25.925,223.97,406.1315,951,0.001,0.001,0.001,0.001,0.001
4351,14.814,35.315,290.95,622.5416,0.001,335,616,0.001,0.001,0.001
4352,14.739,30.175,252.63,655.1057,273,501,177,0.001,0.001,0.001
4353,5.123,22.997,203.31,340.0854,620,330,0.001,0.001,0.001,0.001
4354,10.265,18.503,171.3,264.0336,0.001,516,434,0.001,0.001,0.001
4355,11.78,27.572,235.79,435.2532,949,0.001,0.001,0.001,0.001,0.001
4356,8.293,38.617,313.48,863.4685,0.001,466,483,0.001,0.001,0.001
4357,13.04,27.654,236.85,409.3063,0.001,430,519,0.001,0.001,0.001
4358,2.819,28.357,240.38,526.1794,320,265,363,0.001,0.001,0.001
4359,9.553,26.703,230.12,389.2693,279,669,0.001,0.001,0.001,0.001
4360,11.391,19.766,180.57,275.0554,0.001,451,497,0.001,0.001,0.001
4361,2.314,17.183,169.88,123.0448,0.001,948,0.001,0.001,0.001,0.001
4362,6.942,27.115,233.43,378.1009,619,328,0.001,0.001,0.001,0.001
4363,11.048,26.85,230.45,431.3158,328,619,0.001,0.001,0.001,0.001
4364,12.294,32.668,272.91,491.2837,288,0.001,659,0.001,0.001,0.001
4365,11.565,18.531,171.48,265.0281,336,295,316,0.001,0.001,0.001
4366,6.259,27.907,237.46,491.2262,294,253,400,0.001,0.001,0.001
4367,15.648,38.379,312.1,804.5197,947,0.001,0.001,0.001,0.001,0.001
4368,12.982,31.466,264.35,465.3583,946,0.001,0.001,0.001,0.001,0.001
4369,14.774,29.953,253.27,453.3939,536,410,0.001,0.001,0.001,0.001
4370,14.88,27.818,237.86,421.3677,577,368,0.001,0.001,0.001,0.001
4371,7.974,39.611,320.79,865.4855,333,0.001,612,0.001,0.001,0.001
4372,13.056,29.26,248.43,433.3307,590,354,0.001,0.001,0.001,0.001
4373,8.839,17.043,161.67,221.0216,944,0.001,0.001,0.001,0.001,0.001
4374,2.782,23.202,204.12,375.0737,0.001,944,0.001,0.001,0.001,0.001
4375,8.164,40.172,324.46,951.4618,390,0.001,554,0.001,0.001,0.001
4376,1.256,19.773,181.01,263.0209,358,586,0.001,0.001,0.001,0.001
4377,10.65,19.792,180.77,275.0555,231,313,399,0.001,0.001,0.001
4378,7.007,29.2,247.13,488.1976,943,0.001,0.001,0.001,0.001,0.001
4379,14.239,27.604,236.31,418.2985,943,0.001,0.001,0.001,0.001,0.001
4380,5.41,38.331,311.3,878.444,324,223,395,0.001,0.001,0.001
4381,12.223,25.515,222.01,351.2522,601,341,0.001,0.001,0.001,0.001
4382,10.953,27.484,235.58,409.2943,653,289,0.001,0.001,0.001,0.001
4383,11.392,30.522,256.74,505.3511,570,0.001,372,0.001,0.001,0.001
4384,8.883,28.54,241.95,509.2749,0.001,532,410,0.001,0.001,0.001
4385,11.404,24.572,211.61,598.9214,0.001,741,200,0.001,0.001,0.001
4386,12.492,31.466,263.49,526.3149,289,651,0.001,0.001,0.001,0.001
4387,15.97,37.476,305.69,767.0045,0.001,0.001,940,0.001,0.001,0.001
4388,7.469,26.169,226.55,368.022,940,0.001,0.001,0.001,0.001,0.001
4389,11.385,20.465,185.06,304.0502,0.001,394,546,0.001,0.001,0.001
4390,11.865,26.377,228.44,353.2689,635,305,0.001,0.001,0.001,0.001
4391,4.291,21.477,193.23,286.1303,222,229,489,0.001,0.001,0.001
4392,4.626,33.844,279.37,703.3559,316,296,328,0.001,0.001,0.001
4393,8.85,23.118,205.23,301.1194,369,0.001,571,0.001,0.001,0.001
4394,14.4,40.795,329.62,846.6256,0.001,0.001,940,0.001,0.001,0.001
4395,7.523,35.172,288.77,757.3443,0.001,436,503,0.001,0.001,0.001
4396,13.411,33.188,275.91,555.4269,317,622,0.001,0.001,0.001,0.001
4397,7.162,29.618,249.34,563.2269,630,309,0.001,0.001,0.001,0.001
4398,2.404,17.562,167.33,187.2854,0.001,939,0.001,0.001,0.001,0.001
4399,12.611,24.938,218.26,327.1848,0.001,939,0.001,0.001,0.001,0.001
4400,12.305,32.611,271.68,551.3936,606,0.001,333,0.001,0.001,0.001
4401,7.86,33.752,278.81,686.3852,0.001,309,629,0.001,0.001,0.001
4402,4.027,34.709,285.43,746.2962,287,347,304,0.001,0.001,0.001
4403,9.373,24.209,212.66,331.2477,0.001,0.001,938,0.001,0.001,0.001
4404,1.762,16.118,160.86,127.0504,0.001,579,358,0.001,0.001,0.001
4405,16.276,36.771,300.79,726.5104,937,0.001,0.001,0.001,0.001,0.001
4406,13.75,30.133,254.01,493.3896,580,0.001,357,0.001,0.001,0.001
4407,13.606,22.182,199.61,256.0185,0.001,936,0.001,0.001,0.001,0.001
4408,10.022,24.914,218.57,309.2052,312,166,457,0.001,0.001,0.001
4409,5.867,24.602,214.61,376.1392,0.001,935,0.001,0.001,0.001,0.001
4410,2.696,32.146,276.22,245.0476,0.001,935,0.001,0.001,0.001,0.001
4411,13.337,32.093,267.74,559.3972,317,415,202,0.001,0.001,0.001
4412,8.978,30.557,256.63,535.3131,0.001,0.001,933,0.001,0.001,0.001
4413,13.542,29.827,252.17,463.343,551,0.001,382,0.001,0.001,0.001
4414,2.781,21.973,193.85,443.857,629,304,0.001,0.001,0.001,0.001
4415,9.159,28.562,243.32,427.3051,362,245,326,0.001,0.001,0.001
4416,15.038,29.331,248.25,478.3296,0.001,683,250,0.001,0.001,0.001
4417,6.17,20.029,184.26,229.1233,395,181,356,0.001,0.001,0.001
4418,0.664,23.023,202.95,366.1071,0.001,369,563,0.001,0.001,0.001
4419,14.731,29.167,247.91,423.3841,0.001,625,306,0.001,0.001,0.001
4420,9.371,26.315,226.72,415.2135,230,413,288,0.001,0.001,0.001
4421,10.67,31.304,261.85,563.2836,0.001,354,577,0.001,0.001,0.001
4422,5.59,20.452,184.47,324.9023,0.001,0.001,930,0.001,0.001,0.001
4423,1.191,16.403,161.39,144.0806,210,341,378,0.001,0.001,0.001
4424,0.592,24.352,212.21,405.102,596,0.001,333,0.001,0.001,0.001
4425,7.07,39.549,325.04,445.2352,0.001,929,0.001,0.001,0.001,0.001
4426,0.578,27.025,231.03,481.1801,929,0.001,0.001,0.001,0.001,0.001
4427,10.124,26.708,230.33,380.233,928,0.001,0.001,0.001,0.001,0.001
4428,16.437,40.683,328.8,844.6101,0.001,928,0.001,0.001,0.001,0.001
4429,9.692,26.826,230.3,430.2259,928,0.001,0.001,0.001,0.001,0.001
4430,6.894,21.538,193.91,279.1256,302,0.001,626,0.001,0.001,0.001
4431,12.391,26.117,225.37,408.2409,0.001,513,414,0.001,0.001,0.001
4432,9.699,23.291,206.59,299.2209,326,310,291,0.001,0.001,0.001
4433,0.923,22.209,197.86,319.119,481,0.001,445,0.001,0.001,0.001
4434,6.397,17.434,163.08,266.8859,0.001,168,758,0.001,0.001,0.001
4435,11.701,26.63,228.8,432.3103,506,0.001,419,0.001,0.001,0.001
4436,4.39,24.275,214.43,287.1386,401,0.001,524,0.001,0.001,0.001
4437,9.401,20.845,185.72,420.9917,448,476,0.001,0.001,0.001,0.001
4438,2.735,19.288,179.2,215.1276,283,0.001,641,0.001,0.001,0.001
4439,7.964,25.267,219.75,369.2275,924,0.001,0.001,0.001,0.001,0.001
4440,11.852,19.761,180.47,277.0485,300,0.001,623,0.001,0.001,0.001
4441,13.546,31.527,264.78,467.3135,420,0.001,503,0.001,0.001,0.001
4442,7.489,17.047,161.75,220.0252,443,0.001,480,0.001,0.001,0.001
4443,16.319,37.977,309.32,776.5253,923,0.001,0.001,0.001,0.001,0.001
4444,0.707,19.484,170.52,212.0888,354,0.001,569,0.001,0.001,62
4445,12.554,25.942,225.89,325.1837,538,0.001,384,0.001,0.001,0.001
4446,10.971,23.827,210.11,318.2146,922,0.001,0.001,0.001,0.001,0.001
4447,4.541,25.289,219.67,381.1898,636,0.001,286,0.001,0.001,0.001
4448,6.23,26.802,229.85,447.2191,0.001,365,557,0.001,0.001,0.001
4449,12.909,23.158,207.18,253.2171,0.001,0.001,921,0.001,0.001,0.001
4450,5.16,35.988,294.93,737.4177,515,406,0.001,0.001,0.001,0.001
4451,1.539,18.322,171.37,224.0013,0.001,0.001,921,0.001,0.001,0.001
