Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%),GroupID,Repeating Unit,KMD (CF2)
likely,139.71,11.875,368.9773,16089.0,100.0,100.0,1,CF2,-0.0008422537358114823
likely,140.08,12.951,368.9787,86066.0,100.0,100.0,1,CF2,-0.002242343061482188
External Standard,125.1,3.2,248.9462,0.0,0.0,0.0,2,CF2,0.03791621905477882
External Standard,186.21,11.76,598.9238,0.0,0.0,0.0,2,CF2,0.03798622352098846
likely,142.47,7.142,348.9392,50152.0,100.0,100.0,2,CF2,0.03853625861324872
External Standard,142.2,7.03,348.9398,0.0,0.0,0.0,2,CF2,0.03793622033083466
External Standard,177.24,11.1,548.927,0.0,0.0,0.0,2,CF2,0.037976222883003175
unmatched,113.2925,0.7789999999999999,148.95235,77202.0,100.0,100.0,2,CF2,0.03814623372971937
unmatched,133.31,0.579,148.9524,71369.0,100.0,100.0,2,CF2,0.038096230539508724
unmatched,134.60666666666663,0.8206666666666668,148.9525,28947.0,100.0,100.0,2,CF2,0.037996224159115854
External Standard,109.59,0.38,148.9526,0.0,0.0,0.0,2,CF2,0.03789621777869456
External Standard,111.32,0.38,148.9526,0.0,0.0,0.0,2,CF2,0.03789621777869456
unmatched,121.85,0.55,148.9528,48095.0,100.0,100.0,2,CF2,0.0376962050178804
unmatched,125.5175,0.55075,148.95345,574.0,100.0,100.0,2,CF2,0.03704616354522727
unmatched,132.68,0.551,148.954,75613.0,100.0,100.0,2,CF2,0.036496128452995436
unmatched,124.22,0.572,148.9545,55135.0,100.0,100.0,2,CF2,0.035996096550974244
External Standard,168.27,10.12,498.9302,0.0,0.0,0.0,2,CF2,0.037966222244961045
tentative,157.84090909090912,10.395,498.93033636363634,55619.0,100.0,100.0,2,CF2,0.03782984990806426
tentative,191.05,10.451,498.9307,12235.0,100.0,100.0,2,CF2,0.03746619034291143
External Standard,133.62,5.2,298.943,0.0,0.0,0.0,2,CF2,0.03792621969284937
likely,133.83,5.333,298.9434,1377.0,100.0,100.0,2,CF2,0.03752619417116421
tentative,163.88,8.958,298.9441,61498.0,100.0,100.0,2,CF2,0.036826149508328854
External Standard,150.51,8.38,398.9366,0.0,0.0,0.0,2,CF2,0.03794622096887679
likely,148.605,8.197,398.9368,35568.0,100.0,100.0,2,CF2,0.03774620820809105
tentative,76.87,10.454,498.9282,92507.0,100.0,100.0,2,CF2,0.039966349853102656
tentative,39.53,10.448,498.9286,80826.0,100.0,100.0,2,CF2,0.039566324331474334
unmatched,104.19,9.7315,98.9558,49333.0,100.0,100.0,2,CF2,0.037886217140652434
unmatched,104.0725,7.46425,98.956,18633.0,100.0,100.0,2,CF2,0.03768620437983827
unmatched,104.04153846153848,9.606230769,98.95622307692308,26664.0,100.0,100.0,2,CF2,0.0374631132235379
unmatched,104.20666666666666,8.421666666666667,98.95623333333332,68501.0,100.0,100.0,2,CF2,0.037452856158907366
unmatched,104.04,9.6078,98.95624,49575.0,100.0,100.0,2,CF2,0.037446189066869806
unmatched,104.14833333333335,8.200000000000001,98.9563,17339.0,100.0,100.0,2,CF2,0.03738618523861703
unmatched,104.18,9.5485,98.9567,33193.0,100.0,100.0,2,CF2,0.03698615971698871
unmatched,104.02,8.249,98.9568,30019.0,100.0,100.0,2,CF2,0.03688615333658163
unmatched,103.99,5.978,98.957,31867.0,100.0,100.0,2,CF2,0.03668614057576747
unmatched,103.79,2.709,98.9574,71186.0,100.0,100.0,2,CF2,0.036286115054139145
unmatched,103.94,5.263,98.9575,38686.0,100.0,100.0,2,CF2,0.036186108673732065
External Standard,159.24,9.2,448.9334,0.0,0.0,0.0,2,CF2,0.037956221606918916
External Standard,117.4,1.3,198.9494,0.0,0.0,0.0,2,CF2,0.03790621841673669
unmatched,128.18,0.871,131.0716,47238.0,100.0,100.0,3,CF2,-0.0799629016331096
unmatched,128.39,0.872,131.0734,69760.0,100.0,100.0,3,CF2,-0.08176301648043705
unmatched,146.9,12.041,231.0642,18290.0,100.0,100.0,3,CF2,-0.07894283655298295
unmatched,160.4,2.786,281.0609,61510.0,100.0,100.0,3,CF2,-0.07883282953451953
unmatched,143.73,0.588,181.0697,29245.0,100.0,100.0,3,CF2,-0.08125298394040215
unmatched,129.97,1.039,189.0706,36021.0,100.0,100.0,4,CF2,-0.08266347392964235
unmatched,134.97,0.588,189.0714,30134.0,100.0,100.0,4,CF2,-0.083463524972899
unmatched,160.26,2.607,289.0638,94504.0,100.0,100.0,4,CF2,-0.08224344713192977
unmatched,134.865,1.3535,139.0761,22001.0,100.0,100.0,4,CF2,-0.08497362131703312
unmatched,149.92000000000002,7.1512,239.06862,9022.0,100.0,100.0,4,CF2,-0.08387355113256945
unmatched,149.55,9.796,243.0643,78688.0,100.0,100.0,5,CF2,-0.07980849178179028
unmatched,126.805,1.687,143.07015,86561.0,100.0,100.0,5,CF2,-0.0792784579656427
unmatched,141.99,6.481,193.0671,72563.0,100.0,100.0,5,CF2,-0.07941846689820409
unmatched,151.89999999999998,1.6905,261.04205,11604.0,100.0,100.0,6,CF2,-0.05870554541382944
unmatched,148.56,2.817,211.044,4294.0,100.0,100.0,6,CF2,-0.05746546629677596
unmatched,140.39,3.501,161.0464,55102.0,100.0,100.0,6,CF2,-0.05667541589153302
unmatched,144.672,0.6354,215.07382,6437.0,100.0,100.0,7,CF2,-0.08754258521696556
unmatched,155.94,2.918,265.0717,75620.0,100.0,100.0,7,CF2,-0.08861265348730285
unmatched,140.142,1.0314,165.07576,59349.0,100.0,100.0,7,CF2,-0.08629250546184153
unmatched,146.13,1.837,223.0947,17237.0,100.0,100.0,8,CF2,-0.1089343500115092
unmatched,150.63,15.288,223.0963,69120.0,100.0,100.0,8,CF2,-0.1105344520980509
unmatched,150.6,2.663,223.0969,37127.0,100.0,100.0,8,CF2,-0.11113449038049339
unmatched,152.11,8.582,223.0977,36722.0,100.0,100.0,8,CF2,-0.11193454142375003
unmatched,154.09,0.67,273.0941,76878.0,100.0,100.0,8,CF2,-0.11152451526407958
unmatched,142.29,3.839,173.0979,49614.0,100.0,100.0,8,CF2,-0.10894435064957975
unmatched,139.61,7.861,176.0844,88666.0,100.0,100.0,9,CF2,-0.09563490150671328
unmatched,154.16,0.532,276.0789,23394.0,100.0,100.0,9,CF2,-0.09651495765427853
unmatched,149.37,1.028,226.0812,64066.0,100.0,100.0,9,CF2,-0.09562490086867115
unmatched,143.84,1.047,234.978,81504.0,100.0,100.0,10,CF2,0.007007447075125128
External Standard,120.92,5.01,234.9811,0.0,0.0,0.0,10,CF2,0.003907249282491421
External Standard,190.2,5.01,234.9811,0.0,0.0,0.0,10,CF2,0.003907249282491421
likely,116.13,12.436,184.9836,59705.0,100.0,100.0,10,CF2,0.004597293307313066
likely,116.13,12.436,184.9836,59705.0,100.0,100.0,10,CF2,0.004597293307313066
External Standard,173.9,2.56,184.9843,0.0,0.0,0.0,10,CF2,0.0038972486444777132
External Standard,115.2,2.56,184.9843,0.0,0.0,0.0,10,CF2,0.0038972486444777132
likely,115.64,7.297499999999999,184.9843,71789.0,100.0,100.0,10,CF2,0.0038972486444777132
likely,115.64,7.297499999999999,184.9843,71789.0,100.0,100.0,10,CF2,0.0038972486444777132
tentative,144.86,12.431,184.9855,68508.0,100.0,100.0,10,CF2,0.002697172079564325
unmatched,155.98000000000002,7.580999999999999,284.9749,64271.0,100.0,100.0,10,CF2,0.006917441332745966
External Standard,127.46,7.14,284.9779,0.0,0.0,0.0,10,CF2,0.0039172499205619715
unmatched,155.5,4.493,284.975,26889.0,100.0,100.0,10,CF2,0.006817434952324675
tentative,155.5,13.476,284.9751,46404.0,100.0,100.0,10,CF2,0.006717428571960227
