ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,148 B2 16632.d.DeMP, 149 B2 16631.d.DeMP, 220 B3 16562.d.DeMP, 221 B3 16563.d.DeMP, 291 B4 16634.d.DeMP, 295 B4 16707.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d,Blank 4.d,Blank 5.d,Blank 6.d,Blank 7.d,Blank 8.d,Blank 9.d
56,2.77,29.933,222.33,524.2799,254448,-1,4,5,100,x,FALSE,2.77,29.933,222.33,524.2799,254448,0.57,5,,,,,0,,0,,,,,16,up,99.987,191278,0.001,306600,257958,392241,378613,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
57,3.419,30.404,226.02,508.3415,246243,-1,3,7,100,x,FALSE,3.426,30.421,226.15,508.3415,246243,0.41,6,3.378,30.298,225.22,508.3414,35,3,1,0.047,0.124,0.92,0.0001,12.79,up,100,293031,332398,299379,250847,252820,48984,313,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
58,2.395,22.065,163.74,524.9885,243932,-1,3,15,100,x,FALSE,2.391,22.102,164.01,524.9877,243932,0.23,6,2.398,22.041,163.55,524.9891,88188,0.54,9,-0.007,0.061,0.46,-0.0014,1.47,up,99.994,301721,284904,285288,205864,228171,157646,197262,116266,107811,79847,77078,63514,50295,46706,54914
59,3.056,33.327,247,580.3635,239857,-1,4,7,100,x,FALSE,3.059,33.354,247.2,580.3637,239857,0.17,6,3.036,33.167,245.8,580.3623,20,3,1,0.024,0.187,1.39,0.0013,13.52,up,100,268858,292926,263320,213638,201846,198552,184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
60,4.374,31.354,233.24,495.4072,238861,-1,5,9,100,x,FALSE,4.353,31.379,233.44,495.4059,238861,0.49,6,4.417,31.304,232.84,495.4099,109,1.62,3,-0.064,0.075,0.6,-0.0039,11.1,up,99.997,241443,38350,174138,298230,363059,317944,0.001,0.001,0.001,424,384,173,0.001,0.001,0.001
61,2.84,28.191,210.2,452.2791,238433,-1,5,7,100,x,FALSE,2.86,28.196,210.24,452.2781,238433,0.61,5,2.789,28.179,210.08,452.2814,74,2.1,2,0.071,0.017,0.16,-0.0032,11.65,up,99.977,211805,289121,177642,334661,0.001,417369,0.001,0.001,0.001,435,232,0.001,0.001,0.001,0.001
62,4.097,39.891,293.52,861.5553,236523,-1,6,8,100,x,FALSE,4.269,39.911,293.67,861.555,236523,0.52,6,3.58,39.832,293.05,861.5563,17,2.05,2,0.689,0.079,0.62,-0.0013,13.78,up,99.994,345930,4736,268349,221776,246071,332278,58,0.001,0.001,0.001,0.001,0.001,93,0.001,0.001
63,1.088,26.151,196.26,367.1581,235747,-1,5,7,100,x,FALSE,1.064,26.211,196.72,367.1572,235747,0.63,5,1.147,26.001,195.12,367.1602,49,2.04,2,-0.083,0.21,1.6,-0.003,12.24,up,99.969,224634,363743,328316,369246,0.001,128540,0.001,0.001,0.001,0.001,0.001,0.001,172,0.001,266
64,3.568,31.786,237.18,445.3326,235744,-1,5,9,93.7,x,FALSE,3.57,31.802,237.31,445.3323,235744,0.36,6,3.563,31.754,236.93,445.3333,169,1.59,3,0.008,0.048,0.37,-0.001,10.45,up,100,347166,306289,136521,268179,148643,207665,679,521,0.001,322,0.001,0.001,0.001,0.001,0.001
65,4.097,40.348,296.77,883.5394,234860,-1,4,7,100,x,FALSE,4.095,40.413,297.26,883.5396,234860,0.33,6,4.11,39.957,293.83,883.5383,15,3,1,-0.015,0.456,3.43,0.0013,13.97,up,100,280838,151942,227113,138312,330203,280752,0.001,0.001,0.001,0.001,0.001,132,0.001,0.001,0.001
66,1.538,23.83,179.93,311.2213,234721,-1,4,7,100,x,FALSE,1.506,23.835,179.97,311.2212,234721,0.43,6,1.731,23.801,179.69,311.2223,38,3,1,-0.225,0.035,0.28,-0.0011,12.59,up,99.999,172304,129653,254375,145798,361180,345013,0.001,0.001,0.001,0.001,342,0.001,0.001,0.001,0.001
67,2.783,29.843,221.88,504.3102,230643,-1,4,6,100,x,FALSE,2.783,29.843,221.88,504.3102,230643,0.13,6,,,,,0,,0,,,,,16,up,100,216886,272820,262783,212782,212368,206221,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
68,2.584,23.223,172.01,569.9687,224917,-1,4,15,100,x,FALSE,2.579,23.262,172.3,569.9676,224917,0.32,6,2.587,23.196,171.81,569.9693,36599,0.6,9,-0.008,0.065,0.49,-0.0017,2.62,up,100,312765,291663,258156,168065,182661,136191,44315,29888,74465,65627,41066,27467,14499,11948,20116
69,3.035,30.12,223.92,506.3266,224093,-1,4,7,100,x,FALSE,3.061,30.147,224.13,506.3258,224093,0.16,6,2.881,29.96,222.69,506.3311,11,3,1,0.18,0.187,1.43,-0.0053,14.31,up,100,254341,266799,245289,207706,189948,180474,0.001,0.001,0.001,99,0.001,0.001,0.001,0.001,0.001
70,3.533,32.08,238.46,511.4014,223190,-1,5,7,100,x,FALSE,3.544,32.096,238.59,511.4009,223190,0.5,6,3.466,31.982,237.7,511.4044,77,3,1,0.078,0.114,0.9,-0.0034,11.51,up,99.996,253642,936,239768,304912,291308,248573,0.001,0.001,0.001,691,0.001,0.001,0.001,0.001,0.001
71,2.36,25.174,190.1,311.1681,221814,-1,5,15,94.2,x,FALSE,2.358,25.226,190.51,311.1671,221814,0.37,6,2.361,25.139,189.83,311.1688,167574,0.29,9,-0.003,0.088,0.68,-0.0018,0.4,up,87.133,244765,356400,236625,118476,217653,156966,243126,160376,161213,239911,138896,189660,108657,119891,146440
72,4.024,28.63,213.88,425.363,220736,-1,5,8,100,x,FALSE,4.04,28.685,214.29,425.3632,220736,0.42,6,3.978,28.465,212.63,425.3625,86,2.62,2,0.062,0.22,1.66,0.0007,11.33,up,99.999,95122,237417,151504,200856,350854,288661,0.001,92,0.001,682,0.001,0.001,0.001,0.001,0.001
73,4.015,33.692,249.58,591.4653,220354,-1,4,14,97.8,x,FALSE,3.918,33.846,250.75,591.4647,220354,0.37,6,4.088,33.576,248.71,591.4657,493,0.75,8,-0.17,0.27,2.04,-0.001,8.8,up,100,323549,214016,251443,280532,138658,113927,1263,579,335,807,311,408,542,193,0.001
74,3.436,23.478,174.35,514.9809,216096,-1,5,6,100,x,FALSE,3.436,23.478,174.35,514.9809,216096,0.24,6,,,,,0,,0,,,,,16,up,100,280283,203929,284737,180209,170209,177211,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
75,2.393,23.99,181.14,311.1683,213105,-1,5,15,98.2,x,FALSE,2.391,24.052,181.61,311.1673,213105,0.44,6,2.394,23.949,180.82,311.169,165767,0.25,9,-0.003,0.103,0.79,-0.0018,0.36,up,79.785,209514,381920,222857,104706,208294,151338,233939,152682,169569,224994,128425,182745,112089,148474,138990
76,3.393,33.56,248.7,582.3804,206772,-1,4,9,100,x,FALSE,3.426,33.602,249.02,582.38,206772,0.66,6,3.327,33.477,248.06,582.3812,106,1.58,3,0.1,0.125,0.96,-0.0012,10.93,up,99.95,299571,355402,79265,236923,134,269334,376,0.001,0.001,386,0.001,0.001,193,0.001,0.001
