Match,Match Source,Classification Type,ID,RT,DT,CCS,m/zs,Mass Error (ppm),CCS Error (%),RT Error (%),ES01.d.DeMP, ES04.d.DeMP, ES11.d.DeMP, ES12.d.DeMP, ES13.d.DeMP, ES14.d.DeMP, ES17.d.DeMP, ES19.d.DeMP, ES21.d.DeMP, ES22.d.DeMP, ES24.d.DeMP, ES28.d.DeMP, ES30.d.DeMP, ES32.d.DeMP, ES02.d.DeMP, ES03.d.DeMP, ES05.d.DeMP, ES06.d.DeMP, ES07.d.DeMP, ES08.d.DeMP, ES09.d.DeMP, ES10.d.DeMP, ES15.d.DeMP, ES16.d.DeMP, ES18.d.DeMP, ES20.d.DeMP, ES23.d.DeMP, ES25.d.DeMP, ES26.d.DeMP, ES27.d.DeMP, ES29.d.DeMP, ES31.d.DeMP, ES33.d.DeMP, ES34.d.DeMP, ES35.d.DeMP, ES36.d.DeMP, ES37.d.DeMP, ES38.d.DeMP, ES39.d.DeMP, ES40.d.DeMP, ES41.d.DeMP, ES42.d.DeMP,Detection Frequency (%),Average Abundance
PFPeS (M-H),PFAS Standards,likely,50152,7.142,18.954,142.47,348.9392,-1.72,0.19,N/A,0,0,0,0,0,0,0,0,0,0,1738.007,0,0,0,0,0,0,0,0,0,0,0,0,0,880.6828,0,2240.0559999999996,0,0,0,0,0,0,1176.673,0,0,1124.609,0,0,0,0,0,100,100
PFOA (M-H-CO2),PFAS Standards,likely,68840,12.939,18.703,140.29,368.9739,-7.32,0.57,N/A,0,0,0,0,0,0,519.4317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301.079,0,0,0,994.4796,0,0,0,100,100
PFOA (M-H-CO2),PFAS Standards,likely,835,9.484,18.634,139.77,368.977,1.08,0.19,N/A,354477.099,655397.399,330767.799,596926.999,858558.5989999999,68679.64899999999,255183.299,286783.699,274884.299,766647.6989999999,680820.499,245907.799,256411.399,407735.999,139908.69900000002,112312.999,76345.319,92707.409,662928.799,122576.099,152727.69900000002,496351.199,496237.199,643266.0989999999,693866.899,376874.999,1079633.999,696368.5989999999,74165.699,74566.709,64171.239,552975.899,591539.399,398995.699,1008354.999,132501.499,568980.1989999999,105573.199,473002.199,295416.699,91352.11899999999,75599.699,100,100
PFOA (M-H-CO2),PFAS Standards,likely,16089,11.875,18.628,139.71,368.9773,1.9,0.15,N/A,0,5101.343,1082.342,6318.273999999999,7154.7,0,3270.0589999999997,0,1823.494,7143.504,0,0,0,2758.288,0,0,0,0,5219.331999999999,0,0,4566.896,2231.953,2624.1839999999997,0,4140.298,9419.83,5324.112,0,0,0,3116.1899999999996,3543.3149999999996,0,8837.661,0,1320.179,0,7560.8279999999995,0,0,0,100,100
PFOA (M-H-CO2),PFAS Standards,likely,86066,12.951,18.68,140.08,368.9787,5.69,0.42,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,549.3851000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,571.3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
PFHxS (M-H),PFAS Standards,likely,35568,8.197,19.795,148.605,398.9368,0.5,-1.27,N/A,15142.339,19073.9088,22575.449,17193.979,18644.979,11657.447,16802.489,23227.579,12867.919,18931.279,21613.939,24050.789,11317.619,21632.394,6437.111,81199.03899999999,11433.689,11169.109,21220.479,12631.85,12422.609,17200.139,16275.509,15514.458999999999,27686.929,18609.869,25035.189,21308.366,7243.409,5154.355,8913.798,26719.879,25965.509,23937.622,21583.509,37734.009000000005,30504.949,14106.909,21700.629,21275.629,11166.109,15693.208999999999,100,100
PFHxS (M-H),PFAS Standards,likely,636,8.633666666666665,20.203,151.00333333333333,398.9378,3.01,0.33,N/A,410346.799,894544.899,678798.1989999999,802494.799,914570.399,128077.799,755420.399,706380.1989999999,353195.199,1069864.999,676387.5989999999,440643.299,501898.199,647893.299,190400.299,728332.899,140340.999,165863.69900000002,1109618.999,159890.19900000002,210211.299,753718.499,733368.899,529336.5989999999,675585.399,805890.0989999999,1255047.999,1017602.999,141498.19900000002,165404.00600000002,164007.799,913672.999,1004391.999,458773.599,1177727.999,350439.699,691266.299,189852.59900000002,891671.299,356851.799,190623.09900000002,155136.94400000002,100,100
PFNA (M-H-CO2),PFAS Standards,likely,12796,12.080333333333334,19.756,147.51666666666665,418.97436666666664,2.31,0.34,N/A,3353.009,6063.826999999999,9181.655999999999,10000.32,5936.425,6630.025,4986.007,4723.634,4427.322,1752.109,7630.089,8524.825,9646.063999999998,4096.932,6754.225,6874.784,3476.3019999999997,4312.077,5390.532999999999,4869.147,12343.092,3137.6929999999998,10104.845,6645.96,10674.641,7104.344999999999,11581.729,14775.519999999999,7503.816999999999,7685.6939999999995,2570.508,6308.375999999999,13478.211000000001,9647.429,14200.840999999999,10493.839,11101.025,9930.403,10253.913,10449.915999999997,7685.481,10688.142,100,100
6:2 FTS (M-H),PFAS Standards,likely,94159,9.435,22.703,168.97500000000002,426.96905000000004,2.69,0.5,N/A,1513.344,3873.5629999999996,0,0,0,0,0,0,0,0,0,2503.4120000000003,0,35309.459,1080.2740000000001,4223.6939999999995,0,5921.883,1091.518,10756.009,1154.617,0,2279.493,0,6280.572,7884.629,1970.602,1870.054,860.3095000000001,990.6132,3626.923,2204.542,2242.6609999999996,0,1729.65,16824.539,0,1620.4270000000001,0,1293.088,5314.8189999999995,2667.3469999999998,100,100
PFHpS (M-H),PFAS Standards,likely,3270,9.472666666666667,21.469,159.07000000000002,448.93519999999995,4.01,-0.11,N/A,39183.728,109434.34700000001,50223.537,81232.518,100002.799,1062.031,44625.562000000005,56410.24800000001,34168.12,158065.745,78233.391,36604.879,37770.554000000004,48440.052,8870.041,1983.945,0,1722.9080000000001,83136.54199999999,727.3763,10068.329,60883.359000000004,62432.076,57354.619,58686.014,72162.505,123251.59599999999,90488.97,2114.9759999999997,1712.515,2044.244,83897.177,85226.69499999999,38613.479,128357.798,4338.33,51103.630000000005,0,96849.439,31445.325,1969.691,0,100,100
PFNA (M-H),PFAS Standards,likely,3794,10.42,22.241,165.51,462.9641,1.94,0.22,N/A,29782.159,76315.659,29049.269,52499.809,66787.239,6078.232,18713.039,28329.789,23700.918999999998,85996.529,67167.699,33638.129,23571.789,30104.749,16801.859,8400.682,10480.939,7601.451,37136.209,15554.128999999999,19893.459,45193.439000000006,36812.889,56026.249,52674.929000000004,49209.069,92671.28899999999,54983.779,10083.319,6595.915,0,50531.709,44189.679000000004,20749.289,79066.489,10953.339,44515.289000000004,11710.259,52978.019,16257.979,7627.458,4012.316,100,100
PFDA (M-H-CO2),PFAS Standards,likely,1942,11.219333333333333,21.039,156.02,468.9705333333333,0.71,0.48,N/A,3722033.698,7002812.898,3075822.468,5803857.098,7867474.198,1270103.4780000001,3277033.0779999997,3780800.148,3718727.4379999996,9384401.798,6720464.898,3512187.3279999997,3273946.3479999998,3739734.888,2611110.218,1746176.5180000002,1621387.448,1276866.7680000002,6071721.498,2293293.4179999996,3097468.658,5639103.598,4277358.198,7669858.2979999995,4877238.7979999995,5335159.898,10251039.197999999,6035902.498,1793061.208,1494786.5380000002,1024673.5179999999,4914518.898,5096722.398,2621959.9979999997,9403656.998,1712217.428,3629473.068,1648192.818,6610217.498,1852476.368,1457069.2880000002,556079.5079999999,100,100
PFDA (M-H),PFAS Standards,likely,82916,11.095500000000001,23.176,173.12,512.9603,0.58,-0.63,N/A,45467.639,99582.449,37483.149000000005,84422.319,120189.599,12518.769,48609.249,51923.439000000006,42637.199,145792.339,102971.299,51880.97900000001,45670.059,52351.529,30428.399,17847.129,14476.298999999999,11670.999,91383.139,26730.799,48526.309,77994.829,59020.289000000004,104455.099,77383.00899999999,73882.629,150221.799,87845.299,20603.199,17361.489,7300.2029999999995,63072.009000000005,76380.219,34778.179000000004,141794.799,16857.779,48309.499,20504.918999999998,104174.099,19934.319,14861.029,5246.472,100,100
