Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
No Match,None,unmatched,1053.0,2.3,18.95,145.2,230.0109,,,,436.999,261.999,468.999,509.999,355.999,329.999,0.0,210.999,87.5,296.0
No Match,None,unmatched,4370.0,10.1,18.41,140.8,230.0528,,,,0.0,0.0,189.999,0.0,0.0,0.0,0.0,125.999,25.0,38.0
No Match,None,unmatched,1813.0,3.6,17.07,130.7,232.0573,,,,311.999,235.999,0.0,211.999,196.999,381.999,0.0,0.0,62.5,156.0
No Match,None,unmatched,1848.0,3.1,19.71,150.8,232.9935,,,,324.999,203.999,235.999,0.0,230.999,217.999,0.0,175.999,75.0,163.0
No Match,None,unmatched,2799.0,5.3,18.9,144.5,238.0762,,,,0.0,185.999,165.999,168.999,239.999,0.0,0.0,0.0,50.0,90.0
No Match,None,unmatched,3497.0,6.3,17.65,134.7,239.0824,,,,0.0,251.999,185.999,0.0,0.0,0.0,194.999,123.999,50.0,90.0
No Match,None,unmatched,2299.0,6.6,17.62,134.7,239.0848,,,,271.999,108.999,150.999,0.0,330.999,199.999,0.0,0.0,62.5,125.0
No Match,None,unmatched,1819.0,3.9,18.42,140.7,240.9115,,,,356.999,193.999,379.999,334.999,0.0,0.0,0.0,0.0,50.0,146.0
No Match,None,unmatched,1984.0,3.9,18.43,140.9,242.9101,,,,217.999,0.0,281.999,188.999,251.999,208.999,112.999,0.0,75.0,149.0
No Match,None,unmatched,77.0,6.6,17.93,136.7,244.9059,,,,5877.999,5244.999,5253.999,4597.999,6988.999,6520.999,4088.999,3481.999,100.0,4684.0
No Match,None,unmatched,2536.0,7.0,17.93,136.6,244.9048,,,,0.0,347.999,0.0,0.0,0.0,0.0,277.999,311.999,37.5,108.0
No Match,None,unmatched,1217.0,2.6,20.37,155.4,245.0477,,,,379.999,214.999,328.999,339.999,392.999,233.999,153.999,184.999,100.0,259.0
No Match,None,unmatched,176.0,4.2,20.55,156.6,245.0468,,,,2815.999,1908.999,2801.999,2523.999,2290.999,2311.999,1700.999,1412.999,100.0,1985.0
No Match,None,unmatched,5509.0,8.8,19.15,146.4,246.0601,,,,0.0,0.0,148.999,136.999,0.0,0.0,0.0,0.0,25.0,35.0
No Match,None,unmatched,1844.0,4.6,17.63,134.3,246.0733,,,,0.0,440.999,0.0,0.0,0.0,0.0,565.999,416.999,37.5,162.0
No Match,None,unmatched,1817.0,6.8,17.95,136.7,246.9022,,,,0.0,580.999,0.0,0.0,0.0,0.0,482.999,360.999,37.5,162.0
No Match,None,unmatched,6193.0,6.4,17.89,136.4,250.897,,,,0.0,154.999,0.0,118.999,0.0,0.0,0.0,0.0,25.0,33.0
No Match,None,unmatched,4584.0,5.1,18.43,140.6,251.0028,,,,0.0,0.0,112.999,107.999,0.0,0.0,0.0,0.0,25.0,27.0
No Match,None,unmatched,4583.0,6.0,18.43,140.5,251.999,,,,201.999,0.0,0.0,0.0,0.0,0.0,0.0,241.999,25.0,52.0
No Match,None,unmatched,6372.0,13.2,18.49,140.8,252.0023,,,,0.0,0.0,0.0,0.0,148.999,0.0,111.999,0.0,25.0,32.0
No Match,None,unmatched,259.0,7.2,20.33,154.7,253.0818,,,,1555.2966855763084,1013.2966855763084,1371.2966855763084,1176.2966855763084,1553.2966855763084,1571.2966855763084,808.2966855763084,830.2966855763084,100.0,1109.0
No Match,None,unmatched,784.0,2.0,18.48,140.7,256.966,,,,482.999,371.999,591.999,520.999,411.999,507.999,321.999,323.999,100.0,404.0
No Match,None,unmatched,717.0,7.9,20.92,159.2,258.0856,,,,217.042380491975,0.0,123.042380491975,114.042380491975,0.0,0.0,0.0,0.0,37.5,55.0
No Match,None,unmatched,834.0,2.0,18.48,140.6,258.9645,,,,419.999,344.999,425.999,473.999,429.999,522.999,339.999,306.999,100.0,374.0
