Cluster,Point1,Point2,Distance
2,7,18,114.0654285781591
2,7,19,230.51850418861588
2,7,20,230.51850418861588
2,7,21,111.46299834474219
2,7,22,465.9630979698793
2,7,23,194.14420355055634
2,7,24,400.681639691594
2,7,25,151.07059188175222
2,7,26,146.12951675853796
2,7,27,146.12951675853796
2,8,9,402.0757817056992
2,8,10,343.281485420773
2,8,11,355.7883462613339
2,8,12,236.4851877153551
2,8,13,236.4851877153551
2,8,14,271.5511790244454
2,8,15,284.5613875927342
2,8,16,146.53319668589404
2,8,17,530.2589837083851
2,8,18,467.94146628580233
2,8,19,199.77863914419828
2,8,20,199.77863914419828
2,8,21,280.6354819376287
2,8,22,160.71275308065887
2,8,23,507.6792473725549
2,8,24,258.7360579614388
2,8,25,503.64767520724325
2,8,26,308.1084993749905
2,8,27,308.1084993749905
2,9,10,172.95962027972362
2,9,11,213.91435665829448
2,9,12,235.0360620101668
2,9,13,235.0360620101668
2,9,14,130.52710996461812
2,9,15,352.90063719013267
2,9,16,298.53588267163263
2,9,17,188.9627233607006
2,9,18,69.84509535392992
2,9,19,234.02656773118767
2,9,20,234.02656773118767
2,9,21,122.29811746537713
2,9,22,478.4260147193862
2,9,23,243.03501434162703
2,9,24,385.2992972267597
2,9,25,178.09749753306332
2,9,26,122.14118856725129
2,9,27,122.14118856725129
2,10,11,43.08449733531175
2,10,12,111.00755701678766
2,10,13,111.00755701678766
2,10,14,151.06267476910722
2,10,15,423.2469506276362
2,10,16,202.06603720896538
2,10,17,196.21624315333958
2,10,18,198.4916494427683
2,10,19,261.1947023785774
2,10,20,261.1947023785774
2,10,21,161.54032703829782
2,10,22,469.34154987894584
2,10,23,165.61196487677603
2,10,24,439.2533429349422
2,10,25,167.3190856364457
2,10,26,214.7624590483886
2,10,27,214.7624590483886
2,11,12,119.35139637505661
2,11,13,119.35139637505661
2,11,14,190.53330216988607
2,11,15,459.38149245568917
2,11,16,210.20943699230418
2,11,17,207.10227956790456
2,11,18,232.98285097303778
2,11,19,295.01316136465124
2,11,20,295.01316136465124
2,11,21,202.01196045446994
2,11,22,490.8723851722749
2,11,23,154.78295521054437
2,11,24,472.8472278921113
2,11,25,177.5903656470062
2,11,26,256.7086252979024
2,11,27,256.7086252979024
2,12,13,0.0
2,12,14,140.91211269238642
2,12,15,370.9894898059134
2,12,16,91.83198838518354
2,12,17,306.3468533497445
2,12,18,282.9306262567849
2,12,19,205.1969291481912
2,12,20,205.1969291481912
2,12,21,156.35730659608342
2,12,22,374.21782471103046
2,12,23,271.9474780020083
2,12,24,376.075558552253
2,12,25,277.81283650408153
2,12,26,215.0049456401291
2,12,27,215.0049456401291
2,13,14,140.91211269238642
2,13,15,370.9894898059134
2,13,16,91.83198838518354
2,13,17,306.3468533497445
2,13,18,282.9306262567849
2,13,19,205.1969291481912
2,13,20,205.1969291481912
2,13,21,156.35730659608342
2,13,22,374.21782471103046
2,13,23,271.9474780020083
2,13,24,376.075558552253
2,13,25,277.81283650408153
2,13,26,215.0049456401291
2,13,27,215.0049456401291
2,14,15,274.3668186417883
2,14,16,177.76592928694922
2,14,17,282.38170137391324
2,14,18,197.2341634158626
2,14,19,120.86996170163444
2,14,20,120.86996170163444
2,14,21,15.5
2,14,22,357.39339932867546
2,14,23,296.3100502893191
2,14,24,294.73440869709253
2,14,25,260.97697435125025
2,14,26,74.42638134116562
2,14,27,74.42638134116562
2,15,16,333.4224083784743
2,15,17,538.773416758944
2,15,18,418.22275979095036
2,15,19,166.4740645499066
2,15,20,166.4740645499066
2,15,21,267.37561279731034
2,15,22,218.4281600061611
2,15,23,568.7028040146206
2,15,24,47.45024259611832
2,15,25,522.7527931929304
2,15,26,233.53377880866668
2,15,27,233.53377880866668
2,16,17,395.495163878576
2,16,18,356.02870363921073
2,16,19,181.74501072595726
2,16,20,181.74501072595726
2,16,21,191.8457842306546
2,16,22,293.6603514117484
2,16,23,363.6944254455223
2,16,24,327.5604695553143
2,16,25,367.49064811083156
2,16,26,241.09194152611676
2,16,27,241.09194152611676
2,17,18,138.18985609715295
2,17,19,402.24968325865865
2,17,20,402.24968325865865
2,17,21,282.553813747129
2,17,22,638.0649808907889
2,17,23,99.74449145956254
2,17,24,567.8582299999279
2,17,25,29.51734229641356
2,17,26,305.26995214364274
2,17,27,305.26995214364274
2,18,19,303.8671409696028
2,18,20,303.8671409696028
2,18,21,190.5486960868327
2,18,22,548.2143925275305
2,18,23,214.43582463430985
2,18,24,452.4720375472025
2,18,25,136.84266681087672
2,18,26,190.8895517796898
2,18,27,190.8895517796898
2,19,20,0.0
2,19,21,119.73255078817988
2,19,22,244.6079368052475
2,19,23,415.64519970288615
2,19,24,178.09797697772328
2,19,25,381.58895058475326
2,19,26,118.71583357850486
2,19,27,118.71583357850486
2,20,21,119.73255078817988
2,20,22,244.6079368052475
2,20,23,415.64519970288615
2,20,24,178.09797697772328
2,20,25,381.58895058475326
2,20,26,118.71583357850486
2,20,27,118.71583357850486
2,21,22,360.24298439659253
2,21,23,301.64300147987416
2,21,24,289.8972865998083
2,21,25,262.34070960323936
2,21,26,59.33757224274121
2,21,27,59.33757224274121
2,22,23,634.3229968453234
2,22,24,174.16625213508001
2,22,25,614.6518751024778
2,22,26,361.9844012134453
2,22,27,361.9844012134453
2,23,24,591.0263100507176
2,23,25,82.33564478850028
2,23,26,340.19109699722907
2,23,27,340.19109699722907
2,24,25,550.1423357387022
2,24,26,263.7157646202586
2,24,27,263.7157646202586
2,25,26,289.4714016797794
2,25,27,289.4714016797794
2,26,27,0.0
