SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,PIMMS_m/z,CEF_Peak_mz,ppm_error,CCS_PIMMS,CCS_CEF,ID,RT_PIMMS,DT,CCS,m/z,NIST SRM-1957 1.d.DeMP,RT_CEF,Peak_mz,Peak_intensity,CCS_percent_diff,RT_diff,NIST SRM-1957 10.d.DeMP,NIST SRM-1957 2.d.DeMP,NIST SRM-1957 3.d.DeMP,NIST SRM-1957 6.d.DeMP,NIST SRM-1957 7.d.DeMP,NIST SRM-1957 8.d.DeMP,NIST SRM-1957 9.d.DeMP
NIST SRM-1957 2.d.DeMP,41.0,No,0.00025299177057311323,0.006078619781001273,-0.0002529836565166978,2.03,398.9329,398.93477,4.687505091700152,149.97,151.243709921123,1898.0,8.498666667,20.1797924041748,151.243709921123,398.93477,,8.584,398.93477,9300.0,0.8493098093772183,0.08533333299999946,,9299.999,,,,,
NIST SRM-1957 2.d.DeMP,43.0,No,0.0008819210147919268,0.0037755252104215327,-0.000881920116840647,1.99,498.92595,498.92789,3.8883525701369206,164.225,166.995805660057,5764.0,10.1725,22.4313201904297,166.995805660057,498.92789,,10.283,498.92789,8966.0,1.687200889058909,0.11050000000000004,,8965.999,,,,,
NIST SRM-1957 2.d.DeMP,77.0,Cl0_Br1,0.016764408371809064,-0.007008558950175119,-0.016764408209030683,0.89,244.9058667,244.9065,2.585891504101137,136.69,137.08269365532,77.0,6.616333333,17.9224700927734,137.08269365532,244.9065,,6.477,244.9065,5254.0,0.28728777183408916,0.13933333299999973,,5253.999,,,,,
NIST SRM-1957 2.d.DeMP,104.0,No,0.0033111350092918553,0.003453443615610153,0.003311134809188045,1.93,368.971425,368.97395,6.843348370382478,139.54,139.926080618402,4708.0,9.53275,18.6189098358154,139.926080618402,368.97395,,9.579,368.97395,4506.0,0.2766809648860679,0.04625000000000057,,4505.999,,,,,
NIST SRM-1957 3.d.DeMP,41.0,No,0.0014302273992866563,0.007887366413246527,0.0014302249827866445,2.06,398.9329,398.93626,8.422469041752347,149.97,150.67290023821,1898.0,8.498666667,20.1035709381104,150.67290023821,398.93626,,8.579,398.93626,8913.0,0.46869389758617847,0.08033333300000045,,,8912.999,,,,
NIST SRM-1957 3.d.DeMP,43.0,No,4.24775732064716e-05,0.0045437356530317035,-4.245056274449106e-05,2.06,498.92595,498.92944,6.9950260153822965,164.225,165.725707140555,5764.0,10.1725,22.260591506958,165.725707140555,498.92944,,10.25,498.92944,8090.0,0.9138116246338825,0.07750000000000057,,,8089.999,,,,
NIST SRM-1957 3.d.DeMP,77.0,Cl3_Br0,0.016407916726177856,-0.005266675063411678,-0.01640791663226023,1.02,244.9058667,244.90751,6.709925009779297,136.69,136.497696625595,77.0,6.616333333,17.8459186553955,136.497696625595,244.90751,,6.467,244.90751,4598.0,0.140685766628858,0.1493333330000004,,,4597.999,,,,
NIST SRM-1957 3.d.DeMP,105.0,No,0.005772866291659881,0.0056089568043284285,0.005772865988898694,2.46,368.971425,368.97496,9.580687718566281,139.54,139.223304770709,4708.0,9.53275,18.5253143310547,139.223304770709,368.97496,,9.572,368.97496,4030.0,0.2269565925834782,0.03924999999999912,,,4029.999,,,,
NIST SRM-1957 6.d.DeMP,12.0,No,0.0010274611045930208,0.003671582546105148,-0.0010274603756915074,1.96,498.9239667,498.92741,6.901452385199508,168.5333333,168.502203849925,12.0,10.63766667,22.6919364929199,168.502203849925,498.92741,,10.487,498.92741,27650.0,0.018470797120947742,0.15066666999999967,,,,27649.999,,,
NIST SRM-1957 6.d.DeMP,40.0,No,0.00013019669342914783,0.0064568861164908745,0.00013017890230184945,2.33,398.9329,398.93528,5.965915571164064,149.97,150.714644994272,1898.0,8.498666667,20.1517543792725,150.714644994272,398.93528,,8.557,398.93528,12497.0,0.4965293020417375,0.05833333300000021,,,,12496.999,,,
NIST SRM-1957 6.d.DeMP,42.0,No,0.0012193342795803694,0.006343762475652851,0.0012193324460045823,2.13,498.92595,498.92757,3.246974826630323,164.225,165.617972789227,5764.0,10.1725,22.3018474578857,165.617972789227,498.92757,,10.233,498.92757,11967.0,0.8482099492933489,0.06050000000000111,,,,11966.999,,,
NIST SRM-1957 6.d.DeMP,74.0,Cl3_Br0,0.016438563507704028,-0.006172478850995787,-0.01643856337894347,1.01,244.9058667,244.90823,9.64983008311564,136.69,136.693861951142,77.0,6.616333333,17.9004554748535,136.693861951142,244.90823,,6.432,244.90823,6989.0,0.002825335534420585,0.18433333299999966,,,,6988.999,,,
NIST SRM-1957 6.d.DeMP,100.0,No,0.0044401042265528766,0.0044579708040992745,0.004440103977891243,2.24,368.971425,368.97434,7.900340791900439,139.54,139.527030728775,4708.0,9.53275,18.5988922119141,139.527030728775,368.97434,,9.552,368.97434,4469.0,0.009294303586777372,0.019249999999999545,,,,4468.999,,,
NIST SRM-1957 6.d.DeMP,376.0,No,0.0031893673650891315,0.001824933732087122,-0.0031893673070772237,1.76,448.9291,448.92963,1.1805873131620945,159.73,159.51914791878,420.0,9.584,21.4134159088135,159.51914791878,448.92963,,9.615,448.92963,1020.0,0.13200530972265512,0.031000000000000583,,,,1019.999,,,
NIST SRM-1957 7.d.DeMP,12.0,No,0.0012814592236141701,0.0033549185684006956,-0.0012814587356513273,1.92,498.9239667,498.92749,7.061797458413145,168.5333333,168.815729980624,12.0,10.63766667,22.7343406677246,168.815729980624,498.92749,,10.483,498.92749,26701.0,0.16756132160592807,0.15466666999999923,,,,,26700.999,,
NIST SRM-1957 7.d.DeMP,40.0,No,0.0019127041477072348,0.0038179505706931486,-0.0019127037243174784,1.99,398.9329,398.93542,6.316851781349882,149.97,150.990814705506,1898.0,8.498666667,20.1888599395752,150.990814705506,398.93542,,8.554,398.93542,11900.0,0.68067927285858,0.055333333000000096,,,,,11899.999,,
NIST SRM-1957 7.d.DeMP,41.0,No,0.00021684612737230634,0.0050829307861975795,0.0002168395080908974,1.84,498.92595,498.92794,3.988567842538464,164.225,165.968021813702,5764.0,10.1725,22.3491916656494,165.968021813702,498.92794,,10.231,498.92794,12203.0,1.06136204213853,0.05850000000000044,,,,,12202.999,,
NIST SRM-1957 7.d.DeMP,97.0,No,0.004453117023552062,0.004462142083903428,0.004453116775152864,2.24,368.971425,368.97439,8.035852640939405,139.54,139.785901628743,4708.0,9.53275,18.633581161499,139.785901628743,368.97439,,9.55,368.97439,3915.0,0.1762230390877262,0.017250000000000654,,,,,3914.999,,
NIST SRM-1957 7.d.DeMP,361.0,No,0.0033760614917176593,0.0014652795325824784,-0.0033760614563864816,1.69,448.9291,448.93046,3.029431596162813,159.73,159.924596329036,420.0,9.584,21.4680919647217,159.924596329036,448.93046,,9.609,448.93046,1098.0,0.1218282908883847,0.025000000000000355,,,,,1097.999,,
NIST SRM-1957 8.d.DeMP,12.0,No,0.001786855954377944,0.003089057480865428,-0.0017868556576967854,1.95,498.9239667,498.9251,2.271488394290104,168.5333333,168.408414348362,12.0,10.63766667,22.7355995178223,168.408414348362,498.9251,,10.406,498.9251,17607.0,0.07412121340747414,0.2316666699999992,,,,,,17606.999,
NIST SRM-1957 8.d.DeMP,40.0,No,0.0007844558540209972,0.005817318820141446,-0.000784453457366766,2.03,398.9329,398.93283,0.17546810502166466,149.97,150.693878842855,1898.0,8.498666667,20.1995391845703,150.693878842855,398.93283,,8.469,398.93283,7661.0,0.4826824317230214,0.029666667000000757,,,,,,7660.999,
NIST SRM-1957 8.d.DeMP,42.0,No,0.00037821202169266465,0.0057239221459447,0.0003782072090638706,2.23,498.92595,498.92516,1.5834013043317579,164.225,165.537487684632,5764.0,10.1725,22.3464241027832,165.537487684632,498.92516,,10.153,498.92516,7441.0,0.7992009040231411,0.019499999999998963,,,,,,7440.999,
NIST SRM-1957 8.d.DeMP,75.0,Cl0_Br1,0.01660498891768711,-0.005039734709096326,-0.01660498883270955,1.02,244.9058667,244.90591,0.1768026246132124,136.69,136.621376547724,77.0,6.616333333,17.9363307952881,136.621376547724,244.90591,,6.325,244.90591,4089.0,0.05020371078791448,0.29133333299999986,,,,,,4088.999,
NIST SRM-1957 8.d.DeMP,101.0,No,0.00674334050251284,0.0071281953219661034,0.006743340083900909,2.42,368.971425,368.97161,0.5013938409665931,139.54,139.499329601338,4708.0,9.53275,18.6422100067139,139.499329601338,368.97161,,9.467,368.97161,2760.0,0.029146050352588236,0.06574999999999953,,,,,,2759.999,
NIST SRM-1957 9.d.DeMP,12.0,No,0.001130474146805645,0.0067767126889526,0.0011304718899413785,2.38,498.9239667,498.92438,0.8283827347977109,168.5333333,168.324603378852,12.0,10.63766667,22.7242374420166,168.324603378852,498.92438,,10.389,498.92438,17656.0,0.12385082349048025,0.24866667000000042,,,,,,,17655.999
NIST SRM-1957 9.d.DeMP,39.0,No,0.002988607086611257,0.010982621976824767,0.0029886048444290256,2.5,398.9329,398.932,2.2560184933392438,149.97,150.686736481782,1898.0,8.498666667,20.1985759735107,150.686736481782,398.932,,8.453,398.932,7313.0,0.47791990516902916,0.04566666700000077,,,,,,,7312.999
NIST SRM-1957 9.d.DeMP,40.0,No,0.0001585546367957937,0.005545412603875268,0.0001585438614544769,2.23,498.92595,498.92461,2.685769301090533,164.225,165.584037449029,5764.0,10.1725,22.3527336120605,165.584037449029,498.92461,,10.137,498.92461,7154.0,0.8275460185897502,0.03549999999999898,,,,,,,7153.999
NIST SRM-1957 9.d.DeMP,74.0,Cl0_Br1,0.01664367822678567,-0.004888619682875942,-0.01664367814701363,1.06,244.9058667,244.90552,1.4156459568159907,136.69,136.676511556746,77.0,6.616333333,17.9436054229736,136.676511556746,244.90552,,6.312,244.90552,3482.0,0.009867907860124939,0.30433333299999976,,,,,,,3481.999
NIST SRM-1957 9.d.DeMP,101.0,No,0.006969185902495302,0.007379636948538143,0.006969185468369646,2.17,368.971425,368.97143,0.01355118485767892,139.54,139.446062171528,4708.0,9.53275,18.6350555419922,139.446062171528,368.97143,,9.453,368.97143,2719.0,0.06731964201804458,0.07975000000000065,,,,,,,2718.999
