Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,148 B2 16632.d.DeMP, 149 B2 16631.d.DeMP, 220 B3 16562.d.DeMP, 221 B3 16563.d.DeMP, 291 B4 16634.d.DeMP, 295 B4 16707.d.DeMP
PFECA G (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100067,4.24,0.0,138.97,334.9747,0.0,0.0,0.0,0.0,0.0,0.0
ADONA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100068,10.95,0.0,139.58,332.979,0.0,0.0,0.0,0.0,0.0,0.0
HFPO-DA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100069,7.14,0.0,127.46,284.9779,0.0,0.0,0.0,0.0,0.0,0.0
PEPA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100070,5.01,0.0,120.92,234.9811,0.0,0.0,0.0,0.0,0.0,0.0
PEPA* (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100071,5.01,0.0,190.2,234.9811,0.0,0.0,0.0,0.0,0.0,0.0
PFMOBA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100072,5.18,0.0,184.7,558.938,0.0,0.0,0.0,0.0,0.0,0.0
PFMOBA* (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100073,5.18,0.0,187.9,278.9694,0.0,0.0,0.0,0.0,0.0,0.0
PMPA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100074,2.56,0.0,115.2,184.9843,0.0,0.0,0.0,0.0,0.0,0.0
PMPA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100075,2.56,0.0,167.9,458.9471,0.0,0.0,0.0,0.0,0.0,0.0
PMPA* (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100076,2.56,0.0,173.9,184.9843,0.0,0.0,0.0,0.0,0.0,0.0
PFMPA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100077,2.95,0.0,115.45,458.9461,0.0,0.0,0.0,0.0,0.0,0.0
PFMPA* (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100078,2.95,0.0,174.9,228.9738,0.0,0.0,0.0,0.0,0.0,0.0
Nafion Byproduct 1 (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100079,9.06,0.0,156.2,442.9264,0.0,0.0,0.0,0.0,0.0,0.0
Nafion Byproduct 2 (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100080,8.46,0.0,155.21,462.9327,0.0,0.0,0.0,0.0,0.0,0.0
Nafion Byproduct 4 (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100081,2.8,0.0,151.27,440.9308,0.0,0.0,0.0,0.0,0.0,0.0
Nafion Byproduct 5 (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100082,3.04,0.0,152.91,438.9351,0.0,0.0,0.0,0.0,0.0,0.0
Nafion Byproduct 6 (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100083,8.55,0.0,146.16,396.9409,0.0,0.0,0.0,0.0,0.0,0.0
PFEESA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100084,6.31,0.0,137.99,314.9379,0.0,0.0,0.0,0.0,0.0,0.0
NVHOS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100085,3.41,0.0,132.93,296.9473,0.0,0.0,0.0,0.0,0.0,0.0
9Cl-PF3ONS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100086,10.82,0.0,170.24,530.8956,0.0,0.0,0.0,0.0,0.0,0.0
11Cl-PF3OUdS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100087,12.1,0.0,186.52,630.8892,0.0,0.0,0.0,0.0,0.0,0.0
