PIMMS_m/z,RT_PIMMS,CCS_PIMMS,DT_PIMMS,PIMMS_Intensity,Compound,Match_ID,Classification Type,Sample,RT,DT,CCS,Peak_mz,Peak_intensity,SourceFile
244.9074,6.4,136.7,17.86,22459.999,37,No Match,unmatched,45 2854 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90402,512.0,45 2854 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,22459.999,37,No Match,unmatched,45 2854 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89792,502.0,45 2854 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,27117.999,38,No Match,unmatched,47 2911 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90793,27118.0,47 2911 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,27117.999,38,No Match,unmatched,47 2911 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,245.91025,1917.0,47 2911 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,27117.999,38,No Match,unmatched,47 2911 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90503,25812.0,47 2911 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,27117.999,38,No Match,unmatched,47 2911 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90759,1939.0,47 2911 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,27117.999,38,No Match,unmatched,47 2911 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90166,8055.0,47 2911 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,27117.999,38,No Match,unmatched,47 2911 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90375,577.0,47 2911 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,27117.999,38,No Match,unmatched,47 2911 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89815,555.0,47 2911 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,4957.999,37,No Match,unmatched,48 2911 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90746,4958.0,48 2911 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,4957.999,37,No Match,unmatched,48 2911 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,245.91024,272.0,48 2911 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,4957.999,37,No Match,unmatched,48 2911 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90432,4622.0,48 2911 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,4957.999,37,No Match,unmatched,48 2911 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90661,308.0,48 2911 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,4957.999,37,No Match,unmatched,48 2911 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90116,1309.0,48 2911 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,1754.999,39,No Match,unmatched,49 2911 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90712,1755.0,49 2911 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,1754.999,39,No Match,unmatched,49 2911 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,245.90892,136.0,49 2911 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,1754.999,39,No Match,unmatched,49 2911 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90379,1639.0,49 2911 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,1754.999,39,No Match,unmatched,49 2911 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90646,139.0,49 2911 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,1754.999,39,No Match,unmatched,49 2911 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90094,482.0,49 2911 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,26686.999,39,No Match,unmatched,80 2003 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,244.9073,26687.0,80 2003 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,26686.999,39,No Match,unmatched,80 2003 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,245.90967,1964.0,80 2003 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,26686.999,39,No Match,unmatched,80 2003 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90442,26041.0,80 2003 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,26686.999,39,No Match,unmatched,80 2003 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90653,1914.0,80 2003 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,26686.999,39,No Match,unmatched,80 2003 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90117,7741.0,80 2003 - Serum.d.DeMP.cef
