Group,Peak,ID,RT,CCS,.d.DeMP
98,427.0185,23027,0.496,200.56,216.999
98,427.2182,8103,0.613,197.37,154.999
99,427.2909,20928,2.321,209.26,132.999
99,428.288,14155,2.233,210.65,284.999
100,431.2186,1821,2.51,202.66,3107.999
100,431.3189,2993,2.586,206.02,283.999
101,431.3165,5658,3.252,212.94,323.999
101,432.3197,8290,3.284,209.79,1378.999
102,431.3168,476,2.252,209.7,3630.999
102,432.3199,12552,2.297,213.5,192.999
103,431.3194,10599,3.363,210.54,535.999
103,432.3197,8290,3.284,209.79,1378.999
104,433.3351,6324,3.663,219.73,455.66789896603177
104,434.336,5117,3.521,219.13,348.999
105,435.2526,290,2.788,205.02,26106.96520805858
105,436.2525,6208,2.617,205.31,909.3010204362496
106,435.2554,2526,2.744,204.3,9096.387645546689
106,436.2525,6208,2.617,205.31,909.3010204362496
107,435.3489,908,3.845,219.37,9592.999
107,436.351,9995,3.876,219.27,233.999
108,435.3507,3504,4.489,210.9,2982.777888888889
108,436.3496,12222,4.29,212.53,287.8844843919726
109,438.199,8296,2.054,202.13,1355.999
109,439.1964,18024,2.133,203.94,33.66677777777775
110,439.2512,21385,1.856,203.39,188.999
110,440.2503,20919,1.761,206.19,127.999
111,441.2006,20036,0.249,199.42,90.999
111,442.1972,17362,0.386,196.04,230.999
112,445.2344,4636,2.464,204.56,2.0001111111111243
112,445.3346,14062,2.612,204.28,853.999
113,445.3331,812,3.691,216.54,2280.999
113,446.3331,680,3.594,214.91,7196.999
114,449.2326,9811,1.847,205.9,158.999
114,450.2338,11624,2.045,209.81,137.999
115,449.3278,5053,2.598,218.79,1319.999
115,450.331,6694,2.753,219.02,636.999
116,449.3309,8243,2.826,218.22,1827.999
116,450.331,6694,2.753,219.02,636.999
117,450.2649,4161,2.611,207.94,1308.999
117,451.2685,12571,2.627,208.31,173.7778888888889
118,451.1854,14782,2.615,205.82,332.999
118,451.2522,17254,2.582,207.12,537.6667777777777
119,451.3063,8198,1.766,216.12,764.999
119,452.309,19444,1.903,212.51,226.999
120,451.3065,4327,1.993,217.49,245.77788888888887
120,452.3101,14519,1.88,217.45,217.999
121,451.3082,14967,1.902,214.03,519.999
