,Name,Classification Type,CCS,RT,m/z,ID,GroupID,Repeating Unit
283,PFOPA,tentative,26.36,10.449,498.937,86798.0,25,CF2
284,PFDS (M-H),likely,183.682,11.7154,598.9239,62254.0,25,CF2
285,PFBS (M-H),likely,133.83,5.333,298.9434,1377.0,25,CF2
286,Perfluoro-2-(trifluoromethyl)propanesulphonic acid or Perfluorobutanesulfonic acid,tentative,163.88,8.958,298.9441,61498.0,25,CF2
287,PFHpS (M-H),likely,159.07000000000002,9.472666666666669,448.9352,3270.0,25,CF2
288,PFNS (M-H),likely,175.67,11.035000000000002,548.9287333333333,26710.0,25,CF2
302,No Match,unmatched,174.44,11.208,469.1015,81788.0,30,CF2
304,No Match,unmatched,165.58,10.429,419.1031,79173.0,30,CF2
305,No Match,unmatched,169.39,1.726,319.1062,69350.0,30,CF2
313,6:2 Fluorotelomer phosphate monoester,tentative,147.89,10.176000000000002,442.9735666666667,16171.0,32,CF2
314,"2,2,3,3-Tetrafluoro-3-({1,1,1,2,3,3-hexafluoro-3-[(trifluoroethenyl)oxy]propan-2-yl}oxy)propan-1-ol or [(Tridecafluorohexyl)oxy]acetic acid",tentative,142.37750000000003,9.40475,392.9774000000001,14799.0,32,CF2
315,"2,2-Difluoro-3-(nonafluorobutoxy)propanoic acid",tentative,136.17000000000002,8.220500000000001,342.98105,65216.0,32,CF2
316,8:2:1 Fluorotelomer thioether acetic acid,tentative,173.05,13.145,536.978,25428.0,33,CF2
317,No Match,unmatched,163.94,12.665,486.9809,62918.0,33,CF2
318,No Match,unmatched,155.49,12.074,436.983,16680.0,33,CF2
319,No Match,unmatched,146.93,11.397,386.9872,65323.0,33,CF2
320,"Perfluoro(3,3'-(piperazine-1,4-diyl)dipropanoic acid)",tentative,169.70333333333335,13.15,516.9718333333334,12632.0,34,CF2
321,"Perfluoro(3,3'-(piperazine-1,4-diyl)dipropanoic acid)",tentative,191.99,10.421,516.9724,8786.0,34,CF2
322,No Match,unmatched,209.21,11.879,616.9649,2462.0,34,CF2
323,No Match,unmatched,202.5,11.879,616.9671,19288.0,34,CF2
324,No Match,unmatched,154.72,12.072,416.9771,29224.0,34,CF2
325,No Match,unmatched,151.02,12.072,416.9781,11827.0,34,CF2
326,No Match,unmatched,200.6,11.209,566.9687,8906.0,34,CF2
327,No Match,unmatched,217.63,12.456,666.9621,19454.0,34,CF2
328,No Match,unmatched,225.78,12.949,716.9581,8551.0,34,CF2
329,No Match,unmatched,159.6,12.654,466.9734,35736.0,34,CF2
330,No Match,unmatched,163.09,12.651,466.9735,44259.0,34,CF2
331,No Match,unmatched,147.46,10.421,419.1166,2084.0,35,CF2
332,No Match,unmatched,183.32,11.88,519.1069,76242.0,35,CF2
333,No Match,unmatched,155.62,11.205,469.1128,17336.0,35,CF2
335,No Match,unmatched,183.41,11.83,674.9715,53731.0,36,CF2
336,No Match,unmatched,214.12,11.881,674.9722,90807.0,36,CF2
338,No Match,unmatched,176.84,11.21,624.9741,59085.0,36,CF2
339,No Match,unmatched,210.31,13.624,874.9564,46246.0,36,CF2
340,No Match,unmatched,216.91,13.959,924.9567,51801.0,36,CF2
341,"((Perfluorooctyl)ethyl)silanetriol or 6-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexylsulfonyl)naphthalen-2-ol",tentative,166.01,9.667,524.9809,8046.0,36,CF2
342,"((Perfluorooctyl)ethyl)silanetriol or 6-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexylsulfonyl)naphthalen-2-ol",tentative,183.44,11.876,524.9866,4884.0,36,CF2
343,No Match,unmatched,223.96,14.267,974.9493,55275.0,36,CF2
344,No Match,unmatched,159.52,8.701,474.9848,9788.0,36,CF2
345,"(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl)silanetriol",tentative,152.56,7.534,424.9885,65976.0,36,CF2
347,Bis[N-methyl(perfluorobutyl)sulfonamidoethyl]phosphoric acid,tentative,196.39,12.825,774.9609,77628.0,36,CF2
348,Bis[N-methyl(perfluorobutyl)sulfonamidoethyl]phosphoric acid,tentative,234.06,10.94,774.9673,95751.0,36,CF2
349,"Butanamide, N-(4'-(acetylamino)-3,3'-dichloro(1,1'-biphenyl)-4-yl)-2,2,3,3,4,4,4-heptafluoro-",tentative,167.01,9.148,488.9997,23901.0,37,CF2
350,4-(Heptadecafluorooctyl)benzoic acid,tentative,170.74,10.047,538.9964,66158.0,37,CF2
351,"2-(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctane-1-sulfinyl)ethan-1-ol or Benzoic acid, 4-(tridecafluorohexyl)-",tentative,158.93,8.068,439.0018,81675.0,37,CF2
352,14-H-Perfluorotetradecanoic acid,tentative,198.725,14.0475,694.9559,5755.0,38,CF2
353,14-H-Perfluorotetradecanoic acid,tentative,183.67,15.563,694.956,3107.0,38,CF2
354,14-H-Perfluorotetradecanoic acid,tentative,183.9025,14.638749999999996,694.9563750000001,72937.0,38,CF2
355,14-H-Perfluorotetradecanoic acid,tentative,183.632,12.6286,694.95646,79776.0,38,CF2
356,14-H-Perfluorotetradecanoic acid,tentative,94.77,12.304,694.9636,95044.0,38,CF2
357,"10-H-Perfluorodecanoic acid or N-{4-[(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)amino]benzene-1-sulfonyl}acetamide",tentative,159.315,9.741,494.97065,77760.0,38,CF2
358,"10-H-Perfluorodecanoic acid or N-{4-[(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)amino]benzene-1-sulfonyl}acetamide",tentative,179.39,9.481,494.9719,69101.0,38,CF2
360,16-H-Perfluorohexadecanoic acid,tentative,197.02375,14.261625,794.94896875,40109.0,38,CF2
361,16-H-Perfluorohexadecanoic acid,tentative,230.33,13.3135,794.9512,30055.0,38,CF2
363,13-H-Perfluorotridecanoic acid,tentative,177.33023255813953,14.662069767441862,644.960688372093,90425.0,38,CF2
364,13-H-Perfluorotridecanoic acid,tentative,177.27,13.095666666666666,644.9609,3247.0,38,CF2
365,13-H-Perfluorotridecanoic acid,tentative,205.05,11.88,644.961,1096.0,38,CF2
366,13-H-Perfluorotridecanoic acid,tentative,87.86,11.831,644.9638,86238.0,38,CF2
367,No Match,unmatched,176.85,12.988,644.9709,90086.0,38,CF2
368,12-H-Perfluorododecanoic acid,tentative,196.37,11.209,594.9628,3770.0,38,CF2
369,12-H-Perfluorododecanoic acid,tentative,171.88,11.221,594.9635,10406.0,38,CF2
370,"1-Decanol, 7,7,8,8,9,9,10,10,10-nonafluoro-5-iodo- or 9-H-Perfluorononanoic acid",tentative,152.38,8.782,444.9741,80016.0,38,CF2
371,No Match,unmatched,224.10166666666663,15.245833333333335,994.937075,17634.0,38,CF2
372,"1-Dodecanol, 7,7,8,8,9,9,10,10,11,11,12,12,12-tridecafluoro-5-iodo- or 11-H-Perfluoroundecanoic acid",tentative,182.53,11.572,544.964,89653.0,38,CF2
373,"1-Dodecanol, 7,7,8,8,9,9,10,10,11,11,12,12,12-tridecafluoro-5-iodo- or 11-H-Perfluoroundecanoic acid",tentative,187.74,10.422,544.9669,3487.0,38,CF2
374,"1-Dodecanol, 7,7,8,8,9,9,10,10,11,11,12,12,12-tridecafluoro-5-iodo- or 11-H-Perfluoroundecanoic acid",tentative,165.62,10.514,544.9687,59613.0,38,CF2
376,17-H-Perfluoroheptadecanoic acid,tentative,215.45333333333332,14.887666666666666,844.9469,24569.0,38,CF2
377,No Match,unmatched,230.81166666666664,15.292666666666667,1044.934616666667,25333.0,38,CF2
378,15-H-Perfluoropentadecanoic acid,tentative,190.44833333333335,14.846166666666669,744.9534333333332,6047.0,38,CF2
379,15-H-Perfluoropentadecanoic acid,tentative,193.90666666666667,13.241111111111111,744.9539333333333,27403.0,38,CF2
380,15-H-Perfluoropentadecanoic acid,tentative,222.75,12.802,744.9593,94537.0,38,CF2
382,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18-tetratriacontafluorooctadecanoic acid",tentative,215.46263157894737,15.023157894736842,894.9420105263158,30409.0,38,CF2
383,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18-tetratriacontafluorooctadecanoic acid",tentative,211.02,13.72,894.9438,78496.0,38,CF2
384,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18-tetratriacontafluorooctadecanoic acid",tentative,261.8,13.576,894.9515,78489.0,38,CF2
385,No Match,unmatched,161.385,13.243,499.971,6220.0,39,CF2
