Mass,Abundance
432.06844,7.128
432.54708,9.072
432.54708,108.216
432.54708,152.928
432.54708,138.024
432.55299,46.008
432.55299,148.392
432.55299,209.952
432.55299,158.436
432.5589,31.752
432.5589,148.068
432.5589,201.204
432.5589,158.76
432.56481,14.904
432.56481,57.348
432.56481,79.704
432.56481,58.644
432.57072,16.848
432.57072,32.076
432.57072,15.228
432.57663,6.804
