,Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP
372,No Match,None,unmatched,4099,12.669,18.383,140.55,233.0398,,,,0,252.999,0,0,263.999,0,0,0
373,No Match,None,unmatched,7708,9.766,19.792,151.61,233.1146,,,,93.999,0,0,0,0,81.999,0,0
374,No Match,None,unmatched,912,13.594,19.819,151.63,233.1149,,,,477.999,321.999,565.999,500.999,291.999,347.999,270.999,213.999
375,No Match,None,unmatched,5608,10.249,18,137.84,234.0416,,,,19.87717209,0,0,53.87717209,0,0,0,0
376,No Match,None,unmatched,2799,5.334,18.902,144.47,238.0762,,,,0,185.999,165.999,168.999,239.999,0,77.999,0
377,No Match,None,unmatched,4994,7.953,20.335,155.39,238.11,,,,0,0,201.999,0,98.999,0,91.999,0
378,No Match,None,unmatched,7040,5.942,19.648,150.46,239.0679,,,,104.999,0,108.999,0,0,0,0,0
379,No Match,None,unmatched,1450,7.461666667,19.614,149.93,239.0661333,,,,66.35963449,0,162.3596345,0,0,0,0,0
380,No Match,None,unmatched,7339,14.088,19.5865,149.665,239.06655,,,,49.999,0,0,70.999,0,73.999,75.999,0
381,No Match,None,unmatched,3497,6.2515,17.65,134.71,239.08245,,,,0,251.999,185.999,0,0,0,194.999,123.999
382,No Match,None,unmatched,2299,6.601,17.62,134.74,239.0848,,,,271.999,108.999,150.999,0,330.999,199.999,0,0
383,No Match,None,unmatched,1819,3.881,18.416,140.68,240.9115,,,,356.999,193.999,379.999,334.999,0,0,61.999,94.999
384,No Match,None,unmatched,6758,3.591,19.289,147.43,240.9611,,,,77.999,58.999,93.999,0,0,0,0,0
385,No Match,None,unmatched,8370,4.563,19.176,146.78,240.9586,,,,84.999,0,0,56.999,0,0,0,0
386,No Match,None,unmatched,5300,5.075,19.238,147.15,240.9617,,,,0,0,13.83522074,0,11.83522074,0,0,0
387,No Match,None,unmatched,7136,9.951,19.256,146.96,240.9617,,,,60.999,0,0,0,0,0,64.999,80.999
388,No Match,None,unmatched,7643,7.583,19.206,146.92,240.9625,,,,70.999,0,0,55.999,0,52.999,0,0
389,No Match,None,unmatched,5673,13.477,17.4525,133.335,241.03575,,,,59.999,63.999,0,58.999,0,0,0,53.999
