level,m/C,MD/C
1.4,47.83,0.0065061752590761576
1.4,48.7,0.00657257897751032
1.4,49.57,0.006609681249347748
1.4,50.43,0.0066299373346788695
1.4,51.3,0.0066400697901206444
1.4,52.17,0.006644454437525851
1.4,53.04,0.006646023496700463
1.4,53.91,0.00664647465529614
1.4,54.78,0.006646577508822759
1.4,55.65,0.006646596358841149
1.4,56.52,0.006646599430124692
1.4,57.39,0.006646599902131775
1.4,58.26,0.006646600128797045
1.4,59.13,0.006646600208743112
1.4,60.0,0.006646600227707807
1.4,60.87,0.0066466002312177246
1.4,61.74,0.006646600231684419
1.4,62.61,0.006646600231684419
1.4,63.48,0.006646600231684419
1.4,64.35,0.006646600231684419
1.4,65.22,0.006646600231684419
1.4,66.09,0.006646600231684419
1.4,66.96,0.006646600231684419
1.4,67.83,0.006646600231684419
1.4,68.7,0.006646600231684419
1.4,69.57,0.006646600231684419
1.4,70.43,0.006646600231684419
1.4,71.3,0.006646600231684419
1.4,72.17,0.006646600231684419
1.4,73.04,0.006646600231684419
1.4,73.91,0.006646600231684419
1.4,74.78,0.006646600231684419
1.4,75.65,0.006646600231684419
1.4,76.52,0.006646600231684419
1.4,77.39000000000001,0.006646600231684419
1.4,78.26,0.006646600231684419
1.4,79.13,0.006646600231684419
1.5,24.35,-0.009428178668997568
1.5,25.22,-0.009428178668997568
1.5,26.09,-0.009428178668997568
1.5,26.96,-0.009428178668997568
1.5,27.83,-0.009428178668997568
1.5,28.699999999999996,-0.009428178668997568
1.5,29.57,-0.009428178668997568
1.5,30.43,-0.009428178668997568
1.5,31.299999999999997,-0.009428178668997568
1.5,32.17,-0.009428178668997568
1.5,33.04,-0.009428178668997568
1.5,33.91,-0.009428178668997568
1.5,34.78,-0.009428178668997568
1.5,35.65,-0.009428178569298031
1.5,36.52,-0.009428177800272514
1.5,37.39,-0.009428173614728242
1.5,38.26,-0.009428155718674032
1.5,39.13,-0.009428089841832018
1.5,40.0,-0.009427884955218046
1.5,40.87,-0.009427304007785157
1.5,41.74,-0.009425713369255188
1.5,42.61,-0.00942153723815418
1.5,43.48,-0.009411429206704222
1.5,44.35,-0.009389598650073359
1.5,45.22,-0.009347895061802697
1.5,45.81673730649178,-0.0093
1.5,46.09,-0.009261950781592454
1.5,46.96,-0.00905455334471001
1.5,47.35874864388834,-0.0089
1.5,47.51503908315051,-0.0085
1.5,47.611136730526695,-0.008
1.5,47.82692059387679,-0.0076
1.5,47.83,-0.007595714099483293
1.5,48.00980808401279,-0.0072
1.5,48.1118576759677,-0.0067
1.5,48.09583339709175,-0.0063
1.5,47.9349262179441,-0.005900000000000001
1.5,47.83,-0.005745274344935186
1.5,47.59951581727191,-0.0054
1.5,47.095268274089456,-0.005
1.5,46.96000000000001,-0.004917019827345706
1.5,46.46594969969074,-0.0046
1.5,46.09,-0.004329216727604704
1.5,45.79491361248609,-0.0041
1.5,45.22,-0.0037372885180551505
1.5,45.163871967408426,-0.0037
1.5,44.6471670222715,-0.0033
1.5,44.35000000000001,-0.002888338915935208
1.5,44.28532794406438,-0.0028000000000000004
1.5,44.109548405100796,-0.0024
1.5,44.07867726466468,-0.002
1.5,44.12439532992499,-0.0015
1.5,44.21095653217366,-0.0011
1.5,44.3466598704519,-0.0007
1.5,44.35,-0.0006911438249480025
1.5,44.56514038086942,-0.0002
1.5,44.83917579819132,0.0002
1.5,45.12826792470068,0.0007
1.5,45.22,0.0008277742313484104
1.5,45.442279025186735,0.0011
1.5,45.817300313793034,0.0015
1.5,46.09,0.0018150114323553666
1.5,46.270161044373836,0.002
1.5,46.67601008524211,0.0024
1.5,46.88252973744779,0.0028
1.5,46.92526599176192,0.0033
1.5,46.916848817717295,0.0037
1.5,46.93859128388508,0.0041
1.5,46.96,0.00421028804976923
1.5,47.04969823155641,0.0046
1.5,47.364911683687794,0.005
1.5,47.83,0.005254803231411861
1.5,48.24708537583511,0.0054
1.5,48.7,0.005516620444618305
1.5,49.57,0.005652342578348759
1.5,50.43,0.005726169335406903
1.5,51.3,0.005762181465808512
1.5,52.17,0.005777030810406781
1.5,53.040000000000006,0.005782008945624394
1.5,53.91,0.005783445358201147
1.5,54.78,0.005783942130780618
1.5,55.650000000000006,0.005784212284350977
1.5,56.52,0.005784372426429032
1.5,57.39,0.005784451096094911
1.5,58.26,0.0057844823462137075
1.5,59.13000000000001,0.005784492226689225
1.5,60.0,0.005784494689915008
1.5,60.87,0.005784495192144492
1.5,61.74000000000001,0.005784495274202998
1.5,62.61,0.00578449528072872
1.5,63.47999999999999,0.005784495281936478
1.5,64.35,0.005784495282097067
1.5,65.22,0.005784495282097067
1.5,66.09,0.005784495282097067
1.5,66.96,0.005784495282097067
1.5,67.83,0.005784495282097067
1.5,68.7,0.005784495282097067
1.5,69.57,0.005784495282097067
1.5,70.43,0.005784495282097067
1.5,71.3,0.005784495282097067
1.5,72.17,0.005784495282097067
1.5,73.04,0.005784495282097067
1.5,73.91,0.005784495282097067
1.5,74.78,0.005784495282097067
1.5,75.65,0.005784495282097067
1.5,76.52,0.005784495282097067
1.5,77.39,0.005784495282097067
1.5,78.26,0.005784495282097067
1.5,79.13,0.005784495282097067
1.6,24.35,-0.013112449517021799
1.6,25.22,-0.013112449517021799
1.6,26.09,-0.013112449517021799
1.6,26.96,-0.013112449517021799
1.6,27.83,-0.013112449517021799
1.6,28.700000000000003,-0.013112449517021799
1.6,29.57,-0.013112449517021799
1.6,30.43,-0.013112449517021799
1.6,31.299999999999997,-0.013112449517021799
1.6,32.17,-0.013112449517021799
1.6,33.04,-0.013112449517021799
1.6,33.91,-0.013112449517021799
1.6,34.78,-0.013112449517021799
1.6,35.65,-0.013112449517021799
1.6,36.52,-0.013112449517021799
1.6,37.39,-0.013112449517021799
1.6,38.26,-0.013112449517021799
1.6,39.13,-0.013112449517021799
1.6,40.0,-0.013112449517021799
1.6,40.87,-0.013112449517021799
1.6,41.74,-0.013112449512997098
1.6,42.61,-0.013112442673665119
1.6,43.48,-0.013112391299590857
1.6,44.35,-0.013112113885668849
1.6,45.22,-0.013110942501872936
1.6,46.09,-0.01310700029064717
1.6,46.96,-0.013096321749721595
1.6,47.83,-0.013072605274374182
1.6,48.7,-0.013028233799027233
