PrecursorName,SMILES,Formula,PrecursorMz,PrecursorAdduct
"1H-Imidazole, 4-(pentafluoroethyl)-",FC(F)(F)C(F)(F)C1=CN=CN1,C5H3F5N2,185.0143589,M-H
5-(Pentafluoroethyl)-1H-pyrazole,FC(F)(F)C(F)(F)C1=CC=NN1,C5H3F5N2,185.0143589,M-H
2-Fluoro-2-(trifluoromethyl)pent-4-enoic acid,OC(=O)C(F)(CC=C)C(F)(F)F,C6H6F4O2,185.0231121,M-H
"2,2,3,3-Tetrafluorobutanediimidic acid",OC(=N)C(F)(F)C(F)(F)C(O)=N,C4H4F4N2O2,187.01361,M-H
"Butanoic acid, 3,3,4,4-tetrafluoro-2,2-dimethyl-",CC(C)(C(O)=O)C(F)(F)C(F)F,C6H8F4O2,187.0387622,M-H
Tetrafluorosuccinic acid,OC(=O)C(F)(F)C(F)(F)C(O)=O,C4H2F4O4,188.9816412,M-H
"(2,2,3,3-tetrafluoropropoxy)acetic acid",OC(=O)COCC(F)(F)C(F)F,C5H6F4O3,189.0180267,M-H
"4,4,5,5,5-Pentafluoro-3-methylpent-1-en-3-ol",CC(O)(C=C)C(F)(F)C(F)(F)F,C6H7F5O,189.0344257,M-H
"Imidazolidine, 2-pentafluoroethyl-",FC(F)(F)C(F)(F)C1NCCN1,C5H7F5N2,189.045659,M-H
"2-(Pentafluoroethyl)-1,3-oxazolidine",FC(F)(F)C(F)(F)C1NCCO1,C5H6F5NO,190.0296746,M-H
"2,2,3,3-Tetrafluoro-3-(methylsulfanyl)propanoic acid",CSC(F)(F)C(F)(F)C(O)=O,C4H4F4O2S,190.9795332,M-H
"[(1,1,2,2-Tetrafluoroethyl)sulfanyl]acetic acid",OC(=O)CSC(F)(F)C(F)F,C4H4F4O2S,190.9795332,M-H
"4,4,5,5,5-Pentafluoropentanoic acid",OC(=O)CCC(F)(F)C(F)(F)F,C5H5F5O2,191.0136902,M-H
"5,5,6,6,6-Pentafluoro-2-hexanol",CC(O)CCC(F)(F)C(F)(F)F,C6H9F5O,191.0500757,M-H
"5,5,6,6,6-pentafluorohexan-1-ol",OCCCCC(F)(F)C(F)(F)F,C6H9F5O,191.0500757,M-H
"2,2,3,3,3-Pentafluoro-1-methylsulfanyl-propan-1-imine",CSC(=N)C(F)(F)C(F)(F)F,C4H4F5NS,191.9911811,M-H
"3-Chloro-3,4,4,4-tetrafluoro-2-methylbutan-2-ol",CC(C)(O)C(F)(Cl)C(F)(F)F,C5H7ClF4O,193.0048752,M-H
"4,4,5,5,5-Pentafluoropentane-1-thiol",FC(F)(F)C(F)(F)CCCS,C5H7F5S,193.0115822,M-H
Phenyltetrafluoroethyl ether,OC1=CC=CC(=C1)C(F)(F)C(F)F,C8H6F4O,193.0281975,M-H
"4,4,5,5,5-Pentafluoropentane-1,3-diol",OCCC(O)C(F)(F)C(F)(F)F,C5H7F5O2,193.0293403,M-H
"2-(2,2,3,3,3-Pentafluoropropoxy)ethan-1-ol",OCCOCC(F)(F)C(F)(F)F,C5H7F5O2,193.0293403,M-H
