Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),Abundance,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
"1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-Heptadecafluorodecahydronaphthalene-1-carboxylic acid",Suspects Library,tentative,4519.0,7.0,26.8,198.7,486.967,7.85,N/A,N/A,56.999,0.0,235.999,0.0,0.0,0.0,0.0,216.999,0.0,33.3,54.0
"1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-Heptadecafluorodecahydronaphthalene-1-carboxylic acid",Suspects Library,tentative,2988.0,7.8,26.75,198.7,486.9683,10.42,N/A,N/A,96.999,0.0,170.999,160.999,192.999,0.0,0.0,247.999,0.0,55.6,93.0
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",Suspects Library,tentative,5764.0,10.2,22.1,164.2,498.926,-8.55,N/A,N/A,9441.999,9464.999,10249.999,8965.999,8089.999,11966.999,12202.999,7440.999,7153.999,100.0,8508.0
"1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoronon-1-ene-1-sulfonic acid",Suspects Library,tentative,4580.0,4.1,25.99,192.6,510.9307,0.95,N/A,N/A,55.999,0.0,0.0,0.0,0.0,152.999,144.999,145.999,0.0,44.4,54.0
"1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoronon-1-ene-1-sulfonic acid",Suspects Library,tentative,6053.0,10.2,25.98,193.0,510.9309,1.34,N/A,N/A,35.999,67.999,0.0,93.999,0.0,0.0,122.999,0.0,0.0,44.4,37.0
"((Perfluorooctyl)ethyl)silanetriol or 6-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexylsulfonyl)naphthalen-2-ol",Suspects Library,tentative,6516.0,11.9,24.7,183.0,524.9803,-6.29 or -3.37,N/A,N/A,116.999,211.999,113.999,221.999,218.999,148.999,136.999,135.999,0.0,88.9,139.0
2'-Deoxy-5-(tridecafluorohexyl)uridine,Suspects Library,tentative,7551.0,13.1,27.63,205.2,545.0326,-11.3,N/A,N/A,22.999,108.999,0.0,74.999,0.0,0.0,0.0,0.0,0.0,33.3,24.0
17-H-Perfluoroheptadecanoic acid,Suspects Library,tentative,554.0,13.6,27.75,203.7,844.9389,-9.71,N/A,N/A,133.0763295018421,1143.076329501842,0.0,259.0763295018421,233.0763295018421,145.0763295018421,21.07632950184211,0.0,0.0,66.7,200.0
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18-tetratriacontafluorooctadecanoic acid",Suspects Library,tentative,563.0,14.1,28.7,210.5,894.9338,-11.35,N/A,N/A,277.09879267884105,909.098792678841,0.0,500.09879267884105,394.09879267884105,441.09879267884105,360.09879267884105,19.09879267884105,0.0,77.8,298.0
No Match,None,unmatched,8488.0,11.9,8.98,72.4,118.9686,,,,16.999,55.999,0.0,0.0,0.0,0.0,0.0,0.0,80.999,33.3,19.0
