PREFERRED NAME,SMILES,Formula,Mass,MONOISOTOPIC MASS,M+1,lib_eC,lib_M_eC,lib_MD,lib_MD_eC
"3-(2,2-Dichloroethenyl)-2,2-bis(trifluoromethyl)cyclopropane-1-carboxylic acid",[H][C@@]1(C=C(Cl)Cl)[C@@]([H])(C(O)=O)C1(C(F)(F)F)C(F)(F)F,C8H4Cl2F6O2,315.949254,314.9419737,8.652582634,7.999799033,39.36873569,-0.0580263,-0.00725347
Perfluoroundecanesulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11HF23O3S,649.927914,648.9206328,11.89730112,10.99972367,58.99426679,-0.0793672,-0.007215381
"N-(2-Bromo-4-nitrophenyl)-2,3,3,4,4,5,5,5-octafluoro-2-(trifluoromethyl)pentanimidic acid",OC(=NC1=C(Br)C=C(C=C1)N(=O)=O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C12H4BrF11N2O3,511.9229645,510.915685,12.97887395,11.99969855,42.57737666,-0.084315,-0.007026427
"N-Chloro-2,2,3,3,4,4,4-heptafluorobutanimidamide",FC(F)(F)C(F)(F)C(F)(F)C(=N)NCl,C4H2ClF7N2,245.9794733,244.9721929,4.326291317,3.999899517,61.24458674,-0.0278071,-0.00695195
10-Chloro-perfluorodecanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C10HClF18O2,529.9377649,528.9304839,10.81572829,9.999748791,52.89437714,-0.0695161,-0.006951785
"2,2,3,3,4,4,4-Heptafluorobutanethioamide",NC(=S)C(F)(F)C(F)(F)C(F)(F)F,C4H2F7NS,228.9796176,227.9723374,4.326291317,3.999899517,56.9945161,-0.0276626,-0.006915824
Perfluorododecanesulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12HF25O3S,699.9247204,698.9174391,12.97887395,11.99969855,58.24458308,-0.0825609,-0.006880248
"2-Chloro-4-(2-chloro-1,1,2,2-tetrafluoroethoxy)phenol",OC1=C(Cl)C=C(OC(F)(F)C(F)(F)Cl)C=C1,C8H4Cl2F4O2,277.9524476,276.9451674,8.652582634,7.999799033,34.61901558,-0.0548326,-0.006854247
"Perfluoro-3,6-dioxaheptanoic acid",OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,C5HF9O4,295.9731125,294.965832,5.407864146,4.999874396,58.9946484,-0.034168,-0.006833772
Perfluorooctanesulfonamide,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H2F17NO2S,498.953479,497.9461983,8.652582634,7.999799033,62.24483843,-0.0538017,-0.006725381
"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15-Pentacosafluoro-2-iodopentadecan-1-ol",OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H6F25IO,803.9064183,802.89913,16.22359244,14.99962319,53.52795334,-0.10087,-0.006724836
"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-icosafluorodecane-1-sulfonic acid",[H]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(O)(=O)=O,C10H2F20O3S,581.9405293,580.9332484,10.81572829,9.999748791,58.09478423,-0.0667516,-0.006675328
Perfluorodecylphosphonic acid,OP(O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H2F21O3P,599.9406232,598.9333423,10.81572829,9.999748791,59.89483884,-0.0666577,-0.006665937
"Propanamide, N-(2,5-dichloro-4-nitrophenyl)-2,3,3,3-tetrafluoro-2-(trifluoromethyl)-",[O-][N+](=O)C1=CC(Cl)=C(NC(=O)C(F)(C(F)(F)F)C(F)(F)F)C=C1Cl,C10H3Cl2F7N2O3,401.9408949,400.9336145,10.81572829,9.999748791,40.09436866,-0.0663855,-0.006638717
"5,5,6,6,7,7,8,8,8-Nonafluoro-3-iodo-2-methyloct-3-en-2-ol",CC(C)(O)C(I)=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H8F9IO,429.9476169,428.94033,9.734155463,8.999773912,47.66123396,-0.05967,-0.006630167
"2-Bromo-6-(difluoromethoxy)-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)aniline",NC1=C(OC(F)F)C=C(C=C1Br)C(F)(C(F)(F)F)C(F)(F)F,C10H5BrF9NO,404.9410799,403.9338,10.81572829,9.999748791,40.39439474,-0.0662,-0.006620166
[(Heptafluoropropyl)sulfanyl]acetic acid,OC(=O)CSC(F)(F)C(F)(F)C(F)(F)F,C5H3F7O2S,259.9741979,258.9669177,5.407864146,4.999874396,51.79468467,-0.0330823,-0.006616626
